都道府県コード又は市町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0～4歳の男性,0～4歳の女性,5～9歳の男性,5～9歳の女性,10～14歳の男性,10～14歳の女性,15～19歳の男性,15～19歳の女性,20～24歳の男性,20～24歳の女性,25～29歳の男性,25～29歳の女性,30～34歳の男性,30～34歳の女性,35～39歳の男性,35～39歳の女性,40～44歳の男性,40～44歳の女性,45～49歳の男性,45～49歳の女性,50～54歳の男性,50～54歳の女性,55～59歳の男性,55～59歳の女性,60～64歳の男性,60～64歳の女性,65～69歳の男性,65～69歳の女性,70～74歳の男性,70～74歳の女性,75～79歳の男性,75～79歳の女性,80～84歳の男性,80～84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
131164,0,東京都,豊島区,2022/4/1,豊島区,"283,595","142,042","141,553","4,653","4,479","4,468","4,321","4,059","3,970","4,075","4,037","9,695","9,776","14,107","13,427","12,794","12,025","12,337","10,830","12,225","10,394","12,072","10,898","11,092","10,230","8,820","8,329","7,098","6,543","6,282","6,015","7,177","7,559","4,751","5,936","3,404","5,351","2,933","7,433","176,816",
131164,1,東京都,豊島区,2022/4/1,駒込,"17,428","8,393","9,035",350,322,350,318,324,255,322,282,474,453,670,702,600,670,657,641,671,660,692,795,641,699,538,563,472,478,432,427,486,534,311,412,216,352,187,472,"9,864",
131164,2,東京都,豊島区,2022/4/1,巣鴨,"18,915","9,272","9,643",309,289,293,278,305,262,258,283,614,650,947,943,825,819,763,731,812,727,762,740,706,706,570,541,429,423,424,405,504,585,325,418,235,386,191,457,"11,580",
131164,3,東京都,豊島区,2022/4/1,西巣鴨,"12,502","6,103","6,399",163,162,198,198,212,201,213,196,483,382,510,501,443,467,440,399,456,445,549,541,510,498,375,396,344,303,310,325,370,407,250,316,158,256,119,406,"7,533",
131164,4,東京都,豊島区,2022/4/1,北大塚,"12,484","6,225","6,259",208,203,183,132,116,124,144,154,481,522,720,738,633,605,567,513,462,398,505,459,464,416,387,376,309,286,289,264,316,312,195,260,123,229,123,268,"8,272",
131164,5,東京都,豊島区,2022/4/1,南大塚,"16,231","8,034","8,197",228,244,224,223,210,204,203,200,639,632,975,872,778,698,642,631,670,598,621,599,604,531,489,494,387,362,352,326,388,460,286,380,179,324,159,419,"10,574",
131164,6,東京都,豊島区,2022/4/1,上池袋,"17,265","8,920","8,345",295,256,287,281,242,254,257,268,598,622,890,817,804,721,782,628,763,583,741,632,690,596,577,462,471,412,433,369,456,438,286,317,186,284,162,405,"10,725",
131164,7,東京都,豊島区,2022/4/1,東池袋,"19,411","10,150","9,261",333,329,274,284,221,194,226,226,698,634,"1,050",927,"1,019",890,"1,022",790,"1,029",724,929,713,791,687,589,591,489,416,391,394,463,422,249,328,207,314,170,398,"12,909",
131164,8,東京都,豊島区,2022/4/1,南池袋,"8,385","4,336","4,049",168,162,121,116,97,100,90,103,271,235,515,454,478,380,443,369,422,305,347,308,310,260,241,233,181,182,162,150,204,203,124,154,83,124,79,211,"5,432",
131164,9,東京都,豊島区,2022/4/1,西池袋,"16,603","8,433","8,170",290,263,243,272,221,205,233,245,495,556,908,796,898,801,863,733,840,674,807,648,634,636,512,423,403,343,287,320,308,355,200,259,164,255,127,386,"10,823",
131164,10,東京都,豊島区,2022/4/1,池袋,"18,289","9,843","8,446",196,183,160,145,144,153,177,180,870,763,"1,253","1,099","1,117",879,978,631,848,578,875,667,764,540,543,450,404,349,368,340,457,424,314,355,208,311,167,399,"13,114",
131164,11,東京都,豊島区,2022/4/1,池袋本町,"17,444","8,889","8,555",235,240,298,326,330,335,281,266,653,683,809,761,743,589,647,548,739,651,727,616,694,606,599,513,480,427,473,396,485,486,301,352,204,289,191,471,"10,457",
131164,12,東京都,豊島区,2022/4/1,雑司が谷,"9,164","4,479","4,685",162,147,161,161,124,127,133,181,271,327,432,411,377,367,379,344,387,344,385,341,373,361,279,270,232,230,211,194,197,241,152,182,120,198,104,259,"5,469",
131164,13,東京都,豊島区,2022/4/1,高田,"11,310","5,586","5,724",175,192,241,194,219,218,215,206,524,457,522,457,445,442,480,439,467,470,483,452,431,421,321,353,268,242,175,227,243,291,160,216,127,195,90,252,"6,761",
131164,14,東京都,豊島区,2022/4/1,目白,"14,498","6,832","7,666",237,250,273,255,262,304,254,258,417,534,558,589,543,579,544,554,607,599,580,662,561,614,451,488,388,408,297,334,325,390,236,295,161,223,138,330,"8,227",
