区分,構成比(%),,,,,
２０歳未満,1.4,,,,,
２０歳代,20.3,,,,,
３０歳代,29.7,,,,,
４０歳代,32.4,,,,,
５０歳代,9.5,,,,,
６０歳代,6.8,,,,,
