区分,女性の活用を最重要課題の１つとして取り組んでいる構成比(%),どちらとも言えない構成比(%),取り組んでいない構成比(%)
99人以下,32.5,47,20.5
100～299人,37.8,44.4,17.8
300人以上,78.5,16.9,4.6
