区分,2011年,2012年,2013年,2014年,2015年,2016年
合計,7855,7257,8117,8672,7814,8466
4歳児以上,122,101,154,186,83,51
3歳児,615,613,752,588,420,411
2歳児,1827,1698,1691,1701,1436,1485
1歳児,3715,3487,3883,4046,4089,4447
0歳児,1576,1358,1637,2151,1785,2072
