区分,平成１３年度,平成１４年度,平成１５年度,平成１６年度,平成１７年度,平成１８年度,平成１９年度,平成２０年度,平成２１年度,平成２２年度,平成２３年度,平成２４年度,平成２５年度,平成２６年度,平成２７年度
母子（件）,161,277,338,326,322,385,337,317,344,276,303,351,321,320,327
単身（件）,175,212,276,283,286,258,205,259,219,160,154,157,176,220,233
合計（件）,336,489,614,609,608,643,542,576,563,436,457,508,497,540,560
