区分,2011年,2012年,2013年,2014年,2015年,2016年,,
保育サービス利用児童数（人）,202422,212641,223334,234911,247513,261705,,
就学前児童人口（人）,609128,615228,619557,625347,630419,637329,,
保育サービス利用率(%),33.2,34.6,36,37.6,39.3,41.1,,
