区分,参加している構成比(%),参加したいが、できていない構成比(%),参加するつもりがない構成比(%),無回答構成比(%),,,,
女性（計）,40.5,29.1,30,0.3,,,,
20代,19.2,41.0,39.7,0,,,,
30代,34,32.6,31.9,1.4,,,,
40代,49.4,27.8,22.8,0,,,,
50代,46.3,25.9,27.9,0,,,,
60代,42.4,31.1,26.6,0,,,,
70歳以上,39.6,24.2,35.7,0.5,,,,
