区分,2003年(%),2004年(%),2005年(%),2007年(%),2008年(%),2009年(%),2010年(%),2011年(%),2012年(%),2013年(%),2014年(%),2015年(%)
係長相当職,9,9.6,10.8,9.3,14.3,12,12.7,16.4,13,12.8,18,20.2
課長相当職,5,4.4,3.7,4.6,6,5.2,5.7,7.7,8.9,5.7,7.6,8.7
部長相当職,4.4,5.3,4.8,6.4,4.6,4.7,4.5,5.3,8.1,5.7,5.5,6.9
役員,2.1,3.2,2,2.5,3.3,2.9,2.8,4.5,5.9,3.7,3.9,4.4
