"年度","放課ＧＯ→みた[人]","放課ＧＯ→おだいば[人]","放課ＧＯ→クラブおなりもん[人]","放課ＧＯ→クラブしば[人]","放課ＧＯ→クラブあかばね[人]","放課ＧＯ→クラブしばうら[人]","放課ＧＯ→クラブさんこう[人]","放課ＧＯ→クラブしんのう[人]","放課ＧＯ→クラブしろかねのおか[人]","放課ＧＯ→クラブしろかね[人]","放課ＧＯ→クラブこうなん[人]","放課ＧＯ→クラブあざぶ[人]","放課ＧＯ→クラブなんざん[人]","放課ＧＯ→クラブほんむら[人]","放課ＧＯ→クラブこうがい[人]","放課ＧＯ→クラブひがしまち[人]","放課ＧＯ→クラブあかさか[人]","放課ＧＯ→クラブあおやま[人]","放課ＧＯ→クラブせいなん[人]","参加者数（延べ人数）合計[人]"
"2014","10458","6842","9231","16680","7688","13902","19951","6452",,"11097",,"8739","9500","14121","15303","18065","10501","8116","10364","197010"
"2015","9834","8000","10477","19450","8847","13815",,,"20440","8739",,"10273","8764","10459","17479","14440","11918","11574","11391","195900"
"2016","9807","6891","11613","19907","9916","14530",,,"21479","13099",,"9575","9652","8601","18014","14220","11019","11690","17582","207595"
"2017","10655","6233","11570","19136","13473","15932",,,"21811","13039",,"9499","10540","7134","20905","13172","12004","12337","20613","218053"
"2018","12159","5747","11142","20904","11779","13944",,,"22044","12414","9086","10810","11409","6614","19507","12344","12559","13249","21813","227524"

"令和元年度港区行政資料集　放課GO→・放課GO→クラブ事業実施状況","Ver201903",,,,,,,,,,,,,,,,,,,
