月（年間）,ユーザー
2023年3月,10479183
2023年2月,9578925
2023年1月,12286955
2022年12月,11920287
2022年11月,11365413
2022年10月,9868304
2022年9月,9760501
2022年8月,15727039
2022年7月,15055087
2022年6月,8339590
2022年5月,8791349
2022年4月,8724022
2022年3月,9949581
2022年2月,10882209
2022年1月,12408201
2021年12月,7461108
2021年11月,6889433
2021年10月,7039855
2021年9月,7068007
2021年8月,9983722
2021年7月,8025975
2021年6月,6446621
2021年5月,5650865
2021年4月,5161698
2021年3月,3872077
