"通学区域町名","通学区域丁目","通学区域番地","小学校名","中学校名"
"愛宕","一丁目",,"御成門学園　御成門","御成門学園　御成門"
"愛宕","二丁目",,"御成門学園　御成門","御成門学園　御成門"
"海岸","一丁目",,"御成門学園　御成門","御成門学園　御成門"
"海岸","二丁目",,"芝","三田"
"海岸","三丁目","1番","芝浜","港南"
"海岸","三丁目","2番","芝浜","港南"
"海岸","三丁目","3番","芝浜","港南"
"海岸","三丁目","4番","芝浦","港南"
"海岸","三丁目","5番","芝浦","港南"
"海岸","三丁目","6番","芝浦","港南"
"海岸","三丁目","7番","芝浦","港南"
"海岸","三丁目","8番","芝浦","港南"
"海岸","三丁目","9番","芝浦","港南"
"海岸","三丁目","10番","芝浦","港南"
"海岸","三丁目","11番","芝浦","港南"
"海岸","三丁目","12番","芝浦","港南"
"海岸","三丁目","13番","芝浦","港南"
"海岸","三丁目","14番","芝浜","港南"
"海岸","三丁目","15番","芝浜","港南"
"海岸","三丁目","16番","芝浜","港南"
"海岸","三丁目","17番","芝浜","港南"
"海岸","三丁目","18番","芝浜","港南"
"海岸","三丁目","19番","芝浜","港南"
"海岸","三丁目","20番","芝浦","港南"
"海岸","三丁目","21番","芝浦","港南"
"海岸","三丁目","22番","芝浜","港南"
"海岸","三丁目","23番","芝浜","港南"
"海岸","三丁目","24番","芝浜","港南"
"海岸","三丁目","25番","芝浜","港南"
"海岸","三丁目","26番","芝浜","港南"
"海岸","三丁目","27番","芝浜","港南"
"海岸","三丁目","28番","芝浜","港南"
"海岸","三丁目","29番","芝浜","港南"
"海岸","三丁目","30番","芝浜","港南"
"海岸","三丁目","31番","芝浦","港南"
"海岸","三丁目","32番","芝浦","港南"
"海岸","三丁目","33番","芝浦","港南"
"港南","一丁目",,"港南","港南"
"港南","二丁目",,"港南","港南"
"港南","三丁目",,"港南","港南"
"港南","四丁目",,"港南","港南"
"港南","五丁目",,"港南","港南"
"高輪","一丁目","1番","白金の丘学園白金の丘","白金の丘学園白金の丘"
"高輪","一丁目","2番","白金の丘学園白金の丘","白金の丘学園白金の丘"
"高輪","一丁目","3番","白金の丘学園白金の丘","白金の丘学園白金の丘"
"高輪","一丁目","4番","御田","三田"
"高輪","一丁目","5番","御田","三田"
"高輪","一丁目","6番","高輪台","高松"
"高輪","一丁目","7番","高輪台","高松"
"高輪","一丁目","8番","高輪台","高松"
"高輪","一丁目","9番","高輪台","高松"
"高輪","一丁目","10番","高輪台","高松"
"高輪","一丁目","11番","高輪台","高松"
