5-(6)　　新島港,,,,,
,,,,,
④　海上出入貨物,,,,,単位： トン
品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"99,790","17,531","82,259"
【一般】,,,"97,005","16,246","80,759"
(1)　農水産品,,,"4,035",490,"3,545"
　　　　麦,,11,‐,‐,‐
　　　　米,,21,82,‐,82
　　　　とうもろこし,,22,‐,‐,‐
　　　　豆類,,23,‐,‐,‐
　　　　その他雑穀,,24,‐,‐,‐
　　　　野菜・果物,,31,735,1,734
　　　　綿花,,41,167,‐,167
　　　　その他農産品,,51,181,36,145
　　　　羊毛,,61,‐,‐,‐
　　　　その他畜産品,,71,"1,251",67,"1,184"
         水産品,,81,"1,619",386,"1,233"
(2)　林産品,,,"1,963",559,"1,404"
　　　　原木,,91,‐,‐,‐
　　　　製材,,92,"1,956",559,"1,397"
　　　　樹脂類,,101,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐
　　　　その他林産品,,112,7,‐,7
　　　　薪炭,,121,‐,‐,‐
(3)　鉱産品,,,"50,814","3,604","47,210"
　　　　石炭,,131,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐
　　　　金属鉱,,151,‐,‐,‐
　　　　砂利・砂,,161,"42,371","1,771","40,600"
　　　　石材,,162,"6,610",‐,"6,610"
　　　　原油,,171,"1,833","1,833",‐
　　　　りん鉱石,,181,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐
　　　　原塩,,201,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐
(4)  金属機械工業品,,,"9,024","3,457","5,567"
　　　　鉄鋼,,221,565,‐,565
　　　　鋼材,,222,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐
　　　　金属製品,,241,"4,316","1,672","2,644"
　　　　鉄道車両,,251,‐,‐,‐
　　　　完成自動車,,252,"1,681",524,"1,157"
　　　　その他輸送用車両,,253,"1,929",888,"1,041"
　　　　二輪自動車,,254,36,14,22
　　　　自動車部品,,255,151,151,‐
　　　　その他輸送機械,,256,87,19,68
　　　　産業機械,,261,140,70,70
　　　　電気機械,,262,‐,‐,‐
　　　　測量・光学・医療用機械,,263,‐,‐,‐
　　　　事務用機器,,264,‐,‐,‐
　　　　その他機械,,265,119,119,‐
(5)　化学工業品,,,"15,362","1,026","14,336"
　　　　陶磁器,,271,‐,‐,‐
　　　　セメント,,281,"6,666",‐,"6,666"
　　　　ガラス類,,291,‐,‐,‐
　　　　窯業品,,301,586,491,95
　　　　重油,,311,"6,289",239,"6,050"
　　　　揮発油,,320,430,‐,430
　　　　その他の石油,,321,858,‐,858
　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　LPG（液化石油ガス）,,323,533,296,237
　　　　石油製品,,324,‐,‐,‐
　　　　コークス,,331,‐,‐,‐
　　　　石炭製品,,341,‐,‐,‐
　　　　化学薬品,,351,‐,‐,‐
　　　　化学肥料,,361,‐,‐,‐
"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
(6)　軽工業品,,,"1,058",25,"1,033"
　　　　紙、パルプ,,381,‐,‐,‐
　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　その他繊維工業品,,401,‐,‐,‐
　　　　砂糖,,411,‐,‐,‐
　　　　製造食品,,421,36,‐,36
　　　　飲料,,422,588,12,576
　　　　水,,423,353,‐,353
　　　　たばこ,,424,‐,‐,‐
　　　　その他食料工業品,,425,81,13,68
(7)　雑工業品,,,"1,860",669,"1,191"
　　　　がん具,,431,‐,‐,‐
　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　家具装備品,,443,512,‐,512
　　　　その他日用品,,444,889,210,679
　　　　ゴム製品,,451,197,197,‐
　　　　木製品,,461,‐,‐,‐
　　　　その他製造工業品,,471,262,262,‐
(8)　特殊品,,,"11,464","6,030","5,434"
　　　　金属くず,,481,"1,074","1,074",‐
　　　　再利用資材,,491,88,88,‐
　　　　動植物性製造飼肥料,,501,138,12,126
　　　　廃棄物,,511,"3,930","2,884","1,046"
　　　　廃土砂,,512,176,176,‐
　　　　輸送用容器,,521,"1,415","1,214",201
　　　　取合せ品,,531,"4,643",582,"4,061"
(9)　分類不能のもの,,541,"1,425",386,"1,039"
【自航】,,,"2,785","1,285","1,500"
