5-(11)　　神湊港,,,,,
,,,,,
,,,,上段：平成31年,
,,,,中段：平成30年,
,,,,下段： 増・減（△）,
③　 コンテナ又はシャーシ,,,,,
,総数,移出,,移入,
コンテナ20ft以上40ft未満（個）,‐,‐,,‐,
,‐,‐,,‐,
,‐,‐,,‐,
コンテナ20ft未満（個）,"16,212",,"8,106","8,106",
,"16,512",,"8,256","8,256",
,△ 300,,△ 150,△ 150,
シヤーシ（台）,‐,‐,,‐,
,‐,‐,,‐,
,‐,‐,,‐,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
