"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2021120101,"赤坂",,0,14,14,26,,,,6,5,,,,,
2021120102,"赤坂",,0,8,8,33,,,,12,5,,,,,
2021120103,"赤坂",,0,6,6,36,,,,13,2,,,,,
2021120104,"赤坂",,0,7,7,35,,,,14,11,,,,,
2021120105,"赤坂",,0,9,9,34,,,,13,2,,,,,
2021120106,"赤坂",,0,7,7,35,,,,12,15,,,,,
2021120107,"赤坂",,0,9,9,34,,,,10,3,,,,,
2021120108,"赤坂",,1,13,14,29,,,,7,5,,,,,
2021120109,"赤坂",,8,22,30,10,,,,12,16,,,,,
2021120110,"赤坂",,7,21,28,12,,,,7,9,,,,,
2021120111,"赤坂",,9,19,28,17,,,,7,-5,,,,,
2021120112,"赤坂",,6,19,25,21,,,,7,0,,,,,
2021120113,"赤坂",,7,18,25,24,,,,6,17,,,,,
2021120114,"赤坂",,4,17,21,28,,,,9,29,,,,,
2021120115,"赤坂",,5,21,26,27,,,,7,5,,,,,
2021120116,"赤坂",,7,21,28,25,,,,6,3,,,,,
2021120117,"赤坂",,4,17,21,26,,,,5,-14,,,,,
2021120118,"赤坂",,5,15,20,26,,,,6,-15,,,,,
2021120119,"赤坂",,6,19,25,24,,,,7,0,,,,,
2021120120,"赤坂",,8,22,30,20,,,,6,-4,,,,,
2021120121,"赤坂",,6,18,24,21,,,,7,4,,,,,
2021120122,"赤坂",,1,10,11,26,,,,4,-1,,,,,
2021120123,"赤坂",,2,11,13,24,,,,7,-3,,,,,
2021120124,"赤坂",,1,10,11,24,,,,5,-3,,,,,
2021120201,"赤坂",,2,10,12,24,,,,3,-6,,,,,
2021120202,"赤坂",,3,8,11,26,,,,6,-3,,,,,
2021120203,"赤坂",,8,8,16,24,,,,14,6,,,,,
2021120204,"赤坂",,8,10,18,23,,,,9,6,,,,,
2021120205,"赤坂",,3,8,11,24,,,,4,-4,,,,,
2021120206,"赤坂",,3,10,13,23,,,,2,-1,,,,,
2021120207,"赤坂",,16,22,38,13,,,,4,-4,,,,,
2021120208,"赤坂",,9,19,28,15,,,,4,-5,,,,,
