"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2019",,
"期間（自）","20190401",,
"期間（至）","20200331",,
"前年度末純資産残高","3499372","3508669","-9297"
"本年度純資産変動額 本年度差額 純行政コスト","-107563",,"-107563"
"本年度純資産変動額 本年度差額 財源","131631",,"131631"
"本年度純資産変動額 本年度差額 財源 税収等","107781",,"107781"
"本年度純資産変動額 本年度差額 財源 国都等補助金","23850",,"23850"
"本年度純資産変動額 本年度差額","24068",,"24068"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"22606","-22606"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"19296","-19296"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-15648","15648"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"25931","-25931"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-6974","6974"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","16280","16280",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","40348","38886","1462"
"本年度末純資産残高","3539720","3547555","-7835"

"一般会計財務書類（純資産変動計算書）(平成31年4月1日から令和2年3月31日)","Ver202003",,
