"選挙名称","時現在","合計[人]","開票率[%]","残票[票]"
"平成26年12月14日執行衆議院議員選挙","23:30","71000","72.71","26647"
"平成26年12月14日執行衆議院議員選挙","0:10","92500","94.73","5147"
"平成26年12月14日執行衆議院議員選挙","1:40","96005","100","0"

"平成26年12月14日執行　衆議院比例代表選出議員選挙開票推移","Ver201412",,,
