11　港　湾　厚　生　施　設,,,,,
,,,,,
　11-（5）港湾労働者休憩所（東京都設置）,,,,,
,名称,内容,構造,面積(㎡),運営者
,品川休憩所,食堂、休憩室,鉄骨造平屋建,419.21,（一財）東京港湾福利厚生協会
,品川ふ頭内貿上屋休憩所,休憩室、シャワー室,鉄筋コンクリート造上屋付属,178.87,
,品川ｺﾝﾃﾅｾﾝﾀｰ休憩所,休憩室、シャワー室,鉄骨造5階建1階一部分,119.31,
,芝浦第一休憩所,食堂,鉄骨造2階建,295.9,
,芝浦内貿1号上屋北休憩所,休憩室,鉄筋コンクリート造上屋付属,62.25,
,芝浦内貿1号上屋南休憩所,休憩室,鉄筋コンクリート造上屋付属,62.25,
,芝浦内貿2号上屋北休憩所,休憩室,鉄筋コンクリート造上屋付属,61.2,
,芝浦内貿2号上屋南休憩所,休憩室,鉄筋コンクリート造上屋付属,60.9,
,芝浦内貿3号上屋休憩所,休憩室,鉄骨造,47.32,
,日の出休憩所,食堂、売店（コンビニ型）、休憩室,鉄骨造2階建,295.5,
,晴海客船ﾀｰﾐﾅﾙ内休憩所,食堂,鉄筋コンクリート造6階建1階一部分,216.12,
,10号ふ頭西上屋休憩所,休憩室、シャワー室,鉄筋コンクリート上屋付属,148.2,
,10号ふ頭3号上屋休憩所,休憩室,鉄骨耐火構造上屋付属,150,
,10号ふ頭5号上屋休憩所,休憩室,鉄骨造上屋付属,51.5,
,青海流通ｾﾝﾀｰ(第1号)北休憩所,休憩室,鉄筋コンクリート造4階建1階一部分,131.77,青海流通ｾﾝﾀｰ㈱
,青海流通ｾﾝﾀｰ(第1号)南休憩所,休憩室,鉄筋コンクリート造4階建1階一部分,131.77,
,青海流通ｾﾝﾀｰ(第2号)北休憩所,食堂、休憩室,鉄筋コンクリート造4階建1階一部分,131.77,
,青海流通ｾﾝﾀｰ(第2号)南休憩所,休憩室,鉄筋コンクリート造4階建1階一部分,105.4,
,青海ｺﾝﾃﾅふ頭休憩所,休憩室,鉄骨造2階建1階一部分,76.04,（一財）東京港湾福利厚生協会
,若洲休憩所,休憩室,鉄筋スレート造1階一部分,51.26,
,大井海貨上屋(第1号)休憩所,休憩室,鉄筋コンクリート造上屋付属,50.55,
,大井海貨上屋(第3号)休憩所,休憩室、シャワー室,鉄筋コンクリート造上屋付属,63.14,
,大井海貨上屋(第4号)休憩所,休憩室,鉄筋コンクリート造上屋付属,69.15,
,大井海貨上屋(第5号)休憩所,休憩室,鉄骨造,134.5,
,大井青果上屋(第1号)休憩所,休憩室,鉄筋コンクリート造上屋付属,87.69,
,大井食品上屋(第2号)休憩所,休憩室,鉄筋コンクリート造上屋付属,137.17,
,辰巳ふ頭内貿雑貨上屋休憩所,休憩室,鉄骨造上屋付属,79,
,"中央防波堤内側内貿
ふ頭荷役連絡所休憩所",休憩室,鉄骨造荷役連絡所附属,144.6,
