5　荷さばき施設,,,,,,,
,,,,,,,
  5-(1)上　　屋,,,,,,,
名　　　称,,級別,面　積　(㎡),構　　　　　造,,,主要取扱品種
合　　　計,,44棟,"270,070.81",,,,
小　　　計,,35棟,"201,850.81",管理者：東京都,,,
品川ふ頭,,1棟,"23,651.00",,,,
,品川ふ頭内貿上屋,1級,"14,974.00",鉄筋ｺﾝｸﾘｰﾄ造,,,紙･ﾊﾟﾙﾌﾟ
,品川ふ頭内貿自動車上屋,自動車,"8,677.00",,〃,（屋上部）,商用車
芝浦ふ頭,,3棟,"22,004.38",,,,
,芝浦内貿１号上屋,1級,"8,600.72",鉄筋ｺﾝｸﾘｰﾄ造3階建のうち1階,,,紙･ﾊﾟﾙﾌﾟ、食料品
,芝浦内貿２号上屋,〃,"8,317.25",,〃,,紙･ﾊﾟﾙﾌﾟ
,芝浦内貿３号上屋,〃,"5,086.41",,〃,,紙･ﾊﾟﾙﾌﾟ
竹芝内貿上屋,,3級,"2,097.50",鉄筋ｺﾝｸﾘｰﾄ造平屋建,,,日用品
日の出ふ頭,,4棟,"8,333.97",,,,
,日の出2号上屋,3級,"2,160.00",鉄筋造平屋建,,,化学薬品
,日の出3号上屋,〃,"2,160.00",,〃,,〃
,日の出4号上屋,〃,"2,124.00",,〃,,〃
,日の出南上屋,2級,"1,889.97",鉄筋ｺﾝｸﾘｰﾄ造,,,塩
10号地ふ頭,,8棟,"58,344.79",,,,
,10号地ふ頭西上屋,1級,"7,273.00",鉄筋コンクリート造,,,日用品・飲料
,10号地ふ頭3号上屋,2級,"6,521.50",鉄骨造平屋建一部2階建,,,紙･ﾊﾟﾙﾌﾟ
,10号地ふ頭4号上屋,〃,"14,250.00",鉄骨造一部2階建,,,〃
,10号地ふ頭5号上屋,〃,"6,767.69",鉄骨造,,,〃
,10号地ふ頭6号上屋,〃,"6,818.10",鉄骨造平屋建一部2階建,,,〃
,10号地ふ頭自動車上屋,自動車,"16,714.50",軽量鉄骨造平屋建　　　　　　３棟,,,商品車
大井海貨,,5棟,"29,481.05",,,,
,大井海貨1号上屋,1級,"7,626.91",鉄筋ｺﾝｸﾘｰﾄ造3階建のうち1階,,,日用品
,大井海貨2号上屋,〃,"5,484.50",,〃,,〃
,大井海貨3号上屋,〃,"5,102.18",,〃,,〃
,大井海貨4号上屋,〃,"5,138.82",,〃,,〃
,大井海貨5号上屋,〃,"6,128.64",鉄筋ｺﾝｸﾘｰﾄ造5階建のうち1階,,,〃
大井冷蔵,,3棟,"21,098.56",(水産物用荷役施設),,,
,大井冷蔵1号上屋,冷蔵,"7,044.40",鉄筋ｺﾝｸﾘｰﾄ造５階建のうち1階,,,水産物
,大井冷蔵2号上屋,〃,"7,044.40",,〃,,〃
,大井冷蔵3号上屋,〃,"7,009.76",,〃,,〃
大井食品,,2棟,"10,778.84",,,,
,大井青果1号上屋,食品,"3,478.00",鉄筋ｺﾝｸﾘｰﾄ造4階建のうち1階,,,果物、野菜
,大井食品2号上屋,〃,"7,300.84",鉄筋ｺﾝｸﾘｰﾄ造5階建のうち1階,,,
青海流通ｾﾝﾀｰ,,2棟,"19,046.72",,,,
,青海流通1号上屋,特級,"9,523.36",鉄筋ｺﾝｸﾘｰﾄ造4階建のうち1階,,,事務用機器
,青海流通2号上屋,〃,"9,523.36",,〃,,〃
中央防波堤内側ばら物,,5棟,"3,414.00",,,,
,ばら物1号上屋,ばら物,960,鉄骨造,,,
,ばら物2号上屋,〃,960,,〃,,
,ばら物3号上屋,〃,498,鉄骨造　ﾎﾟﾘｴｽﾃﾙ布張,,,コークス、金属鉱
,ばら物4号上屋,〃,498,,〃,,
,ばら物5号上屋,〃,498,,〃,,
辰巳内貿雑貨上屋,,1級,"3,600.00",鉄骨造,,,雑貨
小　　　　計,,9棟,"68,220.00",管理者：東京港埠頭株式会社,,,
お台場ライナー,,9棟,"68,220.00",借受者,,,
,お台場1号上屋,,"6,892.00",東京国際埠頭、富士港運、東海運,,,
,お台場2号上屋,,"19,109.00",ダイトーコーポレーション、東海海運,,,
,お台場3号上屋,,"6,432.00",山九、相模運輸倉庫,,,紙、木材、鋼材
,お台場4号上屋,,"6,846.00",鈴江コーポレーション、三協、栗林運輸,,,
,お台場5号上屋,,"6,864.00",栗林運輸、ケイヒン,,,農水産品
,お台場6号上屋,,"5,622.00",三協、三菱倉庫,,,
,お台場7号上屋,,"6,328.00",日本通運、望月海運,,,
,お台場8号上屋,,"4,687.00",三井倉庫、住友倉庫,,,
,お台場9号上屋,,"5,440.00",宇徳、アサガミ　　　,,,
