2　航行補助施設,,,,,,,
,,,,,,,
　2-（1）航路標識（管理者：海上保安庁）,,,,,,,
名　　　称,概　　　　　　　　　　　　　　　　　　　要,,,,,設置年度,備　　　考
東京東第一号灯標,N,35度35分,36秒,緑色円筒形頭標1個付,群閃緑光,昭和4７年度,
,E,139度50分,11秒,緑色柱形,毎6秒に2閃光,,
東京東第二号灯標,N,35度35分,41秒,赤色円すい形頭標1個付,群閃赤光,昭和46年度,
,E,139度50分,29秒,赤色柱形,毎6秒に2閃光,,
東京東第三号灯浮標,N,35度35分,59秒,緑色円筒形頭標1個付,単閃緑光,昭和46年度,
,E,139度49分,57秒,緑色やぐら形,毎3秒に1閃光,,
東京東第四号灯浮標,N,35度36分,05秒,赤色円すい形頭標1個付,単閃赤光,昭和4７年度,
,E,139度50分,08秒,赤色やぐら形,毎3秒に1閃光,,
東京東第五号灯浮標,N,35度36分,41秒,緑色円筒形頭標1個付,群閃緑光,昭和4７年度,
,E,139度49分,26秒,緑色やぐら形,毎6秒に2閃光,,
東京東第六号灯浮標,N,35度36分,47秒,赤色円すい形頭標1個付,単閃赤光,昭和4７年度,
,E,139度49分,37秒,赤色やぐら形,毎3秒に1閃光,,
東京東第九号灯浮標,N,35度36分,53秒,緑色円筒形頭標1個付,単閃緑光,昭和46年度,
,E,139度48分,33秒,緑色やぐら形,毎3秒に1閃光,,
東京西航路第一号灯標,N,35度32分,59秒,緑色円筒形頭標1個付,群閃緑光,昭和44年度,
,E,139度50分,19秒,緑色柱形,毎6秒に2閃光,,
東京西航路第二号灯標,N,35度33分,16秒,赤色円すい形頭標1個付,群閃赤光,昭和44年度,
,E,139度50分,35秒,赤色柱形,毎6秒に2閃光,,
東京西航路第三号灯標,N,35度33分,42秒,緑色円筒形頭標1個付,単閃緑光,昭和  4年度,
,E,139度49分,10秒,緑色柱形,毎3秒に1閃光,,
東京西航路第四号灯標,N,35度33分,59秒,赤色円すい形頭標1個付,単閃赤光,昭和  4年度,
,E,139度49分,26秒,赤色柱形,毎3秒に1閃光,,
東京西航路第五号灯標,N,35度34分,25秒,緑色円筒形頭標1個付,単閃緑光,昭和  5年度,
,E,139度48分,01秒,緑色柱形,毎3秒に1閃光,,
東京西航路第六号灯標,N,35度34分,47秒,赤色円すい形頭標1個付,単閃赤光,昭和  5年度,
,E,139度48分,07秒,赤色柱形,毎3秒に1閃光,,
東京西航路第七号灯標,N,35度35分,16秒,緑色円筒形頭標1個付,単閃緑光,昭和43年度,
,E,139度47分,02秒,緑色柱形,毎3秒に1閃光,,
東京西航路第八号灯標,N,35度35分,31秒,赤色円すい形頭標1個付,単閃赤光,昭和26年度,
,E,139度47分,23秒,赤色柱形,毎3秒に1閃光,,
東京青海第一号灯浮標,N,35度36分,57秒,緑色円筒形頭標1個付,単閃緑光,昭和  5年度,
,E,139度45分,48秒,緑色やぐら形,毎3秒に1閃光,,
東京青海第二号灯浮標,N,35度36分,59秒,赤色円すい形頭標1個付,単閃赤光,昭和24年度,
,E,139度46分,02秒,赤色やぐら形,毎3秒に1閃光,,
東京青海第四号灯浮標,N,35度37分,24秒,赤色円すい形頭標1個付,単閃赤光,昭和  5年度,
,E,139度45分,55秒,赤色やぐら形,毎3秒に1閃光,,
東京第六台場西灯浮標,N,35度37分,58秒,赤色円すい形頭標1個付,単閃赤光,昭和  5年度,
,E,139度45分,53秒,赤色やぐら形,毎3秒に1閃光,,
東京中防北水路,N,35度36分,03秒,緑色円筒形頭標1個付,モールス符号緑光　,昭和44年度,
西灯浮標,E,139度47分,17秒,緑色やぐら形,毎8秒にＡ（・－）,,
東京大井ふとう沖灯浮標,N,35度34分,30秒,緑色円筒形頭標1個付,モールス符号緑光　,昭和46年度,
,E,139度47分,05秒,緑色やぐら形,毎8秒にＡ（・－）,,
東京木材投下泊地,N,35度37分,03秒,赤色塔形,単閃赤光,昭和58年度,
防波堤西灯台,E,139度49分,04秒,,毎3秒に1閃光,,
