10　マ　リ　ー　ナ　施　設,,,,,,
,,,,,,
,名称,所在地,面積,収容能力,設置者,運営者
,東京夢の島マリーナ,江東区夢の島三丁目2番1号,水域　　19.6ha,専用バース　　  660隻,東京都,スバル興業(株)
,,,陸域　　　5.5ha,多目的バース等　33隻,,
,係留対象艇,主要施設,,,,
,    クルーザーヨット,　水上オートバイ用リフター　1基　　上下架施設　1基　　ﾏﾘﾝｾﾝﾀｰ　1棟,,,,
,    モーターボート,　駐車場　480台　　修理ヤード　15艘分　　給油施設　4基,,,,
