5-（3）荷役連絡所,,,,
名　　　称,,所在地,面積（㎡）,構造
合　　　計,,,"33,893.96",
芝浦ふ頭,,,"6,760.49",
,芝浦内貿1号上屋付属荷役連絡所,港区海岸三丁目,"2,571.91",鉄筋コンクリート造3階建
,芝浦内貿2号上屋付属荷役連絡所,港区海岸三丁目,"2,577.18",鉄筋コンクリート造3階建
,芝浦内貿3号上屋付属荷役連絡所,港区海岸三丁目,370.99,鉄骨造
,芝浦荷役連絡所,港区海岸三丁目,103.68,鉄筋コンクリート造平屋建
,芝浦第３荷役連絡所,港区海岸三丁目,"1,136.73",鉄骨造2階建
日の出ふ頭,,,401.51,
,日の出荷役連絡所,港区海岸二丁目,264,鉄筋コンクリート造2階建
,日の出南上屋付属荷役連絡所,港区海岸二丁目,137.51,鉄筋・鉄骨コンクリート造4階建の1階の一部
品川ふ頭,,,818.27,
,品川ふ頭内貿上屋付属北荷役連絡所,港区港南五丁目,430.67,鉄筋コンクリート造平屋建一部中2階建
,品川ふ頭内貿上屋付属南荷役連絡所,港区港南五丁目,387.6,鉄筋コンクリート造
月島ふ頭,,,183.34,
,月島荷役連絡所,中央区勝どき五丁目,183.34,鉄筋コンクリート造2階建
竹芝ふ頭,,,182,
,竹芝内貿上屋付属荷役連絡所,港区海岸一丁目,182,鉄筋コンクリート造
青海ふ頭,,,"6,745.75",
,青海サービスセンター付属荷役連絡所,江東区青海四丁目,95.43,鉄筋コンクリート造2階建2階部分
,青海流通センター1号付属荷役連絡所,江東区青海三丁目,"3,311.98",鉄筋コンクリート造4階建
,青海流通センター2号付属荷役連絡所,江東区青海三丁目,"3,338.34",鉄筋コンクリート造4階建
10号地ふ頭,,,"3,430.44",
,10号地ふ頭西上屋付属南荷役連絡所,江東区有明四丁目,"1,278.72",鉄筋コンクリート造
,10号地ふ頭第3荷役連絡所,江東区有明四丁目,513.7,鉄骨造平屋建一部中2階建
,10号地ふ頭第4荷役連絡所,江東区有明四丁目,962,鉄骨造平屋建一部中2階建
,10号地ふ頭第5荷役連絡所,江東区有明四丁目,182.31,鉄骨造平屋建一部中2階建
,10号地ふ頭第6荷役連絡所,江東区有明四丁目,181.9,鉄骨造平屋建一部中2階建
,自動車上屋付属荷役連絡所,江東区有明四丁目,311.81,鉄骨造2階建
7号地ふ頭,,,81.9,
,7号地荷役連絡所,江東区辰巳二丁目,81.9,軽量鉄骨造平屋建
辰巳ふ頭,,,"1,928.00",
,辰巳内貿雑貨上屋付属荷役連絡所,江東区辰巳三丁目,"1,928.00",鉄骨造
大井ふ頭,,,"10,934.16",
,大井海貨上屋1号付属荷役連絡所,大田区東海五丁目,"1,381.82",鉄筋コンクリート造3階建
,大井海貨上屋2号付属荷役連絡所,大田区東海五丁目,"2,042.40",鉄筋コンクリート造4階建
,大井海貨上屋3号付属荷役連絡所,大田区東海五丁目,"2,392.66",鉄筋コンクリート造3階建
,大井海貨上屋4号付属荷役連絡所,大田区東海五丁目,"2,658.68",鉄筋コンクリート造4階建
,大井海貨上屋5号付属荷役連絡所,大田区東海五丁目,362.4,鉄筋コンクリート造4階建
,大井青果上屋1号付属荷役連絡所,大田区東海六丁目,"1,575.54",鉄筋コンクリート造3階建
,大井食品上屋2号付属荷役連絡所,大田区東海六丁目,520.66,鉄筋コンクリート造6階建
城南島,,,512.77,
,大井その2建材ふ頭荷役連絡所,大田区城南島一丁目,310.24,鉄骨造2階建
,城南島荷役連絡所,大田区城南島二丁目,202.53,鉄骨造2階建
15号地,,,407.22,
,若洲荷役連絡所,江東区若洲一丁目,309.59,鉄骨造
,若洲内貿ふ頭荷役連絡所,江東区若洲一丁目,97.63,鉄骨造スレート葺
中央防波堤内側ばら物ふ頭,,,"1,014.40",
,ばら物ふ頭荷役連絡所,江東区青海三丁目地先,"1,014.40",鉄骨造2階建
中央防波堤内側内貿ふ頭,,,493.71,
,中央防波堤内側内貿ふ頭荷役連絡所,江東区青海三丁目地先,493.71,鉄骨造2階建
