"全国地方公共団体コード","ID","地方公共団体名","年","月","戸籍謄抄本等","住民票の写し","印鑑証明","婚姻","離婚","出生","死亡","転入","転出","備考"
"131032",,"東京都港区","2022","04","5910","10528","4121","144","53","159","154","2718","1038",
"131032",,"東京都港区","2022","05","6189","9281","4189","244","54","201","138","1981","1010",
"131032",,"東京都港区","2022","06","6569","10778","4540","170","46","217","122","1936","1072",
"131032",,"東京都港区","2022","07","5657","9284","3970","215","60","221","160","1811","1009",
"131032",,"東京都港区","2022","08","6248","9814","4077","201","52","227","211","1991","1069",
"131032",,"東京都港区","2022","09","6036","9149","4184","152","43","218","152","1700","829",
"131032",,"東京都港区","2022","10","6224","9470","4113","188","48","204","175","1855","834",
"131032",,"東京都港区","2022","11","6234","9447","4052","350","53","224","152","1684","834",
"131032",,"東京都港区","2022","12","5682","9064","3934","237","64","187","181","1591","997",
"131032",,"東京都港区","2023","01","6247","9158","3917","220","39","210","215","1609","737",
"131032",,"東京都港区","2023","02","6453","9719","4030","237","41","171","154","1766","720",
"131032",,"東京都港区","2023","03","8019","14371","5275","353","50","189","164","3669","1136",

"戸籍窓口関係証明の発行枚数","Ver202303",,,,,,,,,,,,,
