区分,番号,魚種,総水銀検体数,総水銀検出検体数,総水銀検出量最大（ppm）,総水銀検出量最小（ppm）,総水銀検出量平均（ppm）,メチル水銀検体数,メチル水銀検出検体数,メチル水銀検出量最大（ppm）,メチル水銀検出量最小（ppm）,メチル水銀検出量平均（ppm）,漁獲地
貝,1,アカガイ,4,4,0.02,0.01,0.01,0,0,－,－,－,中国、ロシア
貝,2,アサリ,7,7,0.02,0.01,0.01,0,0,－,－,－,北海道、静岡、熊本、中国
貝,3,イワガキ,2,2,0.02,0.02,0.02,0,0,－,－,－,大分
貝,4,ウチムラサキ,1,1,0.01,0.01,0.01,0,0,－,－,－,愛知
貝,5,ウバガイ,4,4,0.01,0.01,0.01,0,0,－,－,－,北海道
貝,6,エゾバイ,1,1,0.05,0.05,0.05,0,0,－,－,－,北海道
貝,7,サラガイ,1,1,0.02,0.02,0.02,0,0,－,－,－,北海道
貝,8,シロツブ,1,1,0.01,0.01,0.01,0,0,－,－,－,ロシア
貝,9,タイラガイ,3,2,0.01,0.01,0.01,0,0,－,－,－,愛知、韓国
貝,10,ナミガイ,3,2,0.01,0.01,0.01,0,0,－,－,－,愛知
貝,11,ハマグリ,4,4,0.02,0.01,0.01,0,0,－,－,－,千葉、中国
貝,12,ホタテガイ,5,5,0.02,0.01,0.01,0,0,－,－,－,青森、岩手、宮城
貝,13,ホンビノスガイ,3,2,0.01,ND,0.01,0,0,－,－,－,千葉
貝,14,マガキ,5,4,0.01,0.01,0.01,0,0,－,－,－,北海道、岩手、宮城、三重
貝,15,ヤマトシジミ,1,0,ND,ND,-,0,0,－,－,－,青森
貝,小計,,45,40,,,,0,0,,,,
淡水魚,1,アユ,2,2,0.12,0.11,0.12,0,0,－,－,－,愛知、和歌山
淡水魚,2,イワナ,1,1,0.11,0.11,0.11,0,0,－,－,－,宮城
淡水魚,3,コイ,2,2,0.24,0.18,0.21,0,0,－,－,－,群馬
淡水魚,4,サクラマス,1,1,0.08,0.08,0.08,0,0,－,－,－,北海道
淡水魚,5,サケ,1,1,0.02,0.02,0.02,0,0,－,－,－,青森
淡水魚,6,スジエビ,1,1,0.01,0.01,0.01,0,0,－,－,－,中国
淡水魚,7,ドジョウ,1,1,0.02,0.02,0.02,0,0,－,－,－,中国
淡水魚,8,ニジマス,1,1,0.18,0.18,0.18,0,0,－,－,－,静岡
淡水魚,9,ヤマメ,1,1,0.13,0.13,0.13,0,0,－,－,－,宮城
淡水魚,10,ワカサギ,1,1,0.06,0.06,0.06,0,0,－,－,－,青森
淡水魚,小計,,12,12,,,,0,0,,,,
魚介類加工品,,,20,15,0.11,0.01,0.04,0,0,,,,
総計,,,428,417,,,,88,88,,,,
