番号,区分1,区分2,魚種,検体数,検出検体数,検出値最大（ppm）,検出値最小（ppm）,検出値平均（ppm）,出荷地
1,1群,魚網又はいけすを使用して養殖される魚介類,イサキ,1,0,ＮＤ,ＮＤ,-,愛媛
2,1群,魚網又はいけすを使用して養殖される魚介類,カワハギ,3,0,ＮＤ,ＮＤ,-,三重、福岡、鹿児島
3,1群,魚網又はいけすを使用して養殖される魚介類,カンパチ,4,0,ＮＤ,ＮＤ,-,高知、鹿児島
4,1群,魚網又はいけすを使用して養殖される魚介類,キジハタ,1,0,ＮＤ,ＮＤ,-,大分
5,1群,魚網又はいけすを使用して養殖される魚介類,クロマグロ,1,0,ＮＤ,ＮＤ,-,熊本
6,1群,魚網又はいけすを使用して養殖される魚介類,サーモントラウト,1,0,ＮＤ,ＮＤ,-,ノルウェー
7,1群,魚網又はいけすを使用して養殖される魚介類,シマアジ,4,0,ＮＤ,ＮＤ,-,愛媛、鹿児島
8,1群,魚網又はいけすを使用して養殖される魚介類,スズキ,2,0,ＮＤ,ＮＤ,-,三重、愛媛
9,1群,魚網又はいけすを使用して養殖される魚介類,タイヘイヨウサケ,2,0,ＮＤ,ＮＤ,-,ノルウェー
10,1群,魚網又はいけすを使用して養殖される魚介類,ノルウェーサーモン,1,0,ＮＤ,ＮＤ,-,ノルウェー
11,1群,魚網又はいけすを使用して養殖される魚介類,ヒラマサ,1,0,ＮＤ,ＮＤ,-,香川
12,1群,魚網又はいけすを使用して養殖される魚介類,ヒラメ,3,0,ＮＤ,ＮＤ,-,千葉、愛媛、韓国
13,1群,魚網又はいけすを使用して養殖される魚介類,ブリ,6,1,0.05,0.05,0.05,神奈川、高知、愛媛、大分、鹿児島
14,1群,魚網又はいけすを使用して養殖される魚介類,マサバ,2,0,ＮＤ,ＮＤ,-,大分
15,1群,魚網又はいけすを使用して養殖される魚介類,マダイ,4,0,ＮＤ,ＮＤ,-,三重、愛媛
16,1群,魚網又はいけすを使用して養殖される魚介類,マハタ,1,0,ＮＤ,ＮＤ,-,三重
17,1群,魚網又はいけすを使用して養殖される魚介類,ミナミマグロ,1,0,ＮＤ,ＮＤ,-,オーストラリア
小計,,,,38,1,,,,
1,2群,内湾で養殖される魚介類,イワガキ,1,1,0.01,0.01,0.01,大分
2,2群,内湾で養殖される魚介類,インドエビ,1,0,ＮＤ,ＮＤ,-,インド
3,2群,内湾で養殖される魚介類,ウシエビ,4,0,ＮＤ,ＮＤ,-,インド、インドネシア、ミャンマー
4,2群,内湾で養殖される魚介類,エゾアワビ,1,0,ＮＤ,ＮＤ,-,韓国
5,2群,内湾で養殖される魚介類,オーストラリアタイガー,1,0,ＮＤ,ＮＤ,-,オーストラリア
6,2群,内湾で養殖される魚介類,クルマエビ,2,0,ＮＤ,ＮＤ,-,鹿児島、沖縄
7,2群,内湾で養殖される魚介類,シロアシエビ,2,0,ＮＤ,ＮＤ,-,インド、フィリピン
8,2群,内湾で養殖される魚介類,天使のエビ,1,0,ＮＤ,ＮＤ,-,ニューカレドニア
9,2群,内湾で養殖される魚介類,トコブシ,1,0,ＮＤ,ＮＤ,-,台湾
10,2群,内湾で養殖される魚介類,ハマグリ,1,0,ＮＤ,ＮＤ,-,三重
11,2群,内湾で養殖される魚介類,ホタテガイ,6,0,ＮＤ,ＮＤ,-,北海道、青森、岩手、宮城
12,2群,内湾で養殖される魚介類,マガキ,7,0,ＮＤ,ＮＤ,-,北海道、岩手、宮城、三重、兵庫
13,2群,内湾で養殖される魚介類,マホヤ,2,0,ＮＤ,ＮＤ,-,宮城
小計,,,,30,1,,,,
1,3群,内湾で漁獲される魚介類,アイナメ,2,1,0.04,0.04,0.04,北海道
