番号,魚種,総水銀検体数,総水銀検出検体数,総水銀検出量最大（ppm）,総水銀検出量最小（ppm）,総水銀検出量平均（ppm）,メチル水銀検体数,メチル水銀検出検体数,メチル水銀検出量最大（ppm）,メチル水銀検出量最小（ppm）,メチル水銀検出量平均（ppm）,漁獲地
1,アイナメ,5,5,0.2,0.04,0.1,0,0,－,－,－,北海道、岩手
2,アオハタ,4,4,0.62,0.16,0.35,2,2,0.48,0.29,0.39,山口、長崎
3,アオメエソ,2,2,0.08,0.02,0.05,0,0,－,－,－,茨城、愛知
4,アオリイカ,1,1,0.19,0.19,0.19,0,0,－,－,－,静岡
5,アカアマダイ,5,5,0.18,0.05,0.13,0,0,－,－,－,静岡、福井、山口、長崎、鹿児島
6,アカカマス,8,8,0.46,0.06,0.2,1,1,0.21,0.21,0.21,千葉、神奈川、静岡、三重、愛媛、大分、長崎
7,アカガレイ,2,2,0.12,0.06,0.09,0,0,－,－,－,北海道
8,アカシタビラメ,2,2,0.16,0.02,0.09,0,0,－,－,－,大阪、鹿児島
9,アカハタ,1,1,0.11,0.11,0.11,0,0,－,－,－,三重
10,アカムツ,1,1,0.24,0.24,0.24,0,0,－,－,－,長崎
11,アカヤガラ,1,1,0.1,0.1,0.1,0,0,－,－,－,鹿児島
12,アサバカレイ,1,1,0.02,0.02,0.02,0,0,－,－,－,アメリカ
13,アンコウ,2,2,0.12,0.08,0.1,0,0,－,－,－,北海道、宮城
14,イイダコ,1,1,0.01,0.01,0.01,0,0,－,－,－,佐賀
15,イサキ,6,6,0.23,0.07,0.15,0,0,－,－,－,東京、愛媛、長崎
16,イシガレイ,1,1,0.07,0.07,0.07,0,0,－,－,－,宮城
17,イシダイ,1,1,0.1,0.1,0.1,0,0,－,－,－,長崎
18,イズカサゴ,1,1,0.23,0.23,0.23,0,0,－,－,－,長崎
19,イトヨリダイ,3,3,0.13,0.11,0.12,0,0,－,－,－,熊本、鹿児島
20,イボダイ,1,1,0.06,0.06,0.06,0,0,－,－,－,三重
21,イワシクジラ,1,1,0.07,0.07,0.07,0,0,－,－,－,北西太平洋
22,ウシエビ,2,2,0.02,0.01,0.02,0,0,－,－,－,インドネシア
23,ウスメバル,2,2,0.1,0.06,0.08,0,0,－,－,－,青森、石川
24,ウマヅラハギ,1,1,0.03,0.03,0.03,0,0,－,－,－,石川
25,ウメイロ,1,1,0.12,0.12,0.12,0,0,－,－,－,長崎
26,エゾイソアイナメ,1,1,0.08,0.08,0.08,0,0,－,－,－,北海道
27,オキメダイ,2,2,0.15,0.1,0.13,0,0,－,－,－,ニュージーランド
28,カサゴ,1,1,0.13,0.13,0.13,0,0,－,－,－,三重
29,カツオ,6,6,0.29,0.18,0.24,0,0,－,－,－,宮城、千葉、鹿児島
30,カラスガレイ,4,4,0.1,0.04,0.07,0,0,－,－,－,アメリカ、ノルウェー、ロシア
31,カワハギ,1,1,0.13,0.13,0.13,0,0,－,－,－,福岡
32,カンパチ,4,4,0.21,0.1,0.16,0,0,－,－,－,高知、愛媛、鹿児島
33,キス,1,1,0.01,0.01,0.01,0,0,－,－,－,千葉
34,キダイ,1,1,0.19,0.19,0.19,0,0,－,－,－,長崎
35,キチジ,1,1,0.19,0.19,0.19,0,0,－,－,－,北海道
36,キチヌ,2,2,0.17,0.11,0.14,0,0,－,－,－,大阪
37,キハダ,2,2,0.42,0.35,0.39,2,2,0.14,0.12,0.13,千葉、石川
38,キビナゴ,1,1,0.03,0.03,0.03,0,0,－,－,－,熊本
39,ギンダラ,3,3,0.47,0.16,0.31,2,2,0.29,0.14,0.22,アメリカ
40,キンメダイ,7,7,1.54,0.68,1.14,7,7,0.8,0.27,0.52,東京、静岡、クック諸島、ニュージーランド
41,クロソイ,2,2,0.13,0.04,0.09,0,0,－,－,－,青森
42,クロダイ,5,5,0.24,0.12,0.15,0,0,－,－,－,北海道、千葉、大阪、鹿児島
43,クロマグロ,4,4,0.66,0.09,0.46,3,3,0.29,0.16,0.22,北海道、茨城、熊本、アイルランド
44,クロムツ,26,26,0.64,0.13,0.34,15,15,0.38,0.13,0.2,東京、長崎、鹿児島
45,クロメバル,2,2,0.11,0.04,0.08,0,0,－,－,－,青森、石川
46,ケンサキイカ,1,1,0.03,0.03,0.03,0,0,－,－,－,山口
47,コウイカ,3,3,0.04,0.01,0.02,0,0,－,－,－,千葉、兵庫
48,コショウダイ,2,2,0.59,0.09,0.34,1,1,0.19,0.19,0.19,愛媛、長崎
49,コノシロ,4,4,0.02,0.01,0.01,0,0,－,－,－,千葉、佐賀、熊本
50,ゴマサバ,6,6,0.25,0.11,0.17,0,0,－,－,－,岩手、千葉、神奈川、石川、三重、愛媛
51,コロダイ,1,1,0.09,0.09,0.09,0,0,－,－,－,長崎
52,サーモントラウト,1,1,0.03,0.03,0.03,0,0,－,－,－,チリ
53,サクラエビ,1,1,0.02,0.02,0.02,0,0,－,－,－,台湾
54,サヨリ,1,1,0.02,0.02,0.02,0,0,－,－,－,神奈川
55,サワラ,7,7,0.05,0.02,0.03,0,0,－,－,－,岩手、富山、三重、徳島、高知、韓国
56,サンマ,3,3,0.06,0.05,0.06,0,0,－,－,－,青森、岩手、千葉
57,シイラ,1,1,0.09,0.09,0.09,0,0,－,－,－,三重
