番号,区分1,区分2,魚種,検体数,検出検体数,検出値最大（ppm）,検出値最小（ppm）,検出値平均（ppm）,出荷地
31,3群,内湾で漁獲される魚介類,ゴマサバ,1,0,ＮＤ,ＮＤ,-,石川
32,3群,内湾で漁獲される魚介類,サザエ,1,0,ＮＤ,ＮＤ,-,千葉
33,3群,内湾で漁獲される魚介類,サヨリ,1,0,ＮＤ,ＮＤ,-,大阪
34,3群,内湾で漁獲される魚介類,サラガイ,1,0,ＮＤ,ＮＤ,-,北海道
35,3群,内湾で漁獲される魚介類,シバエビ,1,0,ＮＤ,ＮＤ,-,佐賀
36,3群,内湾で漁獲される魚介類,シマアジ,1,0,ＮＤ,ＮＤ,-,鹿児島
37,3群,内湾で漁獲される魚介類,シロギス,2,0,ＮＤ,ＮＤ,-,千葉、兵庫
38,3群,内湾で漁獲される魚介類,スジエビ,1,0,ＮＤ,ＮＤ,-,中国
39,3群,内湾で漁獲される魚介類,スズキ,15,0,ＮＤ,ＮＤ,-,千葉、東京、大阪、京都
40,3群,内湾で漁獲される魚介類,タイラギ,1,0,ＮＤ,ＮＤ,-,愛知
41,3群,内湾で漁獲される魚介類,タチウオ,3,0,ＮＤ,ＮＤ,-,千葉、愛媛、鹿児島
42,3群,内湾で漁獲される魚介類,チダイ,2,0,ＮＤ,ＮＤ,-,山口、長崎
43,3群,内湾で漁獲される魚介類,ナメタガレイ,1,0,ＮＤ,ＮＤ,-,北海道
44,3群,内湾で漁獲される魚介類,ニシン,1,0,ＮＤ,ＮＤ,-,北海道
45,3群,内湾で漁獲される魚介類,ニベ,1,0,ＮＤ,ＮＤ,-,熊本
46,3群,内湾で漁獲される魚介類,ハマグリ,2,0,ＮＤ,ＮＤ,-,千葉
47,3群,内湾で漁獲される魚介類,ハモ,2,0,ＮＤ,ＮＤ,-,熊本
48,3群,内湾で漁獲される魚介類,ヒラマサ,1,0,ＮＤ,ＮＤ,-,岩手
49,3群,内湾で漁獲される魚介類,ブリ,1,0,ＮＤ,ＮＤ,-,三重
50,3群,内湾で漁獲される魚介類,ホウセキハタ,1,0,ＮＤ,ＮＤ,-,鹿児島
51,3群,内湾で漁獲される魚介類,ホウボウ,2,0,ＮＤ,ＮＤ,-,長崎、鹿児島
52,3群,内湾で漁獲される魚介類,ホッケ,2,0,ＮＤ,ＮＤ,-,北海道
53,3群,内湾で漁獲される魚介類,ホッコクアカエビ,1,0,ＮＤ,ＮＤ,-,北海道
54,3群,内湾で漁獲される魚介類,ホンビノスガイ,1,0,ＮＤ,ＮＤ,-,千葉
55,3群,内湾で漁獲される魚介類,マアジ,1,0,ＮＤ,ＮＤ,-,静岡
56,3群,内湾で漁獲される魚介類,マアナゴ,1,0,ＮＤ,ＮＤ,-,宮城
57,3群,内湾で漁獲される魚介類,マイワシ,2,0,ＮＤ,ＮＤ,-,三重、大阪
58,3群,内湾で漁獲される魚介類,マガレイ,1,0,ＮＤ,ＮＤ,-,宮城
59,3群,内湾で漁獲される魚介類,マコガレイ,1,0,ＮＤ,ＮＤ,-,千葉
60,3群,内湾で漁獲される魚介類,マゴチ,2,0,ＮＤ,ＮＤ,-,千葉
61,3群,内湾で漁獲される魚介類,マサバ,2,0,ＮＤ,ＮＤ,-,静岡、石川
62,3群,内湾で漁獲される魚介類,マツカワ,1,0,ＮＤ,ＮＤ,-,北海道
63,3群,内湾で漁獲される魚介類,ムツ,8,0,ＮＤ,ＮＤ,-,静岡
64,3群,内湾で漁獲される魚介類,ムラサキガイ,1,0,ＮＤ,ＮＤ,-,宮城
65,3群,内湾で漁獲される魚介類,メイチダイ,1,0,ＮＤ,ＮＤ,-,長崎
66,3群,内湾で漁獲される魚介類,メダイ,1,0,ＮＤ,ＮＤ,-,鹿児島
67,3群,内湾で漁獲される魚介類,メバル,1,0,ＮＤ,ＮＤ,-,岩手
68,3群,内湾で漁獲される魚介類,ヤマトシジミ,1,0,ＮＤ,ＮＤ,-,青森
小計,,,,112,1,,,,
1,4群,遠洋沖合等で漁獲される魚介類,アイナメ,1,0,ＮＤ,ＮＤ,-,岩手
2,4群,遠洋沖合等で漁獲される魚介類,アカアマダイ,1,0,ＮＤ,ＮＤ,-,鹿児島
3,4群,遠洋沖合等で漁獲される魚介類,アカガレイ,1,0,ＮＤ,ＮＤ,-,北海道
4,4群,遠洋沖合等で漁獲される魚介類,イワシ,1,0,ＮＤ,ＮＤ,-,千葉
5,4群,遠洋沖合等で漁獲される魚介類,ウスメバル,1,0,ＮＤ,ＮＤ,-,青森
6,4群,遠洋沖合等で漁獲される魚介類,カサゴ,1,0,ＮＤ,ＮＤ,-,宮崎
7,4群,遠洋沖合等で漁獲される魚介類,カツオ,2,0,ＮＤ,ＮＤ,-,千葉、長崎
8,4群,遠洋沖合等で漁獲される魚介類,キハダ,1,0,ＮＤ,ＮＤ,-,千葉
9,4群,遠洋沖合等で漁獲される魚介類,キンメダイ,3,0,ＮＤ,ＮＤ,-,千葉、東京、静岡
10,4群,遠洋沖合等で漁獲される魚介類,クロムツ,2,0,ＮＤ,ＮＤ,-,東京、長崎
11,4群,遠洋沖合等で漁獲される魚介類,ゴマサバ,1,0,ＮＤ,ＮＤ,-,千葉
12,4群,遠洋沖合等で漁獲される魚介類,サワラ,2,0,ＮＤ,ＮＤ,-,石川、三重
13,4群,遠洋沖合等で漁獲される魚介類,サンマ,1,0,ＮＤ,ＮＤ,-,北海道
14,4群,遠洋沖合等で漁獲される魚介類,スズキ,1,0,ＮＤ,ＮＤ,-,千葉
15,4群,遠洋沖合等で漁獲される魚介類,スルメイカ,1,0,ＮＤ,ＮＤ,-,北海道
16,4群,遠洋沖合等で漁獲される魚介類,タカベ,1,0,ＮＤ,ＮＤ,-,東京都
17,4群,遠洋沖合等で漁獲される魚介類,チダイ,1,0,ＮＤ,ＮＤ,-,鹿児島
18,4群,遠洋沖合等で漁獲される魚介類,トビウオ,1,0,ＮＤ,ＮＤ,-,宮城
19,4群,遠洋沖合等で漁獲される魚介類,ニシン,1,0,ＮＤ,ＮＤ,-,北海道
20,4群,遠洋沖合等で漁獲される魚介類,ハマダイ,1,0,ＮＤ,ＮＤ,-,東京
21,4群,遠洋沖合等で漁獲される魚介類,ヒラメ,1,0,ＮＤ,ＮＤ,-,神奈川
22,4群,遠洋沖合等で漁獲される魚介類,マアジ,2,0,ＮＤ,ＮＤ,-,島根、大分
23,4群,遠洋沖合等で漁獲される魚介類,マイワシ,3,0,ＮＤ,ＮＤ,-,北海道、千葉、富山
24,4群,遠洋沖合等で漁獲される魚介類,マコガレイ,1,0,ＮＤ,ＮＤ,-,青森
25,4群,遠洋沖合等で漁獲される魚介類,マサバ,2,0,ＮＤ,ＮＤ,-,千葉、長崎
26,4群,遠洋沖合等で漁獲される魚介類,マダイ,1,0,ＮＤ,ＮＤ,-,千葉
27,4群,遠洋沖合等で漁獲される魚介類,メジナ,1,0,ＮＤ,ＮＤ,-,鹿児島
28,4群,遠洋沖合等で漁獲される魚介類,メダイ,1,0,ＮＤ,ＮＤ,-,長崎
小計,,,,37,0,,,,
総計,,,,217,3,,,,
