番号,魚種,総水銀検体数,総水銀検出検体数,総水銀検出量最大（ppm）,総水銀検出量最小（ppm）,総水銀検出量平均（ppm）,メチル水銀検体数,メチル水銀検出検体数,メチル水銀検出量最大（ppm）,メチル水銀検出量最小（ppm）,メチル水銀検出量平均（ppm）,漁獲地
58,シバエビ,1,1,0.04,0.04,0.04,0,0,－,－,－,佐賀
59,シマアジ,5,5,0.38,0.2,0.3,3,3,0.15,0.09,0.12,三重、香川、愛媛
60,シラウオ,1,1,0.02,0.02,0.02,0,0,－,－,－,中国
61,シロギス,1,1,0.02,0.02,0.02,0,0,－,－,－,愛知
62,シログチ,2,2,0.37,0.19,0.28,1,1,0.16,0.16,0.16,兵庫
63,スケトウダラ,1,1,0.11,0.11,0.11,0,0,－,－,－,青森
64,スズキ,17,17,0.47,0.06,0.16,12,12,0.18,0.06,0.1,宮城、千葉、東京、神奈川、福井、大阪
65,スルメイカ,4,4,0.06,0.03,0.04,0,0,－,－,－,北海道、青森、石川
66,タイヘイヨウサケ,2,2,0.03,0.01,0.02,0,0,－,－,－,チリ、ノルウェー
67,タカベ,2,2,0.1,0.07,0.09,0,0,－,－,－,東京
68,タチウオ,3,3,0.26,0.06,0.14,0,0,－,－,－,徳島、愛媛、パキスタン
69,チダイ,4,4,0.33,0.06,0.16,1,1,0.08,0.08,0.08,青森、愛媛、鹿児島
70,トクビレ,1,1,0.03,0.03,0.03,0,0,－,－,－,北海道
71,トビウオ,2,2,0.09,0.06,0.08,0,0,－,－,－,新潟、高知
72,ナガスクジラ,1,1,0.31,0.31,0.31,1,1,0.13,0.13,0.13,アイスランド
73,ニシン,1,1,0.04,0.04,0.04,0,0,－,－,－,北海道
74,ニベ,1,1,0.08,0.08,0.08,0,0,－,－,－,熊本
75,ハチジョウアカムツ,1,1,0.63,0.63,0.63,1,1,0.24,0.24,0.24,東京
76,ババガレイ,1,1,0.04,0.04,0.04,0,0,－,－,－,北海道
77,ハマダイ,3,3,0.49,0.13,0.27,0,0,－,－,－,東京
78,ハモ,3,3,0.22,0.07,0.15,0,0,－,－,－,兵庫、熊本
79,ヒメダイ,1,1,0.07,0.07,0.07,0,0,－,－,－,東京
80,ヒラスズキ,1,1,0.08,0.08,0.08,0,0,－,－,－,長崎
81,ヒラマサ,2,2,0.07,0.07,0.07,0,0,－,－,－,石川、島根
82,ヒラメ,7,7,0.17,0.06,0.09,0,0,－,－,－,宮城、茨城、千葉、韓国
83,ブリ,9,9,0.56,0.08,0.19,1,1,0.16,0.16,0.16,青森、千葉、神奈川、三重、高知、愛媛、大分、長崎
84,ヘダイ,1,1,0.18,0.18,0.18,0,0,－,－,－,鹿児島
85,ホウボウ,2,2,0.21,0.08,0.15,0,0,－,－,－,大分、長崎
86,ホッケ,2,2,0.21,0.07,0.14,0,0,－,－,－,北海道
87,ホッコクアカエビ,2,2,0.05,0.04,0.05,0,0,－,－,－,北海道、ロシア
88,マアジ,7,7,0.06,0.02,0.04,0,0,－,－,－,秋田、兵庫、島根、山口、大分、長崎
89,マアナゴ,1,1,0.06,0.06,0.06,0,0,－,－,－,韓国
90,マイワシ,7,7,0.03,0.01,0.02,0,0,－,－,－,北海道、千葉、大阪
91,マカジキ,1,1,1.16,1.16,1.16,1,1,0.49,0.49,0.49,千葉
92,マガレイ,2,2,0.06,0.04,0.05,0,0,－,－,－,北海道、宮城
93,マコガレイ,6,6,0.04,0.01,0.02,0,0,－,－,－,青森、岩手、千葉
94,マゴチ,5,5,0.28,0.05,0.12,0,0,－,－,－,千葉、大分
95,マサバ,9,9,0.28,0.05,0.16,0,0,－,－,－,岩手、福島、千葉、石川、大分、アイスランド
96,マダイ,7,7,0.36,0.09,0.18,0,0,－,－,－,兵庫、愛媛、佐賀
97,マダラ,1,1,0.25,0.25,0.25,0,0,－,－,－,青森
98,マトウダイ,2,2,0.13,0.06,0.1,0,0,－,－,－,宮城、長崎
99,マナガツオ,1,1,0.05,0.05,0.05,0,0,－,－,－,大分
100,マホヤ,2,1,0.01,0.01,0.01,0,0,－,－,－,宮城
101,ミズタコ,1,1,0.03,0.03,0.03,0,0,－,－,－,北海道
102,ミナミマグロ,1,1,0.91,0.91,0.91,1,1,0.35,0.35,0.35,南インド洋
103,ムツ,8,8,0.3,0.14,0.2,8,8,0.28,0.1,0.17,静岡
104,メカジキ,3,3,4.35,2.58,3.3,3,3,1.89,1.03,1.32,岩手、和歌山、太平洋
105,メジナ,3,3,0.08,0.03,0.06,0,0,－,－,－,京都、大分、鹿児島
106,メダイ,3,3,0.27,0.1,0.17,0,0,－,－,－,千葉、静岡、長崎
107,メバチ,3,3,0.73,0.62,0.68,3,3,0.28,0.15,0.23,宮崎、太平洋
108,メルルーサ,4,4,0.39,0.32,0.35,4,4,0.31,0.17,0.22,ニュージーランド
109,メロ,1,1,0.11,0.11,0.11,0,0,－,－,－,ロシア
110,モンゴウイカ,1,1,0.12,0.12,0.12,0,0,－,－,－,タイ
111,ヤナギノマイ,1,1,0.05,0.05,0.05,0,0,－,－,－,北海道
112,ヤリイカ,2,2,0.04,0.03,0.04,0,0,－,－,－,福島、島根
113,ユメカサゴ,21,21,0.59,0.16,0.36,14,14,0.39,0.17,0.23,長崎
114,ヨロイイタチウオ,1,1,0.48,0.48,0.48,1,1,0.26,0.26,0.26,長崎
小計,,361,353,,,,95,95,,,,
