区分,番号,魚種,総水銀検体数,総水銀検出検体数,総水銀検出量最大（ppm）,総水銀検出量最小（ppm）,総水銀検出量平均（ppm）,メチル水銀検体数,メチル水銀検出検体数,メチル水銀検出量最大（ppm）,メチル水銀検出量最小（ppm）,メチル水銀検出量平均（ppm）,漁獲地
貝,1,アカガイ,3,2,0.02,ND,0.02,0,0,-,-,-,中国
貝,2,アサリ,6,3,0.04,ND,0.02,0,0,-,-,-,静岡、愛知、熊本、中国
貝,3,イソシジミ,1,1,0.01,0.01,0.01,0,0,-,-,-,大分県
貝,4,イワガキ,3,2,0.01,ND,0.01,0,0,-,-,-,岩手、京都、島根
貝,5,ウチムラサキ,1,0,ND,ND,-,0,0,-,-,-,愛知
貝,6,ウバガイ,5,0,ND,ND,-,0,0,-,-,-,北海道
貝,7,エゾバイ,2,2,0.08,0.06,0.07,0,0,-,-,-,北海道、アイルランド
貝,8,タイラギ,3,0,ND,ND,-,0,0,-,-,-,愛知
貝,9,ナミガイ,4,0,ND,ND,-,0,0,-,-,-,愛知
貝,10,ハマグリ,4,2,0.02,ND,0.02,0,0,-,-,-,千葉、中国
貝,11,ホタテガイ,5,1,0.01,ND,0.01,0,0,-,-,-,北海道、岩手、宮城
貝,12,ホンビノスガイ,3,0,ND,ND,-,0,0,-,-,-,千葉
貝,13,マガキ,6,3,0.01,ND,0.01,0,0,-,-,-,北海道、岩手、三重、兵庫、広島
貝,14,マテガイ,1,0,ND,ND,-,0,0,-,-,-,山口
貝,15,ヤマトシジミ,1,0,ND,ND,-,0,0,-,-,-,青森
貝,小計,,48,16,,,,0,0,,,,
淡水魚,1,アユ,2,2,0.14,0.09,0.12,0,0,-,-,-,静岡、愛知
淡水魚,2,イワナ,1,1,0.20,0.20,0.20,0,0,-,-,-,宮城
淡水魚,3,ギンザケ,1,0,ND,ND,-,0,0,-,-,-,チリ
淡水魚,4,コイ,2,2,0.07,0.07,0.07,0,0,-,-,-,群馬
淡水魚,5,サケ,1,1,0.02,0.02,0.02,0,0,-,-,-,北海道
淡水魚,6,スジエビ,1,1,0.02,0.02,0.02,0,0,-,-,-,中国
淡水魚,7,ニジマス,1,1,0.12,0.12,0.12,0,0,-,-,-,宮城
淡水魚,8,ヤマメ,1,1,0.11,0.11,0.11,0,0,-,-,-,宮城
淡水魚,9,ワカサギ,1,1,0.11,0.11,0.11,0,0,-,-,-,青森
淡水魚,小計,,11,10,,,,0,0,,,,
魚介類加工品,,,20,19,0.10,0.02,0.05,0,0,,,,
総計,,,440,398,,,,95,95,,,,
