魚種,出荷地,措置年月日,備考
ハモ,熊本県三角町,48.07.12,
スズキ,東京湾産,48.07.12,50.09.03/全長60cm以下解除
スズキ,岩手県陸前高田市,48.07.19,
スズキ,岩手県大船渡市,48.07.19,
スズキ,千葉県銚子市,49.03.12,
ムツ,長崎県長崎市,50.04.17,50.09.10/尾叉長30cm以下解除
ムツ,静岡県下田市,50.04.17,51.05.14/尾叉長30cm以下解除
ムツ,静岡県東伊豆町,50.04.17,51.05.14/尾叉長30cm以下解除
アカアマダイ,福岡県福岡市,50.04.17,52.10.27/全長40cm以下解除
ユメカサゴ,長崎県長崎市,50.09.03,54.09.10/体長20cm以下解除
