"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31"
"芝ルート","新橋駅","163","みなとパーク芝浦","7:50","8:15","8:41","9:05","9:30","9:56","10:17","10:45","11:11","11:35","11:57","12:26","12:50","13:15","13:43","14:05","14:30","14:56","15:17","15:45","16:11","16:35","16:59","17:19","17:45","18:12","18:34","18:58","19:20","19:48","20:14"
"芝ルート","新橋駅","1","田町駅東口","7:54","8:19","8:45","9:09","9:34","10:00","10:21","10:49","11:15","11:39","12:01","12:30","12:54","13:19","13:47","14:09","14:34","15:00","15:21","15:49","16:15","16:39","17:03","17:23","17:49","18:16","18:38","19:01","19:23","19:51","20:17"
"芝ルート","新橋駅","2","藻塩橋","7:56","8:21","8:47","9:11","9:36","10:02","10:23","10:51","11:17","11:41","12:03","12:32","12:56","13:21","13:49","14:11","14:36","15:02","15:23","15:51","16:17","16:41","17:05","17:25","17:51","18:18","18:40","19:03","19:25","19:53","20:19"
"芝ルート","新橋駅","3","田町駅前","7:59","8:24","8:50","9:14","9:39","10:05","10:26","10:54","11:20","11:44","12:06","12:35","12:59","13:24","13:52","14:14","14:39","15:05","15:26","15:54","16:20","16:44","17:08","17:28","17:54","18:21","18:43","19:06","19:28","19:56","20:22"
"芝ルート","新橋駅","4","浅草線三田駅前","8:01","8:26","8:52","9:16","9:41","10:07","10:28","10:56","11:22","11:46","12:08","12:37","13:01","13:26","13:54","14:16","14:41","15:07","15:28","15:56","16:22","16:46","17:10","17:30","17:56","18:23","18:45","19:08","19:30","19:57","20:23"
"芝ルート","新橋駅","5","勤労福祉会館前","8:02","8:27","8:53","9:17","9:42","10:08","10:29","10:57","11:23","11:47","12:09","12:38","13:02","13:27","13:55","14:17","14:42","15:08","15:29","15:57","16:23","16:47","17:11","17:31","17:57","18:24","18:46","19:09","19:31","19:58","20:24"
"芝ルート","新橋駅","73-2","芝四丁目","8:05","8:30","8:56","9:20","9:45","10:11","10:32","11:00","11:26","11:50","12:12","12:41","13:05","13:30","13:58","14:20","14:45","15:11","15:32","16:00","16:26","16:50","17:14","17:34","18:00","18:27","18:49","19:11","19:33","19:59","20:25"
"芝ルート","新橋駅","74","芝一丁目","8:07","8:32","8:58","9:22","9:47","10:13","10:34","11:02","11:28","11:52","12:14","12:43","13:07","13:32","14:00","14:22","14:47","15:13","15:34","16:02","16:28","16:52","17:16","17:36","18:02","18:29","18:51","19:13","19:35","20:01","20:27"
"芝ルート","新橋駅","75","金杉橋","8:08","8:33","8:59","9:23","9:48","10:14","10:35","11:03","11:29","11:53","12:15","12:44","13:08","13:33","14:01","14:23","14:48","15:14","15:35","16:03","16:29","16:53","17:17","17:37","18:03","18:30","18:52","19:14","19:36","20:02","20:28"
"芝ルート","新橋駅","75-2","芝園橋","8:10","8:35","9:01","9:25","9:50","10:16","10:37","11:05","11:31","11:55","12:17","12:46","13:10","13:35","14:03","14:25","14:50","15:16","15:37","16:05","16:31","16:55","17:19","17:39","18:05","18:32","18:54","19:16","19:38","20:03","20:29"
"芝ルート","新橋駅","76","芝公園駅","8:12","8:37","9:03","9:27","9:52","10:18","10:39","11:07","11:33","11:57","12:19","12:48","13:12","13:37","14:05","14:27","14:52","15:18","15:39","16:07","16:33","16:57","17:21","17:41","18:07","18:34","18:56","19:18","19:40","20:05","20:31"
"芝ルート","新橋駅","77","港区役所","8:14","8:39","9:05","9:29","9:54","10:20","10:41","11:09","11:35","11:59","12:21","12:50","13:14","13:39","14:07","14:29","14:54","15:20","15:41","16:09","16:35","16:59","17:23","17:43","18:09","18:36","18:58","19:20","19:42","20:07","20:33"
"芝ルート","新橋駅","78","御成門駅","8:15","8:40","9:06","9:30","9:55","10:21","10:42","11:10","11:36","12:00","12:22","12:51","13:15","13:40","14:08","14:30","14:55","15:21","15:42","16:10","16:36","17:00","17:24","17:44","18:10","18:37","18:59","19:21","19:43","20:08","20:34"
"芝ルート","新橋駅","78-2","プラザ神明",,,"9:12",,,"10:27",,,"11:42",,,"12:57",,,"14:14",,,"15:27",,,"16:42",,,"17:50",,,"19:05",,"19:47",,
"芝ルート","新橋駅","79","愛宕警察署","8:17","8:42","9:16","9:32","9:57","10:31","10:44","11:12","11:46","12:02","12:24","13:01","13:17","13:42","14:18","14:32","14:57","15:31","15:44","16:12","16:46","17:02","17:26","17:54","18:12","18:39","19:09","19:23","19:50","20:10","20:36"
"芝ルート","新橋駅","80","慈恵医大病院入口","8:19","8:44","9:18","9:34","9:59","10:33","10:46","11:14","11:48","12:04","12:26","13:03","13:19","13:44","14:20","14:34","14:59","15:33","15:46","16:14","16:48","17:04","17:28","17:56","18:14","18:41","19:11","19:25","19:52","20:12","20:38"
"芝ルート","新橋駅","82","愛宕一丁目","8:23","8:48","9:22","9:38","10:03","10:37","10:50","11:18","11:52","12:08","12:30","13:07","13:23","13:48","14:24","14:38","15:03","15:37","15:50","16:18","16:52","17:08","17:32","18:00","18:18","18:45","19:15","19:28","19:55","20:15","20:41"
"芝ルート","新橋駅","62","虎ノ門二丁目","8:27","8:52","9:26","9:42","10:07","10:41","10:54","11:22","11:56","12:12","12:34","13:11","13:27","13:52","14:28","14:42","15:07","15:41","15:54","16:22","16:56","17:12","17:36","18:04","18:22","18:49","19:19","19:30","19:58","20:18","20:44"
"芝ルート","新橋駅","84","虎ノ門一丁目","8:29","8:54","9:28","9:44","10:09","10:43","10:56","11:24","11:58","12:14","12:36","13:13","13:29","13:54","14:30","14:44","15:09","15:43","15:56","16:24","16:58","17:14","17:38","18:06","18:24","18:51","19:21","19:32","20:00","20:20","20:46"
"芝ルート","新橋駅","84-2","西新橋二丁目","8:32","8:57","9:31","9:47","10:12","10:46","10:59","11:27","12:01","12:17","12:39","13:16","13:32","13:57","14:33","14:47","15:12","15:46","15:59","16:27","17:01","17:17","17:41","18:09","18:27","18:54","19:24","19:34","20:02","20:22","20:48"
"芝ルート","新橋駅","85","烏森神社","8:35","9:00","9:34","9:50","10:15","10:49","11:02","11:30","12:04","12:20","12:42","13:19","13:35","14:00","14:36","14:50","15:15","15:49","16:02","16:30","17:04","17:20","17:44","18:12","18:30","18:57","19:27","19:36","20:04","20:24","20:50"
"芝ルート","新橋駅","58","新橋駅","8:40","9:05","9:39","9:55","10:20","10:54","11:07","11:35","12:09","12:25","12:47","13:24","13:40","14:05","14:41","14:55","15:20","15:54","16:07","16:35","17:09","17:25","17:49","18:17","18:35","19:02","19:32","19:41","20:09","20:28","20:54"

"ちぃばす時刻表　芝ルート 新橋駅行き（平日）","Ver201904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
