区分,平成５年８月（１９９３年）
災害種別,第１１号台風（洪水）
気圧(hPa),965.0
時間最大雨量(mm/h),76.0
総雨量（mm）,345.0
日数,26～28日
潮位（A.P.m）,-
浸水面積(Km2),3.42
床上浸水家屋(戸),2454
床下浸水家屋(戸),5079
死傷者(人),
損害家屋(戸),
