名称,所在地
東京都八重洲駐車場,東京都中央区日本橋三丁目及び同区京橋一丁目地先道路内
東京都日本橋駐車場,東京都中央区日本橋一丁目、同区日本橋二丁目及び同区日本橋三丁目地先道路内
東京都宝町駐車場,東京都中央区日本橋三丁目、同区京橋一丁目、同区京橋二丁目及び同区京橋三丁目地先道路内
東京都新京橋駐車場,東京都中央区京橋三丁目、同区銀座一丁目、同区銀座二丁目及び同区銀座三丁目地先道路内
東京都東銀座駐車場,東京都中央区銀座五丁目、同区銀座七丁目及び同区銀座八丁目地先道路内
