区分,記録
年月,昭和22年9月(1947年)
災害種別,カスリーン台風（洪水）
気圧(hPa),992.5
時間最大雨量(mm/h),34.7
総雨量（ｍｍ）,166.8(13～15日)
潮位（A.P.m）,2.5
浸水面積(Km2),114.32
床上浸水家屋(戸),80041
床下浸水家屋(戸),45167
死傷者(人),11
損害家屋(戸),191
