神田川１,神田川２,取水直前8/22・11:05水位（A.P.m),取水直後8/22・11:15水位（A.P.m),差(m)
上流側,宮前橋水位計,33.81,33.76,-0.05
上流側,中井橋水位計,33.55,33.48,-0.07
上流側,番屋橋ﾃﾚﾒｰﾀ,33.13,32.97,-0.16
上流側,一本橋水位計,33.12,32.89,-0.22
上流側,弁天橋水位計,32.77,32.16,-0.61
上流側,神田取水上ﾃﾚﾒｰﾀ,32.60,31.62,-0.98
上流側,方南第1橋水位計,32.59,31.57,-1.03
下流側,神田取水下ﾃﾚﾒｰﾀ,32.47,31.67,-0.80
下流側,方南橋水位計,32.41,31.63,-0.78
下流側,方南橋ﾃﾚﾒｰﾀ,32.28,31.52,-0.76
下流側,たつみ橋水位計,32.05,31.29,-0.76
