地点名:佃大橋　橋脚上P2,,,
ファイル名:11031101.SMC,,,
起動時刻:2011/03/11 14:47:46,,,
チャンネル数:3,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,
Time,N-S,E-W,U-D
0,0.3144772,-0.08849359,0.5119629
0.01,0.3854721,-0.1249909,0.5999565
0.02,0.3954713,-0.2567314,0.6039562
0.03,0.3384755,-0.4437178,0.5859575
0.04,0.2629809,-0.6194551,0.5847076
0.05,0.1762372,-0.7546953,0.4974639
0.06,0.06699514,-0.8011919,0.3057278
0.07,0.008499384,-0.7929425,0.06749511
0.08,-0.01474893,-0.7614448,-0.110992
0.09,-0.04524672,-0.702949,-0.2059851
0.09999999,-0.0772444,-0.6374538,-0.2082349
0.11,-0.09224331,-0.5502101,-0.09649301
0.12,-0.1139917,-0.4209695,0.05174625
0.13,-0.1734874,-0.233983,0.1447395
0.14,-0.2597312,-0.02974784,0.220484
0.15,-0.3002282,0.09549308,0.3122274
0.16,-0.3087276,0.1404898,0.4257191
0.17,-0.3787225,0.1969857,0.4944642
0.18,-0.4927143,0.2714803,0.5129628
0.19,-0.5719585,0.3537244,0.5302116
0.2,-0.6507028,0.4294689,0.5534599
0.21,-0.6002065,0.4504673,0.5274618
0.22,-0.4464676,0.4497174,0.4234693
0.23,-0.290229,0.4497174,0.2292334
0.24,-0.1372401,0.4482175,-0.01349902
0.25,0.02599812,0.4202195,-0.2179842
0.26,0.1687378,0.3634737,-0.3334758
0.27,0.3519745,0.2729802,-0.3847221
0.28,0.5207123,0.2029853,-0.427969
0.29,0.5562097,0.2032353,-0.4497174
0.3,0.4717158,0.2579813,-0.4642164
0.31,0.3262264,0.3609738,-0.5074632
0.32,0.09049344,0.482465,-0.5274618
0.33,-0.09549308,0.5184624,-0.4844649
0.34,-0.1942359,0.41447,-0.399971
0.35,-0.3332258,0.2774799,-0.2974784
0.36,-0.4407181,0.152239,-0.193486
0.37,-0.3377255,-0.01224911,-0.09749293
0.38,-0.1784871,-0.1089921,-0.02724802
0.39,-0.1019926,-0.1052424,0.01499891
0.4,-0.04249692,-0.04649663,0.04899645
0.41,-0.06774509,0.05149627,0.06524527
0.42,-0.2469821,0.220984,0.08324397
0.43,-0.3577241,0.344725,0.00799942
0.44,-0.3292261,0.3854721,-0.178737
0.45,-0.1942359,0.358974,-0.3557242
0.46,0.04099703,0.2259836,-0.4157199
0.47,0.2832295,0.06974494,-0.3244765
0.48,0.371973,0.013749,-0.2177342
0.49,0.3807224,0.005499601,-0.08874357
0.5,0.3462249,-0.03874719,0.06099558
0.51,0.1942359,-0.08474386,0.1534889
0.52,0.01624882,-0.1647381,0.2317332
0.53,-0.004499674,-0.3247265,0.3154771
0.54,0.06024563,-0.4942142,0.3924716
0.55,0.1674879,-0.6359539,0.4244692
0.56,0.3417252,-0.7784436,0.3687233
0.57,0.5477103,-0.9309325,0.2524817
0.58,0.6529527,-1.020676,0.1349902
0.59,0.6669517,-1.046674,0.00924933
0.6,0.6132056,-0.980179,-0.1182414
0.61,0.4727157,-0.800692,-0.2829795
0.62,0.2534816,-0.538211,-0.4184697
0.63,0.1487392,-0.331226,-0.4939642
0.64,0.1844866,-0.2407326,-0.5354612
0.65,0.2324831,-0.2052351,-0.5987066
0.66,0.2672306,-0.2012354,-0.662202
0.67,0.2609811,-0.2032353,-0.6139555
0.68,0.09974277,-0.1359901,-0.5139627
0.69,-0.07499456,-0.03149772,-0.3907217
0.7,-0.2399826,0.07299471,-0.2867292
0.71,-0.3829722,0.2282335,-0.2377328
0.72,-0.5122129,0.3752228,-0.1999855
0.73,-0.6322042,0.4894645,-0.2052351
0.74,-0.7511955,0.5487102,-0.2712303
0.75,-0.759195,0.4909644,-0.3524745
0.76,-0.7511955,0.3712231,-0.3552243
0.77,-0.8059416,0.2922288,-0.3197268
0.78,-0.8464386,0.2192341,-0.303228
0.79,-0.7079487,0.09749293,-0.2784798
0.8,-0.4989638,-0.06699514,-0.234483
0.81,-0.2282335,-0.2357329,-0.1602384
0.82,0.04424679,-0.4232193,-0.0799942
0.83,0.2222339,-0.5762082,0.0289979
0.84,0.3269763,-0.6572024,0.1902362
0.85,0.4212195,-0.6839504,0.3884718
0.86,0.4119701,-0.6359539,0.6022063
0.87,0.3129773,-0.4734657,0.7666944
0.88,0.1744874,-0.2957286,0.8371893
0.89,0.07699442,-0.1752373,0.8529382
0.9,0.02149844,-0.1044924,0.8116912
0.91,0.01199913,-0.07324469,0.7086986
0.92,0.001999855,-0.03349757,0.5439606
0.93,-0.04349685,0.07699442,0.3507246
0.94,-0.1949859,0.2199841,0.206735
0.95,-0.3334758,0.3332258,0.1114919
0.96,-0.3802224,0.3852221,0.04024708
0.97,-0.3777226,0.3932215,0.005999565
0.98,-0.4127201,0.3964713,0.001249909
0.9899999,-0.3877219,0.3599739,0.03574741
1,-0.3327259,0.2982284,0.123991
1.01,-0.2534816,0.2692305,0.2367328
1.02,-0.06324542,0.2189841,0.3427252
1.03,0.1594884,0.2044852,0.4402181
1.04,0.3002282,0.2632309,0.5737084
1.05,0.469216,0.3134773,0.7136983
1.06,0.5849576,0.3634737,0.7914426
1.07,0.5499601,0.4342185,0.7661945
1.08,0.4254692,0.482715,0.6317042
1.09,0.3257264,0.4794652,0.4217194
1.1,0.2709804,0.4049706,0.1809869
1.11,0.2824795,0.316727,-0.07699442
1.12,0.2784798,0.262481,-0.317977
1.13,0.289729,0.2222339,-0.5004637
1.14,0.2769799,0.2447323,-0.5909572
1.15,0.1572386,0.3434751,-0.620205
1.16,0.013749,0.4242193,-0.5997065
1.17,0.02149844,0.4162198,-0.5189624
1.18,0.07124484,0.2964785,-0.4247192
1.19,0.1304905,0.1607383,-0.3917216
1.2,0.2427324,-0.01674879,-0.4804652
1.21,0.330476,-0.2192341,-0.606706
1.22,0.2752301,-0.3839722,-0.6729512
1.23,0.1347402,-0.4937142,-0.6574523
1.24,-0.01549888,-0.5769582,-0.6129556
1.25,-0.1159916,-0.6402036,-0.5629592
1.26,-0.2389827,-0.6389537,-0.5352112
1.27,-0.2812296,-0.6062061,-0.482215
1.28,-0.2009854,-0.5864575,-0.3937215
1.29,-0.2029853,-0.4862148,-0.2949786
1.3,-0.3117274,-0.302978,-0.1462394
1.31,-0.2492319,-0.2219839,0.05499601
1.32,-0.1947359,-0.1592385,0.2247337
1.33,-0.09199333,-0.1052424,0.359224
1.34,0.1772372,-0.1904862,0.4507173
1.35,0.2972285,-0.192986,0.5212122
1.36,0.2407326,-0.1009927,0.5757083
1.37,0.2984784,-0.1117419,0.6822006
1.38,0.2222339,-0.09599304,0.8221904
1.39,-0.03049779,-0.00924933,0.9564307
1.4,-0.2317332,0.005999565,1.065673
1.41,-0.441718,0.03874719,1.147917
1.42,-0.6956996,0.1114919,1.181164
1.43,-0.773194,0.08474386,1.276407
1.44,-0.7299471,0.01899862,1.364151
1.45,-0.6449533,0.01299906,1.354402
1.46,-0.4502174,-0.02374828,1.278157
1.47,-0.1864865,-0.07274473,1.10117
1.48,-0.06174552,-0.04624665,0.8216904
1.49,-0.01249909,0.04249692,0.5437106
1.5,-0.01749873,0.1049924,0.3132273
1.51,-0.06024563,0.1569886,0.1179914
1.52,-0.124741,0.2527317,-0.06174552
1.53,-0.1589885,0.3409753,-0.1864865
1.54,-0.1957358,0.3889718,-0.2684805
1.55,-0.1592385,0.3499746,-0.3459749
1.56,-0.07099485,0.2127346,-0.3989711
1.57,-0.04049706,0.09899282,-0.455467
1.58,-0.1092421,0.05349612,-0.579458
1.59,-0.165738,0.02849793,-0.6989493
1.6,-0.206735,0.008749366,-0.8101913
1.61,-0.1414897,-0.01274908,-0.8634374
1.62,0.003499746,-0.05049634,-0.9064343
1.63,0.09599304,-0.04324687,-0.9676799
1.64,0.07899427,0.0179987,-1.050424
1.65,0.06524527,0.08149409,-1.135418
1.66,0.06724513,0.1044924,-1.149417
1.67,0.082744,0.0952431,-0.9666799
1.68,0.05299616,0.05474603,-0.6262046
1.69,0.03949714,0.02674806,-0.2589812
1.7,0.08724368,-0.007749438,0.02649808
1.71,0.2099848,-0.07099485,0.2332331
1.72,0.3404753,-0.1422397,0.3839722
