地点名:佃大橋　橋脚上P1,,,
ファイル名:11031101.SMC,,,
起動時刻:2011/03/11 14:51:29,,,
チャンネル数:3,,,
"該当地震：地震：2011年03月11日 14:46:18.1,14:51:27.4",,,
Time,N-S,E-W,U-D
0,-0.3899717,0.6277045,-0.3469748
0.01,-0.1624882,0.5159626,-0.4167198
0.02,0.2104847,0.3354757,-0.5094631
0.03,0.4332186,0.262731,-0.5769582
0.04,0.4109702,0.3329759,-0.6099558
0.05,0.3072277,0.4264691,-0.6304543
0.06,0.06249547,0.5594594,-0.6244547
0.07,-0.3827223,0.6892,-0.5017136
0.08,-0.6142055,0.6779509,-0.3067278
0.09,-0.6144555,0.5214622,-0.08899355
0.09999999,-0.5482103,0.3817223,0.09374321
0.11,-0.4622165,0.2967285,0.2579813
0.12,-0.3992211,0.2724802,0.4127201
0.13,-0.1884863,0.2229838,0.4744656
0.14,0.2837294,0.05749583,0.4677161
0.15,0.5314615,-0.02949786,0.4772154
0.16,0.4672161,-0.03299761,0.3874719
0.17,0.5004637,-0.1199913,0.1774871
0.18,0.4429679,-0.2259836,-0.0579958
0.19,0.2302333,-0.3012282,-0.248732
0.2,0.2537316,-0.3514745,-0.3184769
0.21,0.3234766,-0.3674734,-0.3109775
0.22,0.2684805,-0.2992283,-0.2907289
0.23,0.2777299,-0.2707304,-0.2009854
0.24,0.2982284,-0.2562314,-0.06399536
0.25,0.1302406,-0.1869864,0.04349685
0.26,-0.02024853,-0.166238,0.1367401
0.27,0.01399899,-0.1479893,0.2284834
0.28,0.1722375,-0.2142345,0.261731
0.29,0.3512245,-0.3217267,0.2099848
0.3,0.3809724,-0.3369756,0.1084921
0.31,0.3122274,-0.3772227,-0.005499601
0.32,0.4612166,-0.4989638,-0.08449388
0.33,0.5899572,-0.5694587,-0.1947359
0.34,0.4647163,-0.468716,-0.3682233
0.35,0.3402253,-0.358724,-0.5682088
0.36,0.3234766,-0.3079777,-0.7369466
0.37,0.1114919,-0.2507318,-0.8709369
0.38,-0.2052351,-0.1562387,-0.9301826
0.39,-0.386722,-0.1162416,-0.9221832
0.4,-0.5027136,-0.1604884,-0.8174407
0.41,-0.5552098,-0.2174842,-0.6217049
0.42,-0.4379683,-0.2467321,-0.4262191
0.43,-0.3157271,-0.2239838,-0.1962358
0.44,-0.2717303,-0.1754873,0.0234983
0.45,-0.1572386,-0.1622382,0.1714876
0.46,-0.09549308,-0.1089921,0.2887291
0.47,-0.234733,0.01549888,0.3609738
0.48,-0.2247337,0.08124411,0.3704731
0.49,-0.04924643,0.05999565,0.3554742
0.5,-0.04674661,0.06499529,0.3319759
0.51,-0.1419897,0.05349612,0.2457322
0.52,-0.07574451,-0.06649518,0.1179914
0.53,-0.110242,-0.1737374,-0.05574596
0.54,-0.289729,-0.1912361,-0.2117347
0.55,-0.3074777,-0.234733,-0.3022281
0.56,-0.2184842,-0.2739801,-0.3652235
0.57,-0.2469821,-0.2169843,-0.4087204
0.58,-0.2422324,-0.2262336,-0.3389754
0.59,-0.1544888,-0.234233,-0.1844866
0.6,-0.2364829,-0.1214912,0.001749873
0.61,-0.3944714,-0.0854938,0.1819868
0.62,-0.3262264,-0.1357402,0.3667234
0.63,-0.2679806,-0.1564887,0.5427107
0.64,-0.3194768,-0.1262408,0.6674516
0.65,-0.3222266,-0.0744946,0.6809506
0.66,-0.3262264,0.0427469,0.647953
0.67,-0.3464749,0.1864865,0.6044562
0.68,-0.1829867,0.1877364,0.5764582
0.69,0.1012427,0.08024418,0.5432106
0.7,0.2279835,0.02824795,0.4642164
0.71,0.2117347,0.05399609,0.3849721
0.72,0.2809796,0.1732374,0.3287262
0.73,0.4407181,0.2239838,0.2674806
0.74,0.4647163,0.2749801,0.2357329
0.75,0.2227339,0.4502174,0.1577386
0.76,0.1154916,0.5327114,0.07674444
0.77,0.1732374,0.5209622,0.1174915
0.78,0.003499746,0.606706,0.178987
0.79,-0.1719875,0.7404463,0.2084849
0.8,-0.1139917,0.7754438,0.1917361
0.81,-0.05974567,0.7749438,0.1697377
0.82,-0.00399971,0.7329469,0.1387399
0.83,0.2179842,0.5339613,0.05549598
0.84,0.4507173,0.3027281,-0.04424679
0.85,0.4437178,0.1452395,-0.13799
0.86,0.372723,-0.000249982,-0.2334831
0.87,0.4159698,-0.1509891,-0.2819796
0.88,0.4589667,-0.1719875,-0.3202268
0.89,0.4537171,-0.1497391,-0.2869792
0.9,0.5154626,-0.1919861,-0.1902362
0.91,0.5862075,-0.2257336,-0.110242
0.92,0.6427034,-0.3219767,-0.09624302
0.93,0.5952069,-0.3779726,-0.1494892
0.94,0.2332331,-0.2724802,-0.2122346
0.95,-0.1827368,-0.220484,-0.2697304
0.96,-0.3499746,-0.2527317,-0.2982284
0.97,-0.5864575,-0.2464821,-0.3119774
0.98,-0.9336823,-0.123991,-0.3164771
0.9899999,-0.9451815,-0.1002427,-0.2314832
1,-0.7359467,-0.1169915,-0.166238
1.01,-0.6159554,0.004999638,-0.1447395
1.02,-0.3124774,0.1049924,-0.1334903
1.03,0.09624302,0.1142417,-0.08649373
1.04,0.2379827,0.2094848,-0.05899572
1.05,0.3467249,0.2282335,-0.07024491
1.06,0.5639591,0.09774292,-0.04399681
1.07,0.579208,0.02724802,-0.02449822
1.08,0.4324687,-0.07924426,-0.03474748
1.09,0.316977,-0.1584885,-0.04699659
1.1,0.1124918,-0.206485,0.04474676
1.11,-0.07024491,-0.2952286,0.2699804
1.12,-0.1814868,-0.4059706,0.5234621
1.13,-0.4627165,-0.3964713,0.7669444
1.14,-0.7946924,-0.2742301,0.7991921
1.15,-0.7814434,-0.220234,0.841189
1.16,-0.6792008,-0.2502319,0.8781863
1.17,-0.6787008,-0.193736,1.035925
1.18,-0.579208,-0.13799,1.195413
1.19,-0.4502174,-0.1067423,1.266658
1.2,-0.3222266,-0.02924788,1.274658
1.21,-0.1364901,0.03199768,1.096421
1.22,0.006499529,0.05899572,0.8529382
1.23,-0.05549598,0.08999348,0.6642019
1.24,-0.1637381,0.08249402,0.510963
1.25,-0.1969857,0.06024563,0.3022281
1.26,-0.2722303,0.06024563,0.06474531
1.27,-0.3679733,0.1009927,-0.07374465
1.28,-0.3702232,0.07299471,-0.1909862
1.29,-0.3199768,0.02199841,-0.2282335
1.3,-0.2242337,0.009499311,-0.3147272
1.31,0.03924716,0.01474893,-0.441718
1.32,0.4012209,0.01024926,-0.6137055
1.33,0.6869502,0.005249619,-0.717948
1.34,0.8196906,0.04424679,-0.8011919
1.35,0.8186907,0.05224621,-0.9049344
1.36,0.7421962,0.03649735,-1.006927
1.37,0.6259546,0.0192486,-1.079672
1.38,0.497214,-0.03274763,-1.167415
1.39,0.1982356,-0.01824868,-1.169415
1.4,-0.3132273,0.1042424,-1.044424
1.41,-0.6577023,0.1252409,-0.7964423
