場所,地点番号,観測所名,観測地点住所,設置場所,形式,設置年月,更新年月１,更新年月２
河川構造物,3,中川護岸,葛飾区奥戸１－１,(1)地表面,SMAC-MDU,昭和50年3月,平成3年12月,平成19年3月
河川構造物,3,中川護岸,葛飾区奥戸１－１,(2)護岸,センサー,昭和50年3月,平成3年12月,平成19年3月
河川構造物,15,新中川堤防,江戸川区春江町３－２６－１,(1)地表面,SMAC-MDU,昭和55年3月,平成4年1月,平成18年3月
河川構造物,15,新中川堤防,江戸川区江戸川４－１４,(2)堤防上,SMAC-MDU※センサー,昭和55年3月,平成4年1月,平成18年3月
河川構造物,5,小名木川排水機場,江東区東砂２－１７－１,(1)地表面,SMAC-MDU,昭和50年3月,昭和62年11月,平成15年12月
河川構造物,5,小名木川排水機場,江東区東砂２－１７－１,(2)地下1階,SMAC-MDU,昭和50年3月,昭和62年11月,平成15年12月
河川構造物,11,扇橋閘門,江東区猿江１－５－１８,(1)地表面,SMAC-MDU,昭和52年3月,昭和63年11月,平成15年3月
河川構造物,11,扇橋閘門,江東区猿江１－５－１８,(2)水門,センサー,昭和52年3月,昭和63年11月,平成15年3月
河川構造物,12,大島川水門,江東区永代１－７－１５,(1)地表面,SMAC-MDU,昭和50年3月,平成1年11月,平成15年3月
河川構造物,12,大島川水門,江東区永代１－７－１５,(2)門柱,センサー,昭和50年3月,平成1年11月,平成15年3月
河川構造物,6,木下川排水機場,江戸川区平井７－３４－２５,(1)地表面,SMAC-MDU,昭和52年3月,平成2年10月,平成16年12月
河川構造物,6,木下川排水機場,江戸川区平井７－３４－２５,(2)地下1階,SMAC-MDU,昭和52年3月,平成2年10月,平成16年12月
道路橋梁,16,高円寺陸橋,中野区中野４－９,(1)地表面,SMAC-MDU,昭和54年3月,平成5年2月,平成16年12月
道路橋梁,16,高円寺陸橋,杉並区梅里１－２２,(2)橋脚,SMAC-MDU,昭和54年3月,平成5年2月,平成16年12月
道路橋梁,1,朝凪橋,江東区枝川１－９－１７,(1)地表面,SMAC-MDU,昭和55年3月,平成4年1月,平成15年12月
道路橋梁,1,朝凪橋,江東区枝川１－１,(2)橋脚,SMAC-MDU,昭和55年3月,平成4年1月,平成15年12月
道路橋梁,17,栄町陸橋,東村山市本町１－７,(1)地表面,SMAC-MDU,昭和56年3月,平成5年3月,平成19年3月
道路橋梁,17,栄町陸橋,東村山市本町１－７,(2)橋台,センサー,昭和56年3月,平成5年3月,平成19年3月
道路橋梁,19,羽村大橋,羽村市玉川２－１,(1)地表面,SMAC-MDU,昭和55年3月,平成4年2月,平成18年3月
道路橋梁,19,羽村大橋,羽村市玉川２－１,(2)橋脚P7,センサー,昭和55年3月,平成4年2月,平成18年3月
道路橋梁,19,羽村大橋,羽村市玉川２－１,(3)橋脚P9,センサー,昭和55年3月,平成4年2月,平成18年3月
道路橋梁,4,平井大橋,葛飾区西新小岩３－３５－２６,(1)地表面,SMAC-MDU,昭和41年3月,昭和62年3月,平成14年12月
道路橋梁,4,平井大橋,葛飾区西新小岩２－１,(2)橋脚P5,SMAC-MDU,昭和41年3月,昭和62年3月,平成14年12月
道路橋梁,4,平井大橋,葛飾区西新小岩２－１,(3)橋脚P6,センサー,昭和41年3月,昭和62年3月,平成14年12月
道路橋梁,10,厩橋,台東区蔵前２－１０,(1)地表面,SMAC-MDU,昭和50年3月,平成1年1月,平成14年3月
道路橋梁,10,厩橋,台東区駒形２－１,(2)橋脚P1,SMAC-MDU,昭和50年3月,平成1年11月,平成13年2月
道路橋梁,13,尾久橋,荒川区東尾久８－２５,(1)地表面,SMAC-MDU,昭和50年3月,平成1年1月,平成12年2月
道路橋梁,13,尾久橋,荒川区東尾久８－２５,(2)橋脚,センサー,昭和50年3月,平成1年1月,平成13年2月
道路橋梁,7,佃大橋,中央区明石町６,(1)地表面,SMAC-MDU,昭和50年3月,昭和63年1月,平成12年2月
道路橋梁,7,佃大橋,中央区明石町６,(2)橋脚P1,SMAC-MDU,昭和50年3月,昭和63年1月,平成13年2月
道路橋梁,7,佃大橋,中央区明石町６,(3)橋脚P2,SMAC-MDU,昭和50年3月,昭和63年1月,平成13年2月
道路橋梁,18,関戸橋,多摩市関戸３－２－２１,(1)地表面,SMAC-MDU,昭和50年3月,平成2年3月,平成13年11月
道路橋梁,18,関戸橋,府中市住吉町２,(2)橋脚P3,SMAC-MDU,昭和50年3月,平成2年3月,平成13年11月
道路橋梁,9,新大橋,墨田区両国１－２－１,(1)地表面,SMAC-MDU,昭和54年3月,平成2年3月,平成19年3月
道路橋梁,9,新大橋,中央区日本橋浜町３,(2)橋脚,SMAC-MDU,昭和54年3月,平成2年3月,平成15年3月
道路橋梁,8,黎明橋,中央区晴海３－１,(1)地表面,SMAC-MDU,昭和53年3月,平成2年12月,平成14年3月
道路橋梁,8,黎明橋,中央区晴海３－１,(2)橋脚P2,センサー,昭和53年3月,平成2年12月,平成14年3月
道路橋梁,14,上一色橋,江戸川区上一色３－３０－１２,(1)地表面,SMAC-MDU,昭和53年3月,平成2年12月,平成14年3月
道路橋梁,14,上一色橋,江戸川区上一色３－３０－１２,(2)地中GL-12.5m,地中センサー,-,平成17年3月,-
道路橋梁,14,上一色橋,江戸川区上一色３－３０－１２,(3)地中GL-40.0m,地中センサー,-,平成17年3月,-
道路橋梁,14,上一色橋,江戸川区上一色４２４,(4)橋脚,SMAC-MDU,昭和53年3月,平成2年12月,平成14年3月
土木技術支援・人 材育成センター,2,土木技術支援・人 材育成センター,江東区新砂１－９－１５,(1)地表面,SMAC-MD,平成8年8月,-,-
