観測地点１,観測地点２,観測地点３,2016/9/13・19:12:27NS[Gal],2016/9/13・19:12:27EW[Gal],2016/9/13・19:12:27UD[Gal],2016/10/20・11:49:54NS[Gal],2016/10/20・11:49:54EW[Gal],2016/10/20・11:49:54UD[Gal],2016/11/21・06:59:25NS[Gal],2016/11/21・06:59:25EW[Gal],2016/11/21・06:59:25UD[Gal],2016/11/22・05:59:47NS[Gal],2016/11/22・05:59:47EW[Gal],2016/11/22・05:59:47UD[Gal],2016/11/24・06:23:36NS[Gal],2016/11/24・06:23:36EW[Gal],2016/11/24・06:23:36UD[Gal]
河川構造物,中川護岸,GL,13.9,-14.4,6.8,-15.6,15.6,10.2,10.8,-12.4,5.6,20.8,-17.1,10.3,-5.8,-4.6,-3.4
河川構造物,中川護岸,SH,2.9,5.0,5.7,6.5,-15.1,3.4,1.7,4.6,-4.1,9.0,-12.6,-5.8,1.9,3.9,1.6
河川構造物,新中川堤防,GL,-,-,-,-10.9,-15.6,-5.4,11.4,12.7,-7.5,-25.2,20.6,-8.9,-6.4,-7.5,2.9
河川構造物,新中川堤防,BK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
河川構造物,小名木川,GL,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
河川構造物,排水機場,B1F,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
河川構造物,扇橋閘門,GL,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
河川構造物,扇橋閘門,GT,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
河川構造物,大島川水門,GL,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
河川構造物,大島川水門,GT,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
河川構造物,木下川,GL,6.0,-4.1,-9.2,-,-,-,-3.9,2.6,4.3,14.5,11.7,8.8,4.5,-2.8,2.5
河川構造物,排水機場,B1F,-2.1,-2.4,4.6,5.0,3.2,-2.3,-,-,-,7.9,9.9,-4.5,-,-,-
道路構造物（橋梁）,高円寺陸橋,GL,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,高円寺陸橋,P1,-,-,-,-,-,-,-,-,-,-28.1,18.2,-6.0,-,-,-
道路構造物（橋梁）,朝凪橋,GL,-8.3,8.3,-6.7,-4.0,-3.6,-4.5,4.7,5.0,-3.4,-19.2,-13.4,12.8,-4.7,-3.8,3.4
道路構造物（橋梁）,朝凪橋,P2,-,-,-,-,-,-,-,-,-,-15.0,-18.7,-4.1,-,-,-
道路構造物（橋梁）,栄町陸橋,GL,-,-,-,-,-,-,-,-,-,-7.5,-8.7,4.7,-,-,-
道路構造物（橋梁）,栄町陸橋,A2,-,-,-,-,-,-,-,-,-,-9.3,-8.5,5.8,-,-,-
道路構造物（橋梁）,羽村大橋,GL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路構造物（橋梁）,羽村大橋,P7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路構造物（橋梁）,羽村大橋,P9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路構造物（橋梁）,平井大橋,GL,-,-,-,-13.5,-18.7,-7.6,10.2,10.1,6.7,-17.2,-23.1,9.0,-5.8,-5.7,-2.6
道路構造物（橋梁）,平井大橋,P5,-11.0,6.4,9.5,-7.6,-10.8,-3.1,-4.1,-3.1,-4.6,26.4,15.4,4.5,-8.7,-4.8,-1.5
道路構造物（橋梁）,平井大橋,P6,-16.3,7.8,11.4,30.2,-15.3,4.8,-8.5,-5.0,-5.9,-30.7,-21.7,6.4,-9.4,7.0,-2.2
道路構造物（橋梁）,厩橋,GL,-7.4,5.7,4.4,-4.9,-6.3,-2.6,-,-,-,-10.0,11.3,-4.8,-4.2,4.4,-1.4
道路構造物（橋梁）,厩橋,P1,-,-,-,-,-,-,-13.5,-0.8,1.6,11.3,8.9,4.2,-,-,-
道路構造物（橋梁）,尾久橋,GL,-,-,-,-,-,-,-,-,-,-14.5,-16.9,-11.3,-5.6,-6.6,-6.6
道路構造物（橋梁）,尾久橋,P1,-,-,-,-,-,-,-,-,-,21.0,-25.1,-6.3,24.5,-23.6,-8.4
道路構造物（橋梁）,佃大橋,GL,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,佃大橋,P1,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,佃大橋,P2,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,関戸橋,GL,3.6,-4.8,3.3,-,-,-,-,-,-,-6.6,-7.2,3.8,-,-,-
道路構造物（橋梁）,関戸橋,P3,-,-,-,-,-,-,-,-,-,-13.9,-13.6,13.3,-,-,-
道路構造物（橋梁）,新大橋,GL,5.5,-7.5,5.6,-6.2,-5.4,-3.8,6.2,3.8,-2.8,15.7,11.3,10.8,4.8,4.2,-2.6
道路構造物（橋梁）,新大橋,P1,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,黎明橋,GL,-19.6,15.3,9.4,-9.6,6.8,6.7,-15.9,-16.1,-16.4,19.6,18.4,10.0,16.4,16.4,16.4
道路構造物（橋梁）,黎明橋,P2,11.5,-16.9,-12.5,5.9,-15.4,-10.5,-15.6,-13.5,-15.8,13.6,-18.7,-14.8,16.4,-16.0,-12.4
道路構造物（橋梁）,上一色橋,GL,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,上一色橋,G1,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,上一色橋,G2,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
道路構造物（橋梁）,上一色橋,P5,／,／,／,／,／,／,／,／,／,／,／,／,／,／,／
土木技術センター,,GL,8.9,-5.0,3.5,-,-,-,-,-,-,-14.5,-13.9,5.9,-5.8,-4.2,2.0
