地域,鉄管Ｎｏ,観測井名,ストレーナの深さ（ｍ）,観測井付近の地盤高,平成２５年１２月３１日Ａ（ｍ）,平成２６年１２月３１日Ｂ（ｍ）,平成２７年１２月３１日Ｃ（ｍ）,平成２８年１２月３１日Ｄ（ｍ）,２７年の変動量Ｃ－Ｂ（ｍ）,２８年の変動量Ｄ－Ｃ（ｍ）
東久留米市,研  59,東久留米　第１,85～90,39.8,14.98,16.40,16.56,16.98,0.16,0.42
東久留米市,研  60,東久留米　第２,158～169,39.8,12.20,14.39,14.77,15.55,0.38,0.78
東久留米市,研  61,東久留米　第３,393～417,39.8,15.63,17.17,17.02,17.85,-0.15,0.83
調布市,研  67,調布　第１,20～25,33.9,27.63,27.98,27.85,27.76,-0.13,-0.09
調布市,研  68,調布　第２,43～53,33.9,11.88,13.80,13.89,15.33,0.09,1.44
調布市,研  69,調布　第３,84～95,33.9,9.21,11.43,11.59,13.48,0.16,1.89
調布市,研  70,調布　第４,146～162,33.9,10.80,13.41,13.46,15.10,0.05,1.64
清瀬市,研  71,清瀬　第１,77～83,44.2,20.91,21.52,21.64,21.66,0.12,0.02
清瀬市,研  72,清瀬　第２,158～186,44.2,11.65,13.17,13.20,13.87,0.03,0.67
清瀬市,研  73,清瀬　第３,385～407,44.2,15.31,16.75,16.68,17.44,-0.07,0.76
東大和市,研  74,東大和　第１,75～81,97.2,53.73,54.48,54.84,55.05,0.36,0.21
東大和市,研  75,東大和　第２,154～165,97.2,25.37,26.60,27.04,28.51,0.44,1.47
東大和市,研  76,東大和　第３,226～248,97.2,19.71,20.92,21.39,23.40,0.47,2.01
立川市,研  77,立川　第１,90～102,75.0,68.19,68.22,69.20,69.49,0.98,0.29
立川市,研  78,立川　第２,238～255,75.0,68.40,68.71,69.07,69.20,0.36,0.13
小金井市,研  79,小金井　第１,71～83,71.3,16.46,19.74,19.30,19.65,-0.44,0.35
小金井市,研  80,小金井　第２,140～151,71.3,16.96,19.98,19.05,20.47,-0.93,1.42
小金井市,研  81,小金井　第３,243～259,71.3,19.86,23.44,20.81,22.86,-2.63,2.05
小金井市,研 108,小金井南　第１,114～125,46.8,20.10,22.97,23.12,24.50,0.15,1.38
小金井市,研 109,小金井南　第２,167～189,46.8,19.65,22.65,22.34,23.95,-0.31,1.61
武蔵村山市,研  82,武蔵村山　第１,94～100,124.5,95.86,95.85,95.95,96.17,0.10,0.22
武蔵村山市,研  83,武蔵村山　第２,164～175,124.5,67.45,67.54,67.86,67.67,0.32,-0.19
武蔵村山市,研  84,武蔵村山　第３,254～265,124.5,62.55,62.07,63.10,63.17,1.03,0.07
府中市,研  85,府中　第１,28～33,69.0,43.00,47.52,48.17,47.24,0.65,-0.93
府中市,研  86,府中　第２,142～153,69.0,40.16,43.82,44.11,44.55,0.29,0.44
府中市,研  87,府中　第３,213～241,69.0,34.01,35.10,34.40,35.35,-0.70,0.95
東村山市,研  88,東村山　第１,37～42,62.7,57.68,57.64,57.75,57.88,0.11,0.13
東村山市,研  89,東村山　第２,170～181,62.7,21.54,24.38,23.81,24.80,-0.57,0.99
東村山市,研  90,東村山　第３,257～273,62.7,17.97,20.15,19.37,20.92,-0.78,1.55
八王子市,研  91,八王子　第１,88～100,109.1,87.19,87.18,87.36,87.44,0.18,0.08
八王子市,研  92,八王子　第２,148～175,109.1,87.02,87.02,87.19,87.25,0.17,0.06
瑞穂町,研  93,瑞穂　第１,76～93,142.3,89.18,85.58,87.72,87.79,2.14,0.07
瑞穂町,研  94,瑞穂　第２,142～169,142.3,95.19,78.37,82.24,80.69,3.87,-1.55
多摩市,研 115,新多摩,92～125,49.5,50.81+,50.81+,50.81+,50.81+,+,-
稲城市,研  96,稲城,189～211,36.7,27.71,27.40,34.05,28.06,6.65,-5.99
町田市,研  97,町田　第１,72～84,61.8,58.25,58.36,58.68,59.50,0.32,0.82
町田市,研  98,町田　第２,147～169,61.8,33.98,34.01,33.88,33.94,-0.13,0.06
町田市,研 106,町田南　第１,42～53,53.1,30.91,30.58,30.50,30.53,-0.08,0.03
町田市,研 107,町田南　第２,176～203,53.1,35.47,36.07,36.45,36.76,0.38,0.31
三鷹市,研  99,三鷹　第１,97～113,55.5,16.19,17.25,17.92,18.67,0.67,0.75
三鷹市,研 100,三鷹　第２,178～233,55.5,6.51,8.48,8.38,9.59,-0.10,1.21
昭島市,研 101,昭島　第１,92～103,119.3,69.01,69.14,69.44,69.39,0.30,-0.05
昭島市,研 102,昭島　第２,187～210,119.3,65.03,64.94,65.19,65.44,0.25,0.25
