測定項目,単位,測定機器
すべり抵抗値（BPN）,BPN,振り子式スキッドレジスタンステスタ
動的摩擦係数（μ）,,回転式すべり抵抗測定器（DFテスタ）
コンクリート圧縮強度,N/mm2,シュミットハンマー
平均プロファイル深さ（MPD）,mm,回転式きめ深さ測定装置（CTメータ）
路面の勾配及び温度,％・℃,角度計・温度計
