和暦年,荒川河口付近（ｋｍ２／年）,足立区東部付近（ｋｍ２／年）,清瀬市、東久留米市、西東京市、練馬区付近区部（ｋｍ２／年）,清瀬市、東久留米市、西東京市、練馬区付近多摩地域（ｋｍ２／年）,清瀬市、東久留米市、西東京市、練馬区付近計（ｋｍ２／年）,合計（ｋｍ２／年）
42,37.9,54.0,28.6,-,28.6,120.5
43,50.6,67.9,45.9,-,45.9,164.4
44,49.9,59.0,24.4,-,24.4,133.3
45,45.4,60.8,58.8,-,58.8,165.0
46,37.7,35.7,38.5,-,38.5,111.9
47,22.6,4.6,13.2,9.4,22.6,49.8
48,6.2,6.7,1.3,43.4,44.7,57.6
49,1.9,0.0,3.9,22.6,26.5,28.4
50,0.1,0.0,0.0,0.0,0.0,0.1
51,0.0,0.0,0.0,4.0,4.0,4.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.5,0.5,0.5
54,0.0,0.0,0.0,0.0,0.0,0.0
