路線（路線番号）,路線（路線名称）,観測地点（地点名称）,観測地点（地点番号）,時間７～８,時間８～９,時間９～１０,時間１０～１１,時間１１～１２,時間１２～１３,時間１３～１４,時間１４～１５,時間１５～１６,時間１６～１７,時間１７～１８,時間１８～１９,昼間１２時間計,時間１９～２０,時間２０～２１,時間２１～２２,時間２２～２３,時間２３～０,時間０～１,時間１～２,時間２～３,時間３～４,時間４～５,時間５～６,時間６～７,夜間１２時間計,２４時間合計,調査機関,路線（路線番号）,路線（路線名称）,地点番号
1101,中央自動車道（富士吉田線）（大型車）,高井戸ＩＣ～世田谷区・東京都境間,10,411,462,410,310,256,288,257,295,280,299,299,378,3945,390,344,381,395,350,287,240,191,228,207,281,413,3707,7652,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,10
1101,中央自動車道（富士吉田線）（小型車）,高井戸ＩＣ～世田谷区・東京都境間,10,4099,4184,4830,4961,4839,4338,4433,4880,4999,4855,4694,4527,55639,4467,4230,3767,3306,2271,1687,1108,811,716,1030,1993,3473,28859,84498,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,10
1101,中央自動車道（富士吉田線）（計）,高井戸ＩＣ～世田谷区・東京都境間,10,4510,4646,5240,5271,5095,4626,4690,5175,5279,5154,4993,4905,59584,4857,4574,4148,3701,2621,1974,1348,1002,944,1237,2274,3886,32566,92150,中日本高速,1101,中央自動車道（富士吉田線）（計）,10
1110,東北縦貫自動車道（大型車）,大泉ＪＣＴ～和光ＩＣ,20,405,438,357,289,285,255,240,306,283,288,246,303,3695,303,296,285,380,304,314,253,214,226,196,279,305,3355,7050,東日本高速,1110,東北縦貫自動車道（大型車）,20
1110,東北縦貫自動車道（小型車）,大泉ＪＣＴ～和光ＩＣ,20,3269,3515,3741,3758,3453,3212,3333,3983,4185,4310,4134,4080,44973,3857,3613,3496,2790,1560,887,537,408,410,727,1800,3058,23143,68116,東日本高速,1110,東北縦貫自動車道（小型車）,20
1110,東北縦貫自動車道（計）,大泉ＪＣＴ～和光ＩＣ,20,3674,3953,4098,4047,3738,3467,3573,4289,4468,4598,4380,4383,48668,4160,3909,3781,3170,1864,1201,790,622,636,923,2079,3363,26498,75166,東日本高速,1110,東北縦貫自動車道（計）,20
1800,関越自動車道（新潟線）（大型車）,練馬ＩＣ～大泉ＪＣＴ,30,153,181,140,119,113,118,145,111,85,96,108,112,1481,122,149,140,100,130,86,39,72,72,81,117,94,1202,2683,東日本高速,1800,関越自動車道（新潟線）（大型車）,30
1800,関越自動車道（新潟線）（小型車）,練馬ＩＣ～大泉ＪＣＴ,30,1860,1829,2010,1977,1966,1702,2004,2603,2406,2306,2187,2205,25055,2231,2139,1968,1829,995,493,356,329,233,368,956,1773,13670,38725,東日本高速,1800,関越自動車道（新潟線）（小型車）,30
1800,関越自動車道（新潟線）（計）,練馬ＩＣ～大泉ＪＣＴ,30,2013,2010,2150,2096,2079,1820,2149,2714,2491,2402,2295,2317,26536,2353,2288,2108,1929,1125,579,395,401,305,449,1073,1867,14872,41408,東日本高速,1800,関越自動車道（新潟線）（計）,30
1800,関越自動車道（新潟線）（大型車）,大泉ＪＣＴ～所沢ＩＣ,40,539,654,511,403,398,434,442,434,450,485,436,472,5658,442,472,424,433,478,352,314,278,266,299,365,375,4498,10156,東日本高速,1800,関越自動車道（新潟線）（大型車）,40
1800,関越自動車道（新潟線）（小型車）,大泉ＪＣＴ～所沢ＩＣ,40,4950,4718,5234,4993,4643,4326,4663,5688,6089,5858,5292,5113,61567,4636,4671,4487,3682,2090,1042,754,632,559,878,2488,4618,30537,92104,東日本高速,1800,関越自動車道（新潟線）（小型車）,40
1800,関越自動車道（新潟線）（計）,大泉ＪＣＴ～所沢ＩＣ,40,5489,5372,5745,5396,5041,4760,5105,6122,6539,6343,5728,5585,67225,5078,5143,4911,4115,2568,1394,1068,910,825,1177,2853,4993,35035,102260,東日本高速,1800,関越自動車道（新潟線）（計）,40
14,一般国道１４号（京葉道路）（大型車）,東京都江戸川区大杉３丁目,10340,147,193,162,140,137,101,116,111,121,105,126,114,1573,105,105,106,52,88,91,88,96,75,101,99,121,1127,2700,東日本高速,14,一般国道１４号（京葉道路）（大型車）,10340
14,一般国道１４号（京葉道路）（小型車）,東京都江戸川区大杉３丁目,10340,1250,1685,2089,2431,2523,2794,2691,2738,2940,2904,2976,2986,30007,2629,2249,1969,1654,1247,1227,1055,824,619,522,621,903,15519,45526,東日本高速,14,一般国道１４号（京葉道路）（小型車）,10340
14,一般国道１４号（京葉道路）（計）,東京都江戸川区大杉３丁目,10340,1397,1878,2251,2571,2660,2895,2807,2849,3061,3009,3102,3100,31580,2734,2354,2075,1706,1335,1318,1143,920,694,623,720,1024,16646,48226,東日本高速,14,一般国道１４号（京葉道路）（計）,10340
14,一般国道１４号（京葉道路）（大型車）,東京都江戸川区篠崎８丁目,10350,217,176,170,184,149,163,165,156,118,119,139,149,1905,157,129,90,91,94,87,76,82,77,121,147,161,1312,3217,東日本高速,14,一般国道１４号（京葉道路）（大型車）,10350
14,一般国道１４号（京葉道路）（小型車）,東京都江戸川区篠崎８丁目,10350,2254,2486,2860,2953,3177,2921,3105,3336,3326,3396,3392,3025,36231,2667,2166,1857,1303,936,954,756,599,570,789,1178,1827,15602,51833,東日本高速,14,一般国道１４号（京葉道路）（小型車）,10350
14,一般国道１４号（京葉道路）（計）,東京都江戸川区篠崎８丁目,10350,2471,2662,3030,3137,3326,3084,3270,3492,3444,3515,3531,3174,38136,2824,2295,1947,1394,1030,1041,832,681,647,910,1325,1988,16914,55050,東日本高速,14,一般国道１４号（京葉道路）（計）,10350
14,一般国道１４号（京葉道路）（大型車）,一之江出入口～篠崎ＩＣ,10360,114,93,84,74,72,70,71,63,65,67,56,53,882,61,63,85,75,89,62,65,57,59,47,74,89,826,1708,東日本高速,14,一般国道１４号（京葉道路）（大型車）,10360
14,一般国道１４号（京葉道路）（小型車）,一之江出入口～篠崎ＩＣ,10360,2177,2292,2390,2452,2383,2399,2446,2544,2512,2449,2304,2218,28566,2263,2101,1824,1477,1140,1015,750,598,500,706,1215,1800,15389,43955,東日本高速,14,一般国道１４号（京葉道路）（小型車）,10360
14,一般国道１４号（京葉道路）（計）,一之江出入口～篠崎ＩＣ,10360,2291,2385,2474,2526,2455,2469,2517,2607,2577,2516,2360,2271,29448,2324,2164,1909,1552,1229,1077,815,655,559,753,1289,1889,16215,45663,東日本高速,14,一般国道１４号（京葉道路）（計）,10360
14,一般国道１４号（京葉道路）（大型車）,篠崎ＩＣ～市川ＩＣ,10370,329,279,259,268,230,240,237,219,189,195,206,204,2855,211,190,175,168,189,153,146,139,138,170,219,248,2146,5001,東日本高速,14,一般国道１４号（京葉道路）（大型車）,10370
14,一般国道１４号（京葉道路）（小型車）,篠崎ＩＣ～市川ＩＣ,10370,4628,4979,5489,5646,5812,5554,5800,6142,6089,6095,5947,5469,67650,5138,4438,3829,2887,2151,2047,1568,1252,1121,1571,2510,3795,32307,99957,東日本高速,14,一般国道１４号（京葉道路）（小型車）,10370
14,一般国道１４号（京葉道路）（計）,篠崎ＩＣ～市川ＩＣ,10370,4957,5258,5748,5914,6042,5794,6037,6361,6278,6290,6153,5673,70505,5349,4628,4004,3055,2340,2200,1714,1391,1259,1741,2729,4043,34453,104958,東日本高速,14,一般国道１４号（京葉道路）（計）,10370
466,一般国道４６６号（第三京浜道路）（大型車）,玉川ＩＣ～京浜川崎ＩＣ,11010,91,57,61,71,58,64,51,70,73,64,46,67,773,62,80,74,59,49,51,42,45,39,34,56,53,644,1417,東日本高速,466,一般国道４６６号（第三京浜道路）（大型車）,11010
466,一般国道４６６号（第三京浜道路）（小型車）,玉川ＩＣ～京浜川崎ＩＣ,11010,2599,3148,3488,3683,3566,3565,3625,3887,4136,4582,4430,3740,44449,3199,2948,2633,1920,1366,1214,954,737,575,795,1102,1674,19117,63566,東日本高速,466,一般国道４６６号（第三京浜道路）（小型車）,11010
466,一般国道４６６号（第三京浜道路）（計）,玉川ＩＣ～京浜川崎ＩＣ,11010,2690,3205,3549,3754,3624,3629,3676,3957,4209,4646,4476,3807,45222,3261,3028,2707,1979,1415,1265,996,782,614,829,1158,1727,19761,64983,東日本高速,466,一般国道４６６号（第三京浜道路）（計）,11010
