区分,昭和３３年９月（１９５８）
災害種別,狩野川台風（洪水）
気圧（hPa）,970.7
時間最大雨量（mm/h）,76.0
総雨量（mm）,444.1
日数,22～27日
潮位（A.P.m）,2.91
浸水面積（Km2）,211.03
床上浸水家屋（戸）,123626
床下浸水家屋（戸）,340404
死傷者（人）,203
損害家屋（戸）,962
