善福寺川１,善福寺川２,取水直前8/22・11:05水位（A.P.m),取水直後8/22・11:15水位（A.P.m),差（m）
上流側,武蔵野橋ﾃﾚﾒｰﾀ,33.57,33.54,-0.03
上流側,武蔵野橋水位計,33.57,33.46,-0.11
上流側,熊野橋水位計,33.41,33.23,-0.18
上流側,紅葉橋水位計,33.31,33.07,-0.24
上流側,本村橋第１水位計,33.12,32.70,-0.42
上流側,本村橋第２水位計,33.12,32.68,-0.45
上流側,定塚橋ﾃﾚﾒｰﾀ,32.95,32.29,-0.66
上流側,定塚橋水位計,32.92,32.28,-0.64
下流側,和田堀橋水位計,32.81,32.43,-0.38
下流側,霊峰橋水位計,30.94,30.63,-0.31
下流側,朝日橋ﾃﾚﾒｰﾀ,30.67,30.38,-0.29
