No.,名称,施工年度,路線名１,路線名２,路線名３
Ｓ1,神保町,19,主,302,新宿両国線
Ｓ2,築地四丁目,19,主,50,東京市川線
Ｓ3,八丁堀,20,主,50,東京市川線
Ｓ4,有楽町一丁目,20,主,304,日比谷豊洲埠頭東雲町線
Ｓ5,内幸町,20,主,409,日比谷芝浦線
Ｓ6,港南二丁目,20,主,316,日本橋芝浦大森線
Ｓ7,三田,20,特,409,日比谷芝浦線
Ｓ8,芝公園三丁目,20,主,301,白山祝田田町線
Ｓ9,北品川,20,主,317,環状六号線
Ｓ10,新宿一丁目北,20,主,302,新宿両国線
Ｓ11,青山一丁目,21,主,319,環状三号線
Ｓ12,二重橋前,21,特,406,皇居前鍛冶橋線
Ｓ13,汐先橋,21,主,316,日本橋芝浦大森線
Ｓ14,鶴巻町,21,主,319,環状三号線
Ｓ15,江戸川橋,21,主,8,千代田練馬田無線
Ｓ16,銀座東五丁目,21,主,316,日本橋芝浦大森線
Ｓ17,お茶の水,21,特,405,外濠環状線
Ｓ18,祐天寺,21,特,416,古川橋二子玉川線
Ｓ19,月島,21,特,463,上野月島線
Ｓ20,中目黒,21,主,317,環状六号線
Ｓ21,四ツ谷,22,特,405,外濠環状線
Ｓ22,新宿五丁目,22,主,302,新宿両国線
Ｓ23,渋谷橋,22,主,305,芝新宿王子線
Ｓ24,竜閑橋,22,特,405,外濠環状線
Ｓ25,日本橋,22,特,405,外濠環状線
Ｓ26,南池袋,22,主,305,芝新宿王子線
Ｓ27,芝公園２,23,特,409,日比谷芝浦線
Ｓ28,神田須田町１,23,主,302,新宿両国線
Ｓ29,元赤坂２,23,特,405,外濠環状線
Ｓ30,神宮前２,23,特,418,北品川四谷線
Ｓ31,四谷１,23,特,405,外濠環状線
Ｓ32,津久戸町,23,主,25,飯田橋石神井新座線
Ｓ33,駒込１,23,特,455,本郷赤羽線
Ｓ34,東陽６,23,特,465,深川吾嬬町線
Ｓ35,小石川５,23,特,436,小石川西巣鴨線
Ｓ36,高輪１,24,特,415,高輪麻布線
Ｓ37,高輪２,24,特,415,高輪麻布線
Ｓ38,中延１,24,特,420,鮫洲大山線
Ｓ39,原町１,24,特,433,神楽坂高円寺線
Ｓ40,市谷田町２,24,特,405,外濠環状線
Ｓ41,要町１,24,特,441,池袋谷原線
Ｓ42,亀戸３,24,主,306,王子千住南砂町線
