適正化区域・重点適正化区域の一覧,,,,
重点適正化区域,,,,
水　　域　　名,,指定日,所　　　　　　在,
一級河川　新中川,,H15.1.1,中川分派点～旧江戸川合流点,区間全域
一級河川　旧江戸川,,H16.8.1,江戸川区東篠崎町1601番4地先（江戸川区水上バススポーツランドステーション付近）～江戸川区南葛西７丁目100番1地先（向卯樋門）,東京都に属する区域
一級河川　新芝川,,H18.12.1,足立区入谷9 丁目2691番地先～足立区鹿浜2丁目51番地先,東京都に属する区域
一級河川　綾瀬川,,H19.9.5,足立区神明1 丁目5293 番地先（内匠橋）～葛飾区四つ木1丁目2966番地先（中川合流点）,"東京都に属する区域
（国の直轄管理区域を除く）"
一級河川　中川,,H30.3.1,葛飾区青戸2丁目635番地先（高砂橋）～江戸川区臨海町6丁目100番1地先（東京湾への合流点）,区間全域
一級河川　海老取川,,H20.10.1,大田区羽田6丁目１１番１４地先（多摩川からの分派点）～大田区羽田旭町10番1地先の海老取川区域内,区間全域
二級河川　築地川,,H20.12.24,中央区浜離宮庭園1番地先（大手門橋）～中央区築地5丁目1番3地先の築地川区域内,区間全域
一級河川　亀島川,,H27.8.1,中央区日本橋茅場町1丁目1番3地先(日本橋川からの分派点）～中央区新川2丁目30番6地先(隅田川への合流点）,区間全域
一級河川　竪川,,H27.11.1,墨田区立川4丁目7番13地先(大横川との交点）～墨田区両国1丁目20番6地先(隅田川への合流点）,区間全域
二級河川　呑川,,H28.7.15,大田区東蒲田2丁目27番6地先(夫婦橋）～大田区東糀谷6丁目1346番3地先(東京湾への合流点）,区間全域
一級河川　小名木川,,H30.3.1,江東区東砂2丁目1番地先(旧中川からの分派点）～江東区清澄1丁目1番7地先(隅田川への合流点）,区間全域
一級河川　大場川,,R4.3.1,葛飾区水元公園1605番地先（埼玉県境）～葛飾区西水元4丁目260番地先（中川の合流点）まで,区間全域
竹芝ふ頭,竹芝ふ頭,H15.1.1,港区海岸1丁目地先,前面30mの水域
日の出ふ頭,日の出ふ頭,H15.1.1,港区海岸2丁目地先,
芝浦ふ頭,芝浦ふ頭,H15.1.1,港区海岸3丁目地先,
品川ふ頭,品川ふ頭,H15.1.1,港区港南5丁目地先～品川区東品川5丁目地先,
"大井ふ頭
その１",大井コンテナふ頭,H15.1.1,品川区八潮2丁目地先～大田区東海5丁目・6丁目地先,
,大井水産物ふ頭,,,
,大井食品ふ頭,,,
"大井ふ頭
その２",城南島小型油槽船係留設備,H15.1.1,大田区城南島6丁目地先,
,大井建材ふ頭,H15.1.1,大田区城南島1丁目地先,
,建材発生土ふ頭,,,
月島,月島ふ頭,H15.1.1,中央区豊海町地先,
晴海ふ頭,朝潮ふ頭,H15.1.1,中央区晴海5丁目地先,
,晴海ふ頭,,,
豊洲ふ頭,豊洲ふ頭,H15.1.1,江東区豊洲5丁目地先,
１３号地その１,有明ふ頭,H15.1.1,"港区台場1丁目地先
",
１３号地その２,青海コンテナふ頭,H15.1.1,江東区青海2丁目地先,
,お台場ライナーふ頭,,,
１０号地その２,１０号地ふ頭,H15.1.1,江東区有明4丁目地先,
,フェリーふ頭,,,
１０号地その１,１０号地その１多目的ふ頭,H15.1.1,江東区有明3丁目地先,
,,,,
"中央防波堤
内側埋立地",中央防波堤内側ばら物ふ頭,H15.1.1,江東区青海2丁目地先,
１２号地,辰巳ふ頭,H15.1.1,江東区辰巳3丁目地先,
１５号地その１,１５号地木材ふ頭,H15.1.1,江東区若洲地先,
,１５号地ふ頭,,,
,若洲建材ふ頭,,,
水上輸送基地,有明客船ターミナル,H15.1.1,江東区有明3丁目地先,周辺30mの水域
,青海客船ターミナル,H15.1.1,江東区青海2丁目地先,
,夢の島乗船場,H15.1.1,江東区夢の島3 番地先,
,水辺ライン（大井）,H15.1.1,品川区勝島2丁目地先,
,都漁連水産物流通センター桟橋,H15.1.1,大田区京浜島3丁目地先,
,,,,
適正化区域,,,,
一級河川　新河岸川,,H15.1.1,板橋区三園2丁目地先の埼玉県境～隅田川合流点,区間全域
一級河川　旧江戸川,,H16.8.1,江戸川区東篠崎町1601番4地先（江戸川区水上バススポーツランドステーション付近）～臨海町6丁目100番3地先（舞浜大橋）,東京都に属する区域
運河,京浜運河,H15.1.1,,運河全域
,砂町運河,,,
,東雲運河,,,
,豊洲運河,,,
,辰巳運河,,,
,朝潮運河,,,
,曙運河,,,
,晴海運河,,,
