ＮＯ．,路線名,区間（箇所）,延長（ｍ）
都０４,立川３・１・３４　号線,主地７　号線～立川３・３・３　号線,500
都０７,立川３・２・４　号線,立川３・３・３０　号線～瑞穂町境,5065
都０８,立川３・２・３８　号線,昭島市境～立川３・２・１６　号線,395
都０９,立川３・３・３　号線,立川３・３・３０　号線～都道１６２　号線,3380
都１０,立川３・３・３　号線,立川３・４・４０　号線西側～福生市境,1640
都１１,立川３・３・３０　号線,立川３・２・１０　号線付近～立川３・２・３１　号線,2050
都１３,立川３・３・３０　号線,主地５　号線～都市計画区間,690
都２１,青梅３・４・１　号線,青梅３・５・２８　号線西側付近～都道２３８　号線東側付近,1350
都２２,青梅３・４・１　号線,青梅３・４・２５　号線西側付近～青梅３・５・２８　号線東側付近,670
都２３,青梅３・４・２５　号線,青梅３・４・１　号線～長淵第二配水所付近,410
都２７,昭島３・２・３　号線,昭島３・２・１１　号線東側～昭島３・４・９　号線,1060
都２８,昭島３・２・１１　号線,昭島３・４・２　号線～立川市境,1660
都５４,福生３・３・３０　号線,福生３・４・２　号線～福生３・４・７　号線,650
都５５,福生３・４・２　号線,福生３・３・３０　号線～福生３・４・５　号線,520
都５６,福生３・４・３　号線の１,立川市境～福生３・４・１０　号線,1110
都５７,福生３・４・４　号線,武蔵村山市境～福生３・５・２４　号線西側,1430
都５８,福生３・４・１０　号線,福生３・４・４　号線～福生３・５・１７　号線,650
都５９,福生３・４・１２　号線外,あきる野市上折立～主地２９　号線,560
都６０,福生３・５・１７　号線,福生３・４・１０　号線～福生３・４・３０　号線,380
都６４,秋多３・４・６　号線外,永田橋～秋多３・３・９　号線東側付近,750
都６５,秋多３・４・１６　号線,秋多７・５・１　号線～秋多３・５・１５　号線,420
