ケース１,ケース２,発生年月日,発生年月日発生時間,震央,深さ(km),地震の規模Mj(Mw),大手町の震度
増杭前,（1）,2011/3/11,14:46:18,三陸沖,24,（9.0）,5強
増杭前,（2）,2011/4/11,17:16:12,福島県浜通り,6,7.0,4
増杭前,（3）,2011/4/16,11:19:32,茨城県南部,79,5.9,4
増杭前,（4）,2012/1/1,14:27:52,鳥島近海,397,7.0,4
増杭前,（5）,2012/11/24,17:59:47,東京湾,72,4.8,4
増杭後,（1）,2014/9/16,12:28:32,茨城県南部,47,5.6,4
増杭後,（2）,2015/5/25,14:28:10,埼玉県北部,56,5.5,4
増杭後,（3）,2015/5/30,20:23:02,小笠原諸島西方沖,682,8.1,4
増杭後,（4）,2015/9/12,05:49:07,東京湾,57,5.2,4
