年,地域区部（千ｍ３／日）,地域多摩地域（千ｍ３／日）,計（千ｍ３／日）
昭 36,870,201,1071
37,879,243,1122
38,947,308,1255
39,967,379,1346
40,849,499,1348
41,676,562,1238
42,614,624,1238
43,567,660,1227
44,563,707,1270
45,624,872,1496
46,550,891,1441
47,402,874,1276
48,361,882,1243
49,273,839,1112
50,206,811,1017
51,185,792,977
52,162,751,913
53,154,742,896
54,146,726,872
55,142,695,837
56,139,667,806
57,137,632,769
58,121,617,738
59,120,605,725
60,118,594,712
61,116,568,684
62,117,558,675
63,115,574,689
平 元,113,566,679
2,117,557,674
3,114,551,665
4,115,550,665
5,112,544,656
6,113,552,665
7,111,546,657
8,110,574,684
9,108,558,666
10,107,539,646
11,105,548,653
12,107,545,652
13,47,507,554
14,45,506,551
15,45,509,553
16,44,512,556
17,43,505,549
18,42,495,537
19,43,482,525
20,41,471,512
21,39,449,488
22,39,433,471
23,37,404,440
24,39,423,461
25,40,403,443
26,38,395,433
27,37,388,425
