地点名:黎明橋　地盤上/橋脚上,,,,,,
ファイル名:11031101.SMC,,,,,,
起動時刻:2011/03/11 14:47:42,,,,,,
チャンネル数:6,,,,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,,,,
Time,N-S,E-W,U-D,N-S,E-W,U-D
0,0.7974422,0.6414535,-0.05724585,-0.01824868,0.6552025,0.5067133
0.01,0.7599449,0.7181979,0.02999783,-0.1767372,0.5974567,0.5294616
0.02,0.7299471,0.5707086,0.1567386,-0.2169843,0.4949641,0.2647308
0.03,0.606956,0.4249692,0.1899862,-0.1864865,0.3147272,0.02399826
0.04,0.386222,0.3684733,0.1529889,0.04149699,0.3874719,-0.1187414
0.05,0.2312332,0.3742229,0.1497391,0.01874864,0.4949641,-0.09749293
0.06,0.1147417,0.468966,0.1332403,0.1002427,0.3559742,-0.05974567
0.07,0.01474893,0.5249619,0.1544888,-0.03349757,0.1214912,-0.1134918
0.08,-0.109992,0.4769654,0.1294906,-0.2694805,0.05074632,-0.07224476
0.09,-0.2854793,0.4159698,-0.04224694,-0.06674516,0.1549888,-0.002249837
0.09999999,-0.3014781,0.3119774,-0.3084776,0.3907217,0.1074922,-0.03699732
0.11,-0.1879864,0.1712376,-0.4034708,0.4204695,-0.07974422,-0.2089849
0.12,-0.08749366,0.06699514,-0.3364756,0.1052424,-0.206735,-0.3842221
0.13,0.04024708,0.05049634,-0.3549743,-0.1822368,-0.0317477,-0.3889718
0.14,0.01699877,0.1834867,-0.4887146,0.1032425,0.207485,-0.4449677
0.15,-0.08749366,0.3332258,-0.5607094,0.4154699,0.09399319,-0.6474531
0.16,0.01849866,0.3539743,-0.5942069,0.4392182,-0.1727375,-0.883186
0.17,0.1402398,0.3159771,-0.6327041,0.05174625,-0.3162271,-0.8544381
0.18,0.0799942,0.1884863,-0.5969567,-0.08099413,-0.2187341,-0.5712086
0.19,0.03974712,-0.04349685,-0.468966,0.0454967,-0.06449533,-0.2867292
0.2,0.01774871,-0.2199841,-0.3562242,-0.05274618,-0.1342403,-0.1434896
0.21,-0.1164916,-0.2594812,-0.3119774,-0.2724802,-0.4049706,-0.04974639
0.22,-0.1177415,-0.2134845,-0.1527389,-0.1037425,-0.6682016,0.07024491
0.23,-0.03249764,-0.13774,0.1344903,0.3742229,-0.6219549,0.1132418
0.24,-0.02974784,-0.09449315,0.330726,0.3184769,-0.4444678,0.08724368
0.25,-0.04249692,-0.1079922,0.3619738,0.3114774,-0.3019781,0.04924643
0.26,-0.02449822,-0.1674879,0.3124774,0.2322332,-0.2842294,-0.01624882
0.27,-0.02099848,-0.2587312,0.3319759,-0.1209912,-0.1904862,-0.07424462
0.28,-0.0109992,-0.3264763,0.2809796,-0.3599739,-0.1442395,-0.04349685
0.29,-0.0909934,-0.3427252,0.05774581,-0.164988,-0.2739801,0.1227411
0.3,-0.3919716,-0.5289617,-0.01324904,0.1767372,-0.3679733,0.4024708
0.31,-0.4979639,-0.6357039,0.1969857,0.1844866,-0.3384755,0.6714513
0.32,-0.4769654,-0.7299471,0.2254837,0.008749366,-0.1609883,0.8984349
0.33,-0.5859575,-0.7704442,0.4127201,-0.04249692,0.007249475,0.937932
0.34,-0.592957,-0.7381965,0.483465,-0.02999783,-0.07474458,0.6692015
0.35,-0.4917144,-0.6569524,0.5644591,-0.1632382,-0.3647236,0.4234693
0.36,-0.2289834,-0.4932142,0.4309688,-0.4994638,-0.5829577,0.3334758
0.37,-0.1322404,-0.3752228,0.2277335,-0.6057061,-0.4219694,0.3137273
0.38,-0.09149337,-0.316727,0.1332403,-0.3554742,-0.1902362,0.2002355
0.39,-0.1222411,-0.3362256,-0.02099848,-0.09449315,-0.03549743,-0.01299906
0.4,-0.3279762,-0.4167198,-0.2722303,0.08524382,0.0262481,-0.1559887
0.41,-0.5022136,-0.4677161,-0.4877146,0.1864865,0.05224621,-0.1257409
0.42,-0.6109557,-0.4384682,-0.6082059,0.09574306,0.1464894,-0.1274908
0.43,-0.5727085,-0.2769799,-0.5992066,-0.1464894,0.04149699,-0.1332403
0.44,-0.4149699,-0.124741,-0.5022136,-0.1954858,0.0179987,-0.1444895
0.45,-0.2459822,0.02224839,-0.3089776,-0.05024636,0.2117347,-0.2147344
0.46,0.01474893,0.1607383,-0.1969857,0.001249909,0.4072205,-0.3677233
0.47,0.3257264,0.1994855,-0.2634809,0.006499529,0.4292189,-0.6059561
0.48,0.5609593,0.07824433,-0.3344758,-0.3162271,0.3057278,-0.8031918
0.49,0.5409608,-0.1472393,-0.2377328,-0.1869864,0.2329831,-0.8926853
0.5,0.4169698,-0.3337258,0.05874574,0.06549525,0.1717376,-0.8544381
0.51,0.2837294,-0.3112274,0.2432324,0.2492319,0.3367256,-0.6737012
0.52,0.1432396,-0.2407326,0.1714876,0.3224766,0.676451,-0.3877219
0.53,0.1094921,-0.1569886,0.0192486,0.1702377,0.7566952,-0.04424679
0.54,0.1112419,0.02699804,0.02399826,-0.0262481,0.27573,0.1677378
0.55,0.03474748,0.2014854,0.1767372,-0.3637236,-0.2567314,0.248482
0.56,-0.06749511,0.3119774,0.3462249,-0.400471,-0.3242265,0.2229838
0.57,0.05399609,0.2889791,0.4407181,0.1869864,-0.01724875,0.1599884
0.58,0.1209912,0.3282262,0.3509746,0.4027208,0.2909789,0.08149409
0.59,0.1204913,0.3804724,0.1312405,0.06099558,0.1829867,0.002749801
0.6,0.07749438,0.2797297,-0.04574668,-0.234983,-0.2302333,0.01149917
0.61,-0.02024853,0.1324904,-0.1217412,-0.3372256,-0.4062206,0.07624447
0.62,-0.08749366,0.05249619,-0.1182414,-0.1409898,-0.3652235,0.1324904
0.63,-0.179987,0.05774581,-0.03874719,0.2677306,-0.1537389,0.2374828
0.64,-0.2082349,0.1194913,0.09899282,0.2699804,0.06149554,0.3927215
0.65,-0.1294906,0.1939859,0.220734,0.003499746,0.179987,0.496714
0.66,-0.02749801,0.3079777,0.2942287,-0.0179987,0.1729875,0.5944569
0.67,0.06474531,0.4034708,0.3529744,-0.01949859,-0.1052424,0.6414535
0.68,0.1069922,0.5574596,0.3517245,-0.05324614,-0.2469821,0.6002065
0.69,0.2157344,0.6784508,0.3514745,0.2114847,-0.08399391,0.6312042
0.7,0.3672234,0.6874502,0.3427252,0.4234693,0.1292406,0.6589522
0.71,0.5414608,0.6039562,0.4009709,-0.003749728,0.1672379,0.6302043
0.72,0.6089559,0.4957141,0.5477103,-0.2854793,0.01874864,0.4669662
0.73,0.6057061,0.3087276,0.55221,0.08974349,-0.1829867,0.3094776
0.74,0.4974639,0.1412398,0.3074777,0.6382037,-0.2122346,0.2249837
0.75,0.2919788,0.04299688,0.06024563,0.7101985,0.07674444,0.1334903
0.76,0.1527389,0.02974784,-0.0207485,0.6364539,0.3159771,0.1427397
0.77,0.1279907,0.07024491,-0.1017426,0.5047134,0.2277335,0.1474893
0.78,0.1054924,0.151739,-0.2009854,0.06599522,-0.01549888,0.06824505
0.79,0.06524527,0.1359901,-0.1424897,-0.1674879,-0.2409825,-0.0399971
0.8,0.03049779,0.04449677,0.05699587,0.00924933,-0.1077422,-0.1279907
0.81,0.0909934,-0.05899572,0.1617383,0.3684733,0.3322259,-0.2837294
0.82,0.06724513,-0.1664879,0.1024926,0.2469821,0.4227194,-0.4434679
0.83,-0.009999275,-0.3117274,-0.151989,-0.1144917,0.3152272,-0.5602094
0.84,-0.02874792,-0.3929715,-0.4612166,-0.5002137,0.1149917,-0.5727085
0.85,-0.01899862,-0.2987283,-0.5479603,-0.6827005,0.01024926,-0.4739656
0.86,-0.1682378,-0.1469893,-0.2932287,-0.842189,0.2252337,-0.2592312
0.87,-0.2992283,-0.01324904,0.05824578,-0.3279762,0.5827078,-0.1647381
0.88,-0.3692232,0.09949279,0.2637309,-0.2904789,0.4994638,-0.1837367
0.89,-0.3259764,0.1444895,0.2632309,-0.6162053,0.09549308,-0.1074922
0.9,-0.3154771,0.07199478,0.2687305,-0.7814434,-0.06399536,-0.03524745
