地域,鉄管番号,観測井名,鉄管の深さ（ｍ）,地表面から鉄管底までの間の地層の変動量平成２６年（Ａ）（ｃｍ／年）,地表面から鉄管底までの間の地層の変動量平成２７年（Ｂ）（ｃｍ／年）,地表面から鉄管底までの間の地層の変動量平成２８年（Ｃ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２６年（Ｄ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２７年（Ｅ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２８年（Ｆ）（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２６年Ａ＋Ｄ（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２７年Ｂ＋Ｅ（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２８年Ｃ＋Ｆ（ｃｍ／年）
江東区,研　15,南砂町　第１,70,-0.08,-0.05,-0.04,0.39,-0.46,0.45,0.31,-0.51,0.41
江東区,研　23,南砂町　第２,130,-0.03*,-0.02*,-0.03*,0.42,-0.46,0.45,0.39,-0.48,0.42
江東区,研　12,亀戸　第１,61,-0.05,-0.05,-0.03,0.17,-0.10,0.42,0.12,-0.15,0.39
江東区,研　22,亀戸　第２,144,0.01*,-0.06*,-0.10*,0.17,-0.12,0.41,0.18,-0.18,0.31
墨田区,研　13,吾嬬　Ａ,47,-0.13,-0.11,-0.06,0.13,0.13,0.20,0.00,0.02,0.14
墨田区,研　16,吾嬬　Ｂ,115,-0.08*,-0.05*,-0.04*,0.05,0.13,0.14,-0.03,0.08,0.10
墨田区,研　65,両国　第１,38,0.04,0.13,-0.01,0.09,-0.07,0.17,0.13,0.06,0.16
墨田区,研　66,両国　第２,126,0.00*,-0.02*,0.00*,0.09,0.08,0.20,0.09,0.06,0.20
江戸川区,研　29,新江戸川　第１,71,-0.06*,-0.07*,-0.05*,0.27,-0.09,0.18,0.21,-0.16,0.13
江戸川区,研　30,新江戸川　第２,151,-0.07*,-0.09*,-0.06*,0.28,-0.07,0.19,0.21,-0.16,0.13
江戸川区,研　31,新江戸川　第３,450,-0.21,-0.19,-0.22,0.27,-0.07,0.19,0.06,-0.26,-0.03
江戸川区,研　28,小岩　,56,-0.04,-0.05,-0.10,0.26,-0.13,-0.44,0.22,-0.18,-0.54
江戸川区,研　38,江戸川東部　第１,70,-0.08,-0.11,-0.05,-0.05,0.22,0.04,-0.13,0.11,-0.01
江戸川区,研　39,江戸川東部　第２,161,-0.03*,-0.18*,-0.07*,-0.06,0.23,0.03,-0.09,0.05,-0.04
江戸川区,研　40,江戸川東部　第３,400,-0.03*,-0.23*,0.00*,-0.06,0.28,-0.04,-0.09,0.05,-0.04
江戸川区,研　48,小島　第１,40,-0.07*,-0.08*,-0.05*,0.10,-0.24,0.34,0.03,-0.32,0.29
江戸川区,研　49,小島　第２,80,-0.15,-0.12,-0.09,0.11,-0.24,0.34,-0.04,-0.36,0.25
江戸川区,研　50,小島　第３,150,-0.08*,-0.06*,-0.11*,0.11,-0.26,0.40,0.03,-0.32,0.29
江戸川区,研　51,小島　第４,270,-0.08*,-0.09*,-0.06*,0.11,-0.23,0.35,0.03,-0.32,0.29
江戸川区,研　52,篠崎　第１,65,0.00,-0.02,0.02,0.00,0.09,-0.07,0.00,0.07,-0.05
江戸川区,研　53,篠崎　第２,265,0.04*,-0.10*,0.02*,-0.01,0.15,-0.11,0.03,0.05,-0.09
江戸川区,研　54,篠崎　第３,340,0.05*,-0.05*,-0.04*,-0.02,0.10,-0.05,0.03,0.05,-0.09
足立区,研　32,新足立　,270,0.04*,-0.04*,-0.02*,-0.01,0.12,-0.11,0.03,0.08,-0.13
足立区,研　55,伊興　,120,0.01,0.00,0.00,0.16,-0.11,-0.45,0.17,-0.11,-0.45
足立区,研　42,神明南　第１,110,-0.06,-0.06,0.03,0.25,-0.09,-0.18,0.19,-0.15,-0.15
足立区,研　43,神明南　第２,180,-0.08*,-0.12*,-0.07*,0.25,-0.09,-0.17,0.17,-0.21,-0.24
足立区,研　44,神明南　第３,380,0.04*,-0.03*,-0.02*,0.13,-0.18,-0.22,0.17,-0.21,-0.24
足立区,研　103,小台　第１,50,-0.01,0.01,0.00,0.03,0.19,0.02,0.02,0.20,0.02
