名称,郵便番号,所在地,緯度,経度,座標系,電話番号
千代田区,102-8688,千代田区九段南　１－２－１,35.6940028,139.7536339,JGD2011,03-3264-2111
中央区,104-8404,中央区築地　１－１－１,35.6706506,139.7718614,JGD2011,03-3543-0211
港区,105-8511,港区芝公園　１－５－２５,35.6580153,139.7515964,JGD2011,03-3578-2111
新宿区,160-8484,新宿区歌舞伎町　１－４－１,35.69389,139.7034633,JGD2011,03-3209-1111
文京区,112-8555,文京区春日　１－１６－２１,35.7079511,139.7524308,JGD2011,03-3812-7111
台東区,110-8615,台東区東上野　４－５－６,35.7126069,139.7799844,JGD2011,03-5246-1111
墨田区,130-8640,墨田区吾妻橋　１－２３－２０,35.7107242,139.8014967,JGD2011,03-5608-1111
江東区,135-8383,江東区東陽　４－１１－２８,35.6728103,139.8172242,JGD2011,03-3647-9111
品川区,140-8715,品川区広町　２－１－３６,35.6088372,139.7302417,JGD2011,03-3777-1111
目黒区,153-8573,目黒区上目黒　２－１９－１５,35.6412631,139.6985906,JGD2011,03-3715-1111
大田区,144-8621,大田区蒲田　５－１３－１４,35.5615214,139.71611,JGD2011,03-5744-1111
世田谷区,154-8504,世田谷区世田谷　４－２１－２７,35.6459694,139.6527697,JGD2011,03-5432-1111
渋谷区,150-8010,渋谷区宇田川町　１－１,35.6639604,139.6980822,JGD2011,03-3463-1211
中野区,164-8501,中野区中野　４－８－１,35.7072875,139.6638103,JGD2011,03-3389-1111
杉並区,166-8570,杉並区阿佐谷南　１－１５－１,35.6998933,139.6363628,JGD2011,03-3312-2111
豊島区,170-8422,豊島区東池袋　１－１８－１,35.73241337,139.715538,JGD2011,03-3981-1111
北　区,114-8508,北区王子本町　１－１５－２２,35.7531792,139.7339833,JGD2011,03-3908-1111
荒川区,116-8501,荒川区荒川　２－２－３,35.7360828,139.7833717,JGD2011,03-3802-3111
板橋区,173-8501,板橋区板橋　２－６６－１,35.7509203,139.7091992,JGD2011,03-3964-1111
練馬区,176-8501,練馬区豊玉北　６－１２－１,35.7355733,139.6516714,JGD2011,03-3993-1111
足立区,120-8510,足立区中央本町　１－１７－１,35.7748922,139.8045844,JGD2011,03-3880-5111
葛飾区,124-8555,葛飾区立石　５－１３－１,35.7429858,139.8474075,JGD2011,03-3695-1111
江戸川区,132-8501,江戸川区中央　１－４－１,35.70667362,139.8686922,JGD2011,03-3652-1151
