地点名:上一色橋　地盤上/地下1/地下2
ファイル名:11031101.SMC
起動時刻:2011/03/11 14:47:25
チャンネル数:9
該当地震:地震：2011年03月11日14:46:18.1
"Time","N-S","E-W","U-D","N-S","E-W","U-D","N-S","E-W",U-D
0,.09649301,-.02249837,.0002499819,-.01074922,.001749873,.06299543,-.02049851,-.01574886, 0.02274835 
.01,.04074705,.01124918,.07824433,-.01474893,.01249909,.04774654,-.01774871,-.008999348, 0.02199841 
.02,-.01974857,.05724585,.1227411,-.0179987,.00799942,.02699804,-.01049924,-.0109992, 0.005999565 
.03,-.04124701,.09924281,.08949351,-.0164988,-.00799942,.01974857,.01024926,-.003499746,-0.008999348 
.04,-.05574596,.08949351,.04449677,-.0164988,-.006499529,.02149844,.006499529,-.002249837,-0.004999638 
.05,-.02774799,.0399971,.01049924,-.01974857,-.0109992,.02749801,.001749873,.004999638, 0.01224911 
.06,.04624665,-.004749656,-.01074922,-.02549815,-.02124846,.02824795,-.002999783,.0009999275, 0.01549888 
.07,.1149917,-.02524817,-.02174842,-.01549888,-.02199841,.02099848,.005749583,-.00799942, 0.00924933 
.08,.110992,.01324904,-.03399754,-.03224766,-.02324831,-.002249837,.004249692,-.01174915,-0.008249402 
.09,.03349757,.08199406,-.0344975,-.01999855,-.01674879,-.03474748,.0002499819,-.001999855,-0.009999275 
.09999999,-.0634954,.109992,-.04249692,-.006749511,-.00924933,-.04874647,-.007749438,-.00799942, 0.004499674 
.11,-.08974349,.06524527,-.05149627,.01449895,-.001499891,-.03899717,-.002999783,-.005249619, 0.01274908 
.12,-.0772444,-.0454967,-.05724585,.02599812,.01599884,-.02424824,.002749801,-.003749728,-0.009749293 
.13,-.03624737,-.09924281,-.08199406,.03224766,.02324831,-.02324831,.004749656,-.007249475,-0.03074777 
.14,-.004999638,-.06199551,-.08599377,.01724875,.01074922,-.02824795,0,-.005499601,-0.03424752 
.15,-.01399899,-.0192486,-.05924571,.006499529,-.01249909,-.03599739,-.002499819,.00399971,-0.02374828 
.16,-.05024636,-.00924933,-.002749801,.01049924,-.02849793,-.03549743,-.01199913,.007499456,-0.008749366 
.17,-.0579958,-.0509963,.04224694,.02199841,-.01274908,-.01899862,-.0109992,-.005499601,-0.004499674 
.18,-.0399971,-.08474386,.06324542,.01474893,0,-.006999493,-.01449895,-.0109992,-0.01849866 
.19,-.001499891,-.06024563,.06874502,.01599884,-.0004999638,-.0002499819,-.01949859,.003749728,-0.01824868 
.2,.005249619,-.001749873,.04324687,.01324904,-.009499311,.01274908,-.02249837,.00399971,-0.01524889 
.21,-.03124774,.04649663,-.004999638,.01849866,-.008499384,.02824795,-.01399899,.0002499819,-0.02174842 
.22,-.05224621,.06524527,-.01149917,.01674879,-.005749583,.04249692,-.01549888,-.006749511,-0.03099775 
.23,-.02524817,.06999493,.0262481,.00924933,.006499529,.03424752,-.0179987,-.009499311,-0.02974784 
.24,-.006999493,.04099703,.0662452,-.01724875,.007249475,.0179987,-.02649808,-.0234983,-0.01224911 
.25,.04974639,.03324759,.07924426,-.0262481,.001749873,.01424897,-.02524817,-.03124774,-0.00924933 
.26,.07424462,.06299543,.05024636,-.01974857,.006499529,.01849866,-.02674806,-.02274835,-0.0002499819 
.27,.06449533,.04899645,-.01024926,-.01049924,.0164988,.013749,-.01324904,-.0109992,-0.004999638 
.28,.02324831,.003749728,-.06224549,-.003499746,.02499819,-.0004999638,.004749656,-.01199913,-0.02549815 
.29,-.004249692,-.04199696,-.1037425,-.002999783,.01149917,-.01574886,.0002499819,-.006499529,-0.03624737 
.3,.001499891,-.06224549,-.1062423,-.009499311,.002249837,-.03274763,-.01974857,-.001249909,-0.03249764 
.31,.04024708,-.04249692,-.05424607,.00399971,.003499746,-.03224766,-.02124846,-.01074922,-0.0234983 
.32,.06774509,-.005749583,.004249692,.01249909,.005249619,-.03049779,-.01224911,-.0207485,-0.001749873 
.33,.04799652,-.007249475,.0344975,.009999275,.01949859,-.02274835,-.00799942,-.006749511, 0.002749801 
.34,-.01999855,-.04774654,.03874719,-.001999855,.01949859,-.01699877,-.01299906,.004499674,-0.004999638 
.35,-.05599594,-.08299398,.002499819,-.003749728,.00924933,-.01474893,-.01224911,.003749728,-0.013749 
.36,-.06999493,-.0924933,-.04649663,-.01199913,.004999638,-.007749438,-.008499384,-.002249837,-0.01474893 
.37,-.04474676,-.06699514,-.03899717,-.01024926,.01299906,.0004999638,-.002749801,-.013749,-0.02174842 
.38,-.04399681,-.03824723,.02524817,-.008999348,.003749728,.01299906,-.01074922,-.0262481,-0.03074777 
.39,-.04849648,-.0009999275,.1217412,-.008999348,-.00399971,.01499891,-.003749728,-.02174842,-0.03224766 
.4,-.04424679,.04199696,.1669879,-.008249402,-.01899862,.01899862,-.01074922,-.02124846,-0.03074777 
.41,-.008249402,.08849359,.109742,-.004999638,-.02599812,.02024853,-.01024926,-.0164988,-0.01824868 
.42,.03574741,.1089921,-.004249692,-.004749656,-.009499311,.02199841,-.005249619,-.02174842,-0.002499819 
.43,.07774436,.04174697,-.0882436,-.009999275,-.0007499456,.02724802,-.006749511,-.02874792,-0.005499601 
.44,.06924498,-.0207485,-.09849286,-.02049851,-.01249909,.008499384,-.008499384,-.03874719,-0.0262481 
.45,.05024636,-.001249909,-.03249764,-.01149917,-.02099848,-.0289979,-.001749873,-.01824868,-0.04899645 
.46,.0344975,.06749511,.04024708,-.009749293,-.007249475,-.04674661,-.009749293,.002999783,-0.06049562 
.47,.0262481,.1314905,.07849431,-.001249909,-.003249764,-.04649663,-.013749,.01874864,-0.05199623 
.48,-.04224694,.1462394,.04124701,-.003749728,-.01599884,-.02724802,-.01474893,.02124846,-0.01299906 
.49,-.08699369,.0799942,-.06699514,-.009999275,-.02649808,-.008749366,-.008499384,.005249619, 0.0164988 
.5,-.07949424,-.01199913,-.1389899,-.01149917,-.02399826,.007249475,-.01674879,-.008499384, 0.02449822 
.51,.001249909,-.05174625,-.1182414,.004249692,.004249692,.01149917,-.01049924,-.013749, 0.01049924 
.52,.06974494,-.06099558,-.0454967,.01399899,.01474893,-.01199913,-.01224911,-.02399826,-0.01674879 
.53,.06324542,-.03874719,.005999565,.02324831,.002749801,-.03099775,-.01624882,-.006999493,-0.03949714 
.54,-.004999638,-.01299906,.04974639,.01899862,-.004749656,-.02224839,-.02024853,.0004999638,-0.03374755 
.55,-.05749583,.00924933,.09549308,.0164988,-.01049924,-.01774871,-.013749,.002749801,-0.02724802 
.56,-.0662452,-.01049924,.07424462,.00924933,-.01349902,-.006249547,-.0234983,-.0007499456,-0.02124846 
.57,-.03374755,-.05174625,-.004999638,-.002499819,-.007499456,.003499746,-.02849793,.007499456,-0.009999275 
.58,-.01349902,-.06549525,-.04649663,-.01024926,.003749728,.008999348,-.02574813,-.0002499819, 0.003749728 
.59,-.01324904,-.07274473,-.002749801,-.003249764,.0234983,.006249547,-.02199841,-.01849866,-0.01124918 
.6,.0002499819,-.09274328,.06974494,-.001249909,.03374755,.01699877,-.01724875,-.01249909,-0.02699804 
.61,.04099703,-.08249402,.09674299,.003749728,.03324759,.02749801,-.01774871,-.01399899,-0.04099703 
.62,.04324687,-.02474821,.05599594,-.01049924,.01724875,.02599812,-.01674879,-.0317477,-0.04224694 
.63,-.003499746,.03874719,-.02049851,-.01149917,.005749583,.0164988,-.0009999275,-.03899717,-0.03799725 
.64,-.08299398,.07324469,-.05849576,-.004999638,.002749801,-.01024926,-.005999565,-.02699804,-0.02924788 
.65,-.1052424,.05049634,-.06699514,.005249619,.005249619,-.03324759,-.003249764,-.0109992,-0.0164988 
.66,-.04599667,-.008999348,-.03474748,.0009999275,.01699877,-.03274763,-.01074922,-.0007499456,-0.01399899 
.67,.05774581,-.03849721,.01524889,.01199913,.01349902,-.02024853,-.01574886,-.001999855,-0.01274908 
.68,.1287407,-.03049779,.02049851,.01849866,.002249837,-.00924933,-.01074922,-.03274763,-0.008749366 
.69,.1127418,-.009499311,-.0009999275,.02099848,-.007249475,.004999638,.001749873,-.03249764,-0.01574886 
.7,.02224839,.01424897,.01174915,.0004999638,-.02724802,-.001749873,-.003249764,-.02599812,-0.03749728 
.71,-.05224621,.02049851,.03399754,-.009999275,-.0289979,-.03049779,-.006999493,-.02224839,-0.04424679 
.72,-.08299398,.05024636,.04374683,-.01549888,-.01974857,-.03524745,-.01499891,.001249909,-0.02874792 
.73,-.08424389,.07874429,.0207485,-.01574886,-.007749438,-.01224911,-.01149917,.02774799,-0.01299906 
.74,-.05349612,.08324397,-.001999855,-.01624882,-.0009999275,.02149844,-.002999783,.02324831, 0.005249619 
.75,.04299688,.03399754,-.02699804,-.01549888,.01774871,.04524672,-.001499891,-.001249909, 0.01474893 
.76,.09999275,-.02524817,-.02649808,-.02374828,.01599884,.04174697,-.005249619,-.03249764, 0.006499529 
.77,.1037425,-.01599884,.009749293,-.02274835,.007749438,.02199841,-.007249475,-.03974712,-0.02049851 
.78,.05749583,.02574813,.05174625,-.01624882,.001999855,-.002999783,-.006999493,-.02049851,-0.03274763 
