区分,明細
型式,SMAC-MDU
加速度計,サーボ型
測定範囲（m/s2）,±20
分解能（m/s2）,1×10^-6
周波数特性（Hz）,DC～450
外形,約398(W)×418(D)×210(H)mm
質量(kg),約20
