No,公表している区市,参考にしている浸水予想区域図及び浸水想定区域図
1,千代田区,神田川流域浸水予想区域図、隅田川及び新河岸川流域浸水予想区域図、荒川洪水浸水想定区域図
2,中央区,神田川流域浸水予想区域図、隅田川及び新河岸川流域浸水予想区域図、江東内部河川流域浸水予想区域図
3,港区,隅田川及び新河岸川流域浸水予想区域図、城南地区河川流域浸水予想区域図、荒川洪水浸水想定区域図
4,新宿区,神田川流域浸水予想区域図
5,文京区,神田川流域浸水予想区域図、隅田川及び新河岸川流域浸水予想区域図
6,台東区,神田川流域浸水予想区域図、隅田川及び新河岸川流域浸水予想区域図、荒川洪水浸水想定区域図
7,墨田区,隅田川及び新河岸川流域浸水予想区域図、江東内部河川流域浸水予想区域図、荒川洪水浸水想定区域図
8,江東区,隅田川及び新河岸川流域浸水予想区域図、江東内部河川流域浸水予想区域図、荒川洪水浸水想定区域図
9,品川区,城南地区河川流域浸水予想区域図
10,目黒区,城南地区河川流域浸水予想区域図
11,大田区,城南地区河川流域浸水予想区域図、野川、仙川、谷沢川及び丸子川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
12,世田谷区,城南地区河川流域浸水予想区域図、野川、仙川、谷沢川及び丸子川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
13,渋谷区,神田川流域浸水予想区域図、城南地区河川流域浸水予想区域図
14,中野区,神田川流域浸水予想区域図
15,杉並区,神田川流域浸水予想区域図、城南地区河川流域浸水予想区域図
16,豊島区,神田川流域浸水予想区域図、隅田川及び新河岸川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図
17,北区,神田川流域浸水予想区域図、隅田川及び新河岸川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図、荒川洪水浸水想定区域図
18,荒川区,荒川洪水浸水想定区域図
19,板橋区,隅田川及び新河岸川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図、荒川洪水浸水想定区域図
20,練馬区,神田川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図
21,足立区,隅田川及び新河岸川流域浸水予想区域図、中川・綾瀬川圏域浸水予想区域図、芝川・新芝川浸水想定区域図、荒川洪水浸水想定区域図、江戸川洪水浸水想定区域図、利根川洪水浸水想定区域図、中川・綾瀬川洪水浸水想定区域図
22,葛飾区,中川・綾瀬川圏域浸水予想区域図、荒川洪水浸水想定区域図、江戸川洪水浸水想定区域図、中川・綾瀬川洪水浸水想定区域図
23,江戸川区,江東内部河川流域浸水予想区域図、中川・綾瀬川圏域浸水予想区域図、荒川洪水浸水想定区域図、江戸川洪水浸水想定区域図、利根川洪水浸水想定区域図
24,八王子市,浅川圏域、大栗川及び三沢川流域浸水予想区域図、秋川及び平井川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
25,立川市,残堀川流域浸水予想区域図、黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
26,武蔵野市,神田川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図、野川、仙川、谷沢川及び丸子川流域浸水予想区域図
27,青梅市,霞川及び多摩川上流圏域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
28,府中市,野川、仙川、谷沢川及び丸子川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
29,昭島市,残堀川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
30,調布市,野川、仙川、谷沢川及び丸子川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
31,町田市,鶴見川流域流域浸水予想区域図、境川流域流域浸水予想区域図
32,小金井市,野川、仙川、谷沢川及び丸子川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図
33,小平市,黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図、野川、仙川、谷沢川及び丸子川流域浸水予想区域図、石神井川及び白子川流域浸水予想区域図
34,日野市,多摩川、浅川、大栗川洪水浸水想定区域図
35,東村山市,黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図
36,国分寺市,野川、仙川、谷沢川及び丸子川流域浸水予想区域図
37,国立市,多摩川、浅川、大栗川洪水浸水想定区域図
38,福生市,多摩川、浅川、大栗川洪水浸水想定区域図
39,狛江市,野川、仙川、谷沢川及び丸子川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
40,東大和市,黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図
41,清瀬市,黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図
42,東久留米市,黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図
43,武蔵村山市,残堀川流域浸水予想区域図、黒目川・落合川流域及び柳瀬川・空堀川・奈良橋川流域浸水予想区域図
44,多摩市,浅川圏域、大栗川及び三沢川流域浸水予想区域図、多摩川、浅川、大栗川洪水浸水想定区域図
45,稲城市,多摩川、浅川、大栗川洪水浸水想定区域図
46,羽村市,多摩川、浅川、大栗川洪水浸水想定区域図
47,あきる野市,秋川及び平井川流域浸水予想区域図
48,西東京市,石神井川及び白子川流域浸水予想区域図
