地点名:佃大橋　地盤上,,,
ファイル名:11031101.SMC,,,
起動時刻:2011/03/11 14:47:51,,,
チャンネル数:3,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,
Time,N-S,E-W,U-D
0,-0.6304543,-0.2819796,0.7506956
0.01,-0.4084704,-0.2494819,0.620705
0.02,-0.1209912,-0.2189841,0.6509528
0.03,0.2214839,-0.3819723,0.4179697
0.04,0.483465,-0.6144555,0.2937287
0.05,0.4392182,-0.7924426,0.261981
0.06,0.6032063,-0.7466959,0.1112419
0.07,0.786693,-0.6799507,0.2737302
0.08,0.8214405,-0.4782153,0.7539454
0.09,0.8011919,0.01124918,0.7256974
0.09999999,0.7256974,0.1889863,0.2277335
0.11,0.6149554,0.009999275,-0.1434896
0.12,0.2412325,-0.007749438,-0.1114919
0.13,-0.3144772,0.3002282,-0.08874357
0.14,-0.6017064,0.6979494,-0.4917144
0.15,-0.5139627,0.6862003,-0.7124484
0.16,-0.3674734,0.4297189,-0.7779436
0.17,-0.179237,0.5212122,-0.5987066
0.18,-0.3882219,0.455717,0.2134845
0.19,-0.800442,0.1262408,1.092921
0.2,-0.7349467,-0.05624592,1.491142
0.21,-0.5634592,-0.1552387,1.260659
0.22,-0.5117129,-0.2919788,0.4637164
0.23,-0.4017209,-0.3597239,-0.04349685
0.24,-0.2447323,-0.4819651,0.2529817
0.25,-0.2364829,-0.4092203,0.8251902
0.26,-0.5294616,-0.262731,1.170665
0.27,-0.7349467,-0.4214694,1.283407
0.28,-0.7204478,-0.6639519,0.9491812
0.29,-0.5852076,-0.8056916,0.5839577
0.3,-0.607206,-1.005927,0.2922288
0.31,-0.4102203,-0.8451887,-0.2782298
0.32,0.1664879,-0.6247047,-1.009677
0.33,0.3964713,-0.6976994,-1.302406
0.34,-0.02699804,-0.7631947,-1.422147
0.35,-0.1827368,-0.8291899,-1.552637
0.36,0.1262408,-0.8009419,-1.396649
0.37,0.2012354,-0.6049562,-1.190164
0.38,0.1069922,-0.4352185,-1.130418
0.39,-0.01024926,-0.2989783,-0.9649301
0.4,-0.1062423,-0.2777299,-0.4814651
0.41,-0.1972357,-0.4767154,0.1337403
0.42,-0.3254764,-0.5454605,0.3742229
0.43,-0.2727302,-0.3324759,0.1677378
0.44,-0.1919861,-0.1759872,-0.1407398
0.45,-0.2372328,0.02024853,-0.2419825
0.46,-0.2584813,0.2609811,-0.1802369
0.47,-0.179737,0.4099703,-0.1712376
0.48,-0.000749946,0.6547025,-0.5229621
0.49,0.1869864,0.9439316,-0.8349395
0.5,0.2927288,0.9226831,-0.7871929
0.51,0.262481,0.7511955,-1.052674
0.52,0.4604666,0.6552025,-1.466894
0.53,0.8224404,0.4839649,-1.341153
0.54,0.7921926,0.3667234,-0.7561952
0.55,0.2964785,0.3109775,-0.07324469
0.56,-0.09499311,0.2384827,0.1714876
0.57,-0.008249402,0.1704876,0.1299906
0.58,0.02674806,0.06924498,0.1324904
0.59,-0.2244837,0.08474386,0.05974567
0.6,-0.4097203,0.09649301,-0.05924571
0.61,-0.3839722,0.02649808,-0.05674589
0.62,-0.1604884,0.1229911,-0.1434896
0.63,-0.08874357,0.2639809,-0.2372328
0.64,-0.1252409,0.4034708,-0.1209912
0.65,-0.1577386,0.7266973,0.2822295
0.66,-0.331476,0.9859285,0.6552025
0.67,-0.4682161,1.139667,0.896935
0.68,-0.5199623,1.096171,0.7139482
0.69,-0.1072422,0.8054416,0.1267408
0.7,0.3464749,0.4307188,-0.3394754
0.71,0.5274618,0.1602384,-0.4867147
0.72,0.5509601,-0.1227411,-0.4884646
0.73,0.7149482,-0.3297261,-0.5979567
0.74,1.022676,-0.4464676,-0.4629664
0.75,1.073672,-0.6337041,-0.4182197
0.76,1.058423,-0.7246975,-0.3792225
0.77,1.006177,-0.7576951,0.1819868
0.78,0.9826788,-0.9839287,0.9261829
0.79,0.7936925,-1.135668,1.419897
0.8,0.3907217,-1.322654,1.433146
0.81,0.3194768,-1.305655,1.304155
0.82,0.2992283,-1.152166,1.415397
0.83,0.1304905,-1.134168,1.557137
0.84,0.1172415,-0.9829288,1.79137
0.85,-0.007249475,-0.7364466,1.771622
0.86,-0.001249909,-0.4334686,1.510141
0.87,-0.02049851,-0.3424752,0.9471813
0.88,0.1074922,-0.372973,0.08849359
0.89,0.3242265,-0.330976,-0.6597022
0.9,0.358224,-0.2632309,-1.144167
0.91,0.3567241,-0.09349322,-1.401898
0.92,0.3514745,0.2842294,-1.205913
0.93,0.1879864,0.786193,-1.033675
0.94,0.004749656,1.179165,-1.083671
0.95,-0.1632382,1.24666,-0.8366894
0.96,-0.5039635,1.323904,-0.7231976
0.97,-0.6732012,1.3814,-0.9829288
0.98,-0.6507028,1.155166,-0.8726867
0.9899999,-0.7066988,0.8399391,-0.675701
1,-0.6719513,0.7926925,-0.8344395
1.01,-0.5592095,0.7634447,-1.012677
1.02,-0.5704587,0.607456,-1.199663
1.03,-0.523962,0.4839649,-1.330654
1.04,-0.5874574,0.3667234,-1.039925
1.05,-0.5939569,0.2927288,-0.6274545
1.06,-0.4894645,0.04524672,-0.4862148
1.07,-0.2114847,-0.3239765,-0.2647308
1.08,-0.1859865,-0.5982066,0.2369828
1.09,-0.5762082,-0.8476886,0.6239548
1.1,-0.7066988,-0.9946779,0.510463
1.11,-0.3882219,-0.7801934,0.2997283
1.12,-0.2604811,-0.4027208,0.5222121
1.13,-0.5162126,0.005749583,0.4492174
1.14,-0.4667162,0.2949786,0.0372473
1.15,-0.2452322,0.3147272,-0.1307405
1.16,-0.08499384,0.2417325,-0.09549308
1.17,0.06324542,0.2549815,-0.02524817
1.18,0.179487,0.2729802,0.2294834
1.19,0.2657307,0.2172343,0.6094558
1.2,0.2192341,0.1719875,0.6782008
1.21,0.1409898,0.2124846,0.6494529
1.22,0.1064923,0.1304905,0.7026991
1.23,0.2577313,-0.07849431,0.6027063
1.24,0.5072132,-0.2867292,0.2949786
1.25,0.565459,-0.3622237,0.1507391
1.26,0.3104775,-0.3759727,0.2817296
1.27,-0.000249982,-0.5619593,0.5287117
1.28,0.02974784,-0.7051989,0.4104702
1.29,0.41322,-0.5427107,-0.2232338
1.3,0.6547025,-0.400471,-0.358474
1.31,0.5004637,-0.3904717,0.164988
1.32,0.4647163,-0.2574813,0.3189769
1.33,0.6707014,-0.192486,0.04724658
1.34,0.6564524,-0.2702304,-0.06149554
1.35,0.4567169,-0.2279835,0.441718
1.36,0.2289834,-0.09924281,1.361151
1.37,0.08399391,0.03149772,1.996355
1.38,-0.000249982,0.0924933,1.899862
1.39,0.05049634,0.1489892,1.437396
1.4,0.04374683,0.3554742,0.9679298
1.41,-0.02799797,0.5462104,0.7134483
