地点名:中川護岸　地盤上/護岸上,,,,,,
ファイル名:11031101.SMC,,,,,,
起動時刻:2011/03/11 14:47:41,,,,,,
チャンネル数:6,,,,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,,,,
Time,N-S,E-W,U-D,N-S,E-W,U-D
0,0.3249764,0.3874719,-0.7959423,0.1347402,0.5042135,-0.6234548
0.01,0.3204768,0.2659807,-0.4979639,0.1072422,0.4429679,-0.4774654
0.02,0.289479,0.02824795,-0.2302333,0.110742,0.2874792,-0.3567241
0.03,0.1874864,-0.1472393,-0.1184914,0.09724295,0.123491,-0.2449822
0.04,0.06674516,-0.1594884,-0.08574378,0.06449533,0.05549598,-0.1082422
0.05,0.04449677,-0.06824505,0.04349685,0.00799942,0.02649808,0.06049562
0.06,0.1817368,-0.01524889,0.1682378,-0.04349685,-0.04074705,0.2159843
0.07,0.3779726,-0.1014926,0.3107275,-0.09224331,-0.1967357,0.3067278
0.08,0.5042135,-0.3109775,0.262231,-0.1287407,-0.3949714,0.3159771
0.09,0.5397109,-0.4612166,0.06924498,-0.151489,-0.4367183,0.2974784
0.09999999,0.4659662,-0.3947214,-0.1184914,-0.1739874,-0.3002282,0.3069777
0.11,0.3047279,-0.124741,0.02099848,-0.1849866,-0.1672379,0.3769727
0.12,0.0509963,0.1912361,0.2944787,-0.179737,-0.1692377,0.454717
0.13,-0.1944859,0.3744729,0.5717086,-0.165238,-0.2634809,0.4847149
0.14,-0.3514745,0.3087276,0.564959,-0.1389899,-0.4177197,0.4117202
0.15,-0.4289689,0.04449677,0.3004782,-0.1144917,-0.5259619,0.2157344
0.16,-0.4932142,-0.2869792,-0.05299616,-0.1069922,-0.4677161,-0.013749
0.17,-0.5012137,-0.523712,-0.1342403,-0.1119919,-0.1744874,-0.1594884
0.18,-0.4622165,-0.5282117,-0.03599739,-0.1209912,0.1694877,-0.1459894
0.19,-0.3694732,-0.2949786,0.1842366,-0.1034925,0.3344758,-0.02374828
0.2,-0.2687305,0.03324759,0.1839867,-0.0454967,0.2702304,0.08524382
0.21,-0.1609883,0.2857293,0.04574668,0.03024781,0.165988,0.1149917
0.22,-0.0634954,0.3889718,-0.1637381,0.09824288,0.1197413,0.05049634
0.23,0.03774726,0.3767227,-0.1392399,0.124741,0.1687378,-0.06099558
0.24,0.1689878,0.2597312,0.06249547,0.109992,0.3007282,-0.1434896
0.25,0.3184769,0.02274835,0.2822295,0.07124484,0.4504673,-0.1562387
0.26,0.3672234,-0.262231,0.3214767,0.05274618,0.4379683,-0.1164916
0.27,0.1862365,-0.4664662,0.1609883,0.04249692,0.345225,-0.04999638
0.28,-0.2234838,-0.4364684,-0.08899355,0.03049779,0.2512318,0.01199913
0.29,-0.5972067,-0.109992,-0.2102348,0.02824795,0.1479893,0.06274545
0.3,-0.6717013,0.3077277,-0.05424607,0.02124846,0.07849431,0.1062423
0.31,-0.4234693,0.5362111,0.4247192,0.01174915,0.07024491,0.2139845
0.32,-0.05874574,0.4929643,0.9174335,0.02399826,0.07899427,0.4077204
0.33,0.2672306,0.2289834,0.9834287,0.03624737,-0.01324904,0.6422035
0.34,0.4604666,-0.05949569,0.6924498,0.04399681,-0.1734874,0.8336896
0.35,0.4912144,-0.2034853,0.3807224,0.03249764,-0.2919788,0.9194334
0.36,0.3877219,-0.1957358,0.2284834,0.02524817,-0.4047207,0.8309398
0.37,0.234733,-0.110242,0.2114847,0.02324831,-0.5462104,0.5567096
