地点名:土木技術センター構内　地盤上,,,
ファイル名:005,,,
起動時刻:2011/03/11 14:47:46,,,
チャンネル数:6,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,
Time,N-S,E-W,U-D
0,0.1525879,-0.06103516,-0.2441406
0.01,0.4577637,0.213623,0
0.02,0.7324219,0.4272461,0.3967285
0.03,0.8850098,0.4577637,0.793457
0.04,0.9155273,0.3967285,0.8239746
0.05,0.8850098,0.3662109,0.579834
0.06,0.9765625,0.3662109,0.3356934
0.07,1.098633,0.3967285,0.06103516
0.08,1.159668,0.4272461,-0.213623
0.09,1.190186,0.4577637,-0.3967285
0.09999999,1.190186,0.4882813,-0.5187988
0.11,1.281738,0.4882813,-0.6713867
0.12,1.373291,0.4577637,-0.8850098
0.13,1.495361,0.3662109,-1.190186
0.14,1.525879,0.3051758,-1.068115
0.15,1.403809,0.3051758,-0.579834
0.16,1.159668,0.2746582,-0.1220703
0.17,0.8544922,0.2441406,0.09155273
0.18,0.5493164,0.3662109,0.3662109
0.19,0.3051758,0.5187988,0.9460449
0.2,0.1831055,0.7019043,1.434326
0.21,0.1525879,0.7324219,1.678467
0.22,0.06103516,0.5493164,1.373291
0.23,-0.06103516,0.2746582,0.9460449
0.24,-0.1220703,0.09155273,0.7324219
0.25,-0.1525879,-0.06103516,0.6103516
0.26,-0.1525879,-0.3051758,0.3051758
0.27,-0.2441406,-0.5493164,-0.1220703
0.28,-0.2746582,-0.8239746,-0.3967285
0.29,-0.2746582,-0.8850098,-0.3662109
0.3,-0.1220703,-0.8239746,-0.3967285
0.31,0.1525879,-0.8239746,-0.3967285
0.32,0.3662109,-0.793457,-0.2746582
0.33,0.6103516,-0.793457,-0.06103516
0.34,0.9765625,-0.6713867,0.1220703
0.35,1.281738,-0.5493164,0.2746582
0.36,1.434326,-0.3967285,0.3356934
0.37,1.434326,-0.3051758,0.3662109
0.38,1.342773,-0.3051758,0.4272461
0.39,1.12915,-0.2441406,0.5187988
0.4,0.8850098,-0.2746582,0.7324219
0.41,0.6103516,-0.3051758,0.8239746
0.42,0.3662109,-0.3967285,0.7019043
0.43,0.1525879,-0.4272461,0.4577637
0.44,-0.1220703,-0.3356934,-0.03051758
0.45,-0.3051758,-0.2441406,-0.6408691
0.46,-0.5187988,-0.213623,-1.251221
0.47,-0.6408691,-0.09155273,-1.556396
0.48,-0.7629395,-0.09155273,-1.831055
0.49,-0.8544922,0.03051758,-1.953125
0.5,-0.9460449,0.2746582,-1.861572
0.51,-0.9460449,0.2746582,-2.044678
0.52,-0.8850098,0.2746582,-2.13623
0.53,-0.7324219,0.2441406,-1.678467
0.54,-0.4882813,0.06103516,-1.190186
0.55,-0.1831055,-0.09155273,-0.579834
0.56,0.1831055,-0.2746582,0.1525879
0.57,0.4882813,-0.3356934,0.9155273
0.58,0.6713867,-0.4272461,1.495361
0.59,0.7629395,-0.4882813,1.464844
0.6,0.6713867,-0.5187988,1.00708
0.61,0.5493164,-0.4882813,0.8239746
0.62,0.3051758,-0.3967285,0.9460449
0.63,0.09155273,-0.3662109,1.037598
0.64,-0.213623,-0.3967285,0.8239746
0.65,-0.5187988,-0.3967285,0.213623
0.66,-0.8544922,-0.3356934,-0.6713867
0.67,-1.037598,-0.1525879,-1.464844
0.68,-1.098633,0,-2.01416
0.69,-1.12915,0.213623,-2.258301
0.7,-1.12915,0.4577637,-2.075195
0.71,-1.190186,0.6713867,-1.89209
0.72,-1.190186,0.8239746,-1.739502
0.73,-1.159668,0.9460449,-1.373291
0.74,-0.9155273,1.098633,-0.8544922
0.75,-0.6713867,1.159668,-0.09155273
0.76,-0.3967285,1.12915,0.7324219
0.77,-0.1220703,0.9765625,1.373291
0.78,0,0.793457,1.800537
0.79,0.09155273,0.6408691,2.166748
0.8,0.09155273,0.4577637,2.593994
0.81,0,0.3051758,2.868652
0.82,-0.1831055,0,2.502441
0.83,-0.3356934,-0.3356934,1.556396
0.84,-0.4272461,-0.3967285,0.6713867
0.85,-0.4577637,-0.3356934,0.2441406
0.86,-0.3662109,-0.2441406,0.2746582
0.87,-0.213623,-0.09155273,0.3967285
0.88,-0.1831055,-0.1831055,0.03051758
0.89,-0.213623,-0.1525879,-0.5493164
0.9,-0.3356934,-0.1525879,-0.8239746
0.91,-0.3051758,-0.1831055,-0.7629395
0.92,-0.2441406,-0.3051758,-0.2441406
0.93,-0.1831055,-0.4882813,0.5493164
0.94,-0.09155273,-0.7324219,0.9460449
0.95,0,-0.8544922,0.9765625
0.96,0.09155273,-0.8239746,0.6408691
0.97,0.213623,-0.7019043,0.2441406
0.98,0.2746582,-0.7019043,-0.06103516
0.9899999,0.3356934,-0.7324219,0
1,0.2746582,-0.793457,0.1525879
1.01,0.06103516,-0.793457,0.1220703
1.02,-0.2746582,-0.7629395,-0.2746582
1.03,-0.5493164,-0.6713867,-0.8239746
1.04,-0.8239746,-0.6408691,-1.342773
1.05,-0.9460449,-0.579834,-1.77002
1.06,-1.068115,-0.6103516,-2.410889
1.07,-1.12915,-0.579834,-2.960205
1.08,-1.098633,-0.3967285,-3.02124
1.09,-0.9155273,-0.09155273,-2.716064
1.1,-0.6408691,0.1831055,-2.258301
1.11,-0.3051758,0.3662109,-1.617432
1.12,-0.1220703,0.3967285,-0.8239746
1.13,0.03051758,0.3356934,-0.06103516
1.14,0.06103516,0.1525879,0.1831055
1.15,0.09155273,-0.03051758,0.3356934
1.16,-0.03051758,-0.1220703,0.7629395
1.17,-0.1831055,-0.1831055,1.281738
1.18,-0.3051758,-0.1831055,1.373291
1.19,-0.3967285,-0.1220703,0.793457
1.2,-0.4882813,0,0.4272461
1.21,-0.4577637,0.2746582,0.4577637
1.22,-0.2441406,0.579834,0.7324219
1.23,0.06103516,0.793457,0.8850098
1.24,0.3051758,0.9155273,0.579834
1.25,0.579834,0.9460449,0.1831055
1.26,0.7324219,1.037598,-0.03051758
1.27,0.8239746,0.9460449,-0.03051758
1.28,0.9765625,0.8239746,0.06103516
1.29,1.00708,0.6408691,0
1.3,1.00708,0.3662109,-0.06103516
1.31,0.8850098,0.213623,0.06103516
1.32,0.8239746,0.09155273,0.2441406
1.33,0.7324219,0,0.4577637
1.34,0.5493164,-0.1220703,0.5493164
1.35,0.4882813,-0.2441406,0.1831055
1.36,0.3967285,-0.4272461,-0.3356934
1.37,0.4882813,-0.4577637,-0.7019043
1.38,0.6713867,-0.4272461,-0.9155273
1.39,0.9155273,-0.4577637,-1.312256
1.4,1.098633,-0.3356934,-1.373291
1.41,1.098633,-0.2441406,-1.159668
1.42,0.9155273,-0.09155273,-0.8239746
1.43,0.6713867,0.1831055,-0.3967285
1.44,0.3662109,0.3967285,-0.1525879
1.45,0.06103516,0.3967285,-0.03051758
1.46,-0.03051758,0.3356934,0.3051758
1.47,-0.1220703,0.06103516,0.3356934
1.48,-0.06103516,-0.3662109,0.2441406
1.49,0,-0.8544922,0.3967285
1.5,-0.03051758,-1.251221,0.3662109
1.51,0.06103516,-1.678467,0.1220703
1.52,0.1220703,-1.922607,0
1.53,0.1525879,-2.044678,0.1831055
1.54,0.1220703,-1.89209,0.7019043
1.55,0.1525879,-1.647949,1.342773
1.56,0.09155273,-1.312256,1.525879
1.57,0.06103516,-0.9460449,1.495361
1.58,0,-0.5493164,1.342773
1.59,0,-0.213623,1.190186
1.6,0.1220703,0.06103516,0.9460449
1.61,0.3051758,0.2746582,0.3356934
1.62,0.3967285,0.4272461,-0.3051758
1.63,0.4272461,0.5187988,-0.8850098
1.64,0.5187988,0.6713867,-0.9765625
1.65,0.579834,0.8544922,-0.9765625
1.66,0.6713867,0.9765625,-0.9460449
1.67,0.6713867,1.12915,-0.8239746
1.68,0.6408691,1.251221,-0.6408691
1.69,0.6103516,1.281738,-0.8850098
1.7,0.579834,1.342773,-0.9765625
1.71,0.4577637,1.373291,-0.6713867
1.72,0.2746582,1.251221,-0.2746582
1.73,0.06103516,1.00708,-0.06103516
1.74,-0.1220703,0.8850098,0
1.75,-0.2746582,0.6408691,-0.213623
1.76,-0.3051758,0.6408691,-0.2746582
1.77,-0.3356934,0.579834,-0.3051758
1.78,-0.4577637,0.4882813,-0.1525879
1.79,-0.579834,0.3356934,0.2441406
1.8,-0.7019043,0.3356934,0.7324219
1.81,-0.6713867,0.3051758,0.793457
1.82,-0.4882813,0.2746582,0.579834
1.83,-0.2746582,0.2441406,0.5493164
1.84,-0.03051758,0.1220703,0.5493164
1.85,0.06103516,-0.1525879,0.4272461
1.86,0.1220703,-0.3967285,0.3356934
1.87,0.1831055,-0.579834,0.4272461
1.88,0.1831055,-0.4882813,0.7324219
1.89,0.2441406,-0.3662109,0.9155273
1.9,0.3356934,-0.3356934,0.9155273
1.91,0.4272461,-0.3356934,0.7629395
1.92,0.5493164,-0.3356934,0.5493164
1.93,0.5187988,-0.3662109,0.3356934
1.94,0.4577637,-0.3051758,0.3662109
1.95,0.213623,-0.3356934,0.5187988
1.96,-0.09155273,-0.3051758,0.6408691
1.97,-0.5187988,-0.3051758,0.4272461
1.98,-0.9460449,-0.3356934,-0.213623
1.99,-1.403809,-0.3051758,-0.579834
2,-1.739502,-0.3356934,-0.3967285
2.01,-1.953125,-0.4882813,0.03051758
2.02,-2.166748,-0.5493164,0.4882813
2.03,-2.349854,-0.6103516,0.7324219
2.04,-2.441406,-0.6103516,0.8544922
2.05,-2.349854,-0.6713867,0.6408691
2.06,-2.13623,-0.7324219,0.3967285
2.07,-1.861572,-0.8544922,0.5493164
2.08,-1.556396,-1.037598,0.8239746
2.09,-1.220703,-1.251221,0.793457
2.1,-0.9460449,-1.281738,0.5493164
2.11,-0.6408691,-1.220703,-0.09155273
2.12,-0.2441406,-1.12915,-0.7629395
2.13,0.1831055,-1.00708,-0.9765625
2.14,0.6408691,-0.9460449,-0.9460449
2.15,0.9155273,-0.9460449,-0.8850098
2.16,1.068115,-0.8850098,-0.9765625
2.17,1.220703,-0.8239746,-1.037598
2.18,1.373291,-0.6408691,-0.8850098
2.19,1.586914,-0.4272461,-0.6713867
2.2,1.831055,-0.2746582,-0.4882813
2.21,1.922607,-0.213623,-0.4577637
2.22,1.831055,-0.09155273,-0.6408691
2.23,1.77002,0.03051758,-0.8544922
2.24,1.708984,0.1220703,-0.9155273
2.25,1.678467,0.1525879,-0.8239746
2.26,1.647949,0.1220703,-0.4882813
2.27,1.525879,0.1525879,0
2.28,1.312256,0.2441406,0.2441406
2.29,1.159668,0.4272461,0.1220703
2.3,1.037598,0.6408691,0.03051758
2.31,0.9155273,0.8239746,0.3356934
2.32,0.8239746,0.9155273,0.8850098
2.33,0.7019043,0.9460449,1.556396
2.34,0.4577637,0.9155273,2.227783
2.35,0.1525879,0.8544922,2.685547
2.36,-0.2746582,0.793457,2.960205
2.37,-0.6103516,0.7019043,3.02124
2.38,-0.8544922,0.5187988,2.624512
2.39,-0.9155273,0.4577637,2.349854
2.4,-0.8850098,0.5187988,2.380371
2.41,-0.8239746,0.7019043,2.685547
2.42,-0.7019043,0.9155273,2.89917
2.43,-0.5187988,0.9460449,2.655029
2.44,-0.3051758,0.8544922,1.953125
2.45,-0.06103516,0.6408691,1.281738
2.46,0.3967285,0.4272461,0.8239746
2.47,0.9155273,0.2441406,0.5187988
2.48,1.342773,0.03051758,0.2441406
2.49,1.586914,-0.1831055,0.03051758
2.5,1.708984,-0.3967285,-0.3662109
2.51,1.678467,-0.5187988,-0.7324219
2.52,1.617432,-0.5187988,-1.098633
2.53,1.495361,-0.3967285,-1.251221
2.54,1.251221,-0.1525879,-1.098633
2.55,1.098633,0.09155273,-1.098633
2.56,0.8850098,0.2441406,-1.251221
2.57,0.7019043,0.5187988,-1.098633
2.58,0.3967285,0.7324219,-0.793457
2.59,0.06103516,0.9155273,-0.1220703
2.6,-0.213623,0.8850098,0.4577637
2.61,-0.4577637,0.579834,0.4882813
2.62,-0.793457,0.1831055,0.2746582
2.63,-1.12915,0.06103516,0.3662109
2.64,-1.434326,0,0.579834
2.65,-1.617432,-0.03051758,0.6408691
2.66,-1.617432,-0.09155273,0.5493164
2.67,-1.556396,-0.2746582,0.4272461
2.68,-1.434326,-0.5493164,0.2746582
2.69,-1.342773,-0.7324219,0.1525879
2.7,-1.220703,-1.00708,0
2.71,-1.251221,-1.312256,-0.579834
2.72,-1.159668,-1.586914,-1.251221
2.73,-1.068115,-1.647949,-1.556396
2.74,-0.7629395,-1.586914,-1.586914
2.75,-0.5187988,-1.495361,-1.556396
2.76,-0.3051758,-1.190186,-1.495361
2.77,-0.3051758,-0.9460449,-1.556396
