道路種別調査実施機関,区部高速自動車国道平日,区部高速自動車国道平日２４時間,区部高速自動車国道休日,区部高速自動車国道休日24時間,区部都市高速道路平日,区部都市高速道路平日２４時間,区部都市高速道路休日,区部都市高速道路休日24時間,区部一般国道自動車専用道路平日,区部一般国道自動車専用道路平日２４時間,区部一般国道自動車専用道路休日,区部一般国道自動車専用道路休日24時間,区部一般国道指定区間平日,区部一般国道指定区間平日２４時間,区部一般国道指定区間休日,区部一般国道指定区間休日24時間,区部一般国道指定区間外平日,区部一般国道指定区間外平日２４時間,区部一般国道指定区間外休日,区部一般国道指定区間外休日24時間,区部都道主要地方道平日,区部都道主要地方道平日２４時間,区部都道主要地方道休日,区部都道主要地方道休日24時間,区部都道一般都道平日,区部都道一般都道平日２４時間,区部都道一般都道休日,区部都道一般都道休日24時間,区部都道特例都道平日,区部都道特例都道平日２４時間,区部都道特例都道休日,区部都道特例都道休日24時間,区部計平日,区部計平日２４時間,区部計休日,区部計休日24時間,市郡部高速自動車国道平日,市郡部高速自動車国道平日２４時間,市郡部高速自動車国道休日,市郡部高速自動車国道休日24時間,市郡部一般国道自動車専用道路平日,市郡部一般国道自動車専用道路平日２４時間,市郡部一般国道自動車専用道路休日,市郡部一般国道自動車専用道路休日24時間,市郡部一般国道指定区間平日,市郡部一般国道指定区間平日２４時間,市郡部一般国道指定区間休日,市郡部一般国道指定区間休日24時間,市郡部一般国道指定区間外平日,市郡部一般国道指定区間外平日２４時間,市郡部一般国道指定区間外休日,市郡部一般国道指定区間外休日24時間,市郡部都道主要地方道平日,市郡部都道主要地方道平日２４時間,市郡部都道主要地方道休日,市郡部都道主要地方道休日24時間,市郡部都道一般都道平日,市郡部都道一般都道平日２４時間,市郡部都道一般都道休日,市郡部都道一般都道休日24時間,市郡部計平日,市郡部計平日２４時間,市郡部計休日,市郡部計休日24時間,合計平日,平日２４時間,合計休日,合計休日24時間
東日本高速道路株式会社,4,4,4,4,,,,,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,9,9,9,9,1,1,1,1,4,4,4,4,,,,,,,,,,,,,,,,,5,5,5,5,14,14,14,14
中日本高速道路株式会社,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,9,9,9,9,4,4,4,4,,,,,,,,,,,,,,,,,13,13,13,13,17,17,17,17
首都高速道路株式会社,,,,,139,139,0,0,,,,,,,,,,,,,,,,,,,,,,,,,139,139,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,139,139,0,0
国土交通省関東地方整備局,,,,,,,,,,,,,46,17,0,0,3,0,0,0,119,8,0,0,13,0,0,0,94,0,0,0,275,25,0,0,,,,,,,,,21,0,0,0,2,0,0,0,92,3,0,0,63,0,0,0,178,3,0,0,453,28,0,0
東京都建設局,,,,,,,,,,,,,,,,,5,0,0,0,43,7,0,0,5,0,0,0,31,0,0,0,84,7,0,0,,,,,,,,,,,,,7,0,4,0,43,3,18,1,80,2,16,0,130,5,38,1,214,12,38,1
合計,8,8,8,8,139,139,0,0,3,3,3,3,48,19,2,2,8,0,0,0,162,15,0,0,18,0,0,0,125,0,0,0,511,184,13,13,10,10,10,10,8,8,8,8,21,0,0,0,9,0,4,0,135,6,18,1,143,2,16,0,326,26,56,19,837,210,69,32
