No.,名称,施工年度,路線名１,路線名２,路線名３
Ｈ1,京橋,14,主,316,日本橋芝浦大森線
Ｈ2,三番町,16,特,401,麹町竹平線
Ｈ3,有楽町,16,特,402,錦町有楽町線
Ｈ4,一番町,16,特,401,都庁前室町線
Ｈ5,丸の内二丁目,18,特,406,皇居前鍛冶橋線
Ｈ6,駿河台（聖橋）,17,特,403,大手町湯島線
Ｈ7,神田錦町,17,特,403,大手町湯島線
Ｈ8,若松町,18,特,433,神楽坂高円寺線
Ｈ9,西新宿一丁目,18,副,3,新宿副都心三号線
Ｈ10,日比谷,18,主,301,白山祝田田町線
Ｈ11,永田町,18,中,176,中央官衙一七六号線
Ｈ12,霞ヶ関（外務省上）,18,中,176,中央官衙一七六号線
Ｈ13,西新宿二丁目,19,副,3,新宿副都心三号線
Ｈ14,西新宿北通り,19,副,5,新宿副都心五号線
Ｈ15,永田町（図書館西）,19,中,176,中央官衙一七六号線
Ｈ16,霞ヶ関（財務省上）,19,中,247,中央官衙二四七号線
Ｈ17,芝公園出口,19,主,319,環状三号線
Ｈ18,新常盤橋,20,特,407,都庁前室町線
Ｈ19,鍛冶橋,20,特,406,皇居前鍛冶橋線
Ｈ20,都庁南,20,副,2,新宿副都心二号線
Ｈ21,外神田２,23,特,452,神田白山線
Ｈ22,西新宿６,23,副,12,新宿副都心十二号線
Ｈ23,西新宿１,23,副,4,新宿副都心四号線
Ｈ24,一番町２,25,特,401,麹町竹平線
Ｈ25,海岸１,26,特,401,新橋日の出ふ頭
