地点名:尾久橋　地盤上/橋脚上,,,,,,
ファイル名:11031101.SMC,,,,,,
起動時刻:2011/03/11 14:47:41,,,,,,
チャンネル数:6,,,,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,,,,
Time,N-S,E-W,U-D,N-S,E-W,U-D
0,0.372723,-0.01049924,-0.03924716,0.5562097,0.05174625,-0.06149554
0.01,0.3364756,-0.02274835,-0.1364901,0.482965,0.07624447,-0.09024346
0.02,0.3694732,-0.02324831,-0.1317405,0.3539743,0.1059923,0.03624737
0.03,0.3067278,-0.03474748,-0.01249909,0.2879791,0.1299906,0.2322332
0.04,0.1724875,-0.05549598,0.1709876,0.2687305,0.165488,0.3232266
0.05,0.01874864,-0.08649373,0.3002282,0.1682378,0.2157344,0.2162343
0.06,-0.06524527,-0.1439896,0.2822295,0.04949641,0.2007354,-0.02274835
0.07,-0.03474748,-0.13799,0.165988,0.0372473,0.1272408,-0.2312332
0.08,0.1337403,-0.04174697,-0.03799725,0.04099703,0.06024563,-0.3117274
0.09,0.2157344,0.04249692,-0.2839794,-0.07699442,0.05474603,-0.2514818
0.09999999,0.1992356,0.07199478,-0.4422179,-0.13749,0.07624447,-0.07699442
0.11,0.1319904,0.055246,-0.4542171,-0.07949424,0.07299471,0.1277407
0.12,0.0564959,0.02549815,-0.2924788,-0.09599304,0.05274618,0.2869792
0.13,-0.005999565,-0.02374828,0.08724368,-0.09599304,0.0164988,0.3594739
0.14,-0.003499746,-0.08374393,0.5764582,-0.04499674,0.00799942,0.3294761
0.15,-0.02149844,-0.1872364,0.9016846,-0.1439896,0.04574668,0.1847366
0.16,-0.04074705,-0.2387327,0.854938,-0.3009782,0.04199696,-0.006499529
0.17,-0.05549598,-0.1784871,0.4902145,-0.2524817,-0.004999638,-0.1694877
0.18,-0.07849431,-0.0317477,-0.09499311,-0.1784871,-0.05499601,-0.2569814
0.19,-0.1577386,0.13774,-0.6252047,-0.2854793,-0.09649301,-0.2307333
0.2,-0.2604811,0.220484,-0.8854358,-0.3649735,-0.1387399,-0.09649301
0.21,-0.4389682,0.178987,-0.8009419,-0.3739729,-0.1552387,0.08249402
0.22,-0.5894573,0.05474603,-0.4309688,-0.4617165,-0.1222411,0.193736
0.23,-0.676451,-0.05449605,0.0509963,-0.6002065,-0.07524455,0.220984
0.24,-0.6459532,-0.08924353,0.4642164,-0.6592022,-0.0634954,0.2162343
0.25,-0.5527099,-0.01949859,0.7579451,-0.6802007,-0.06674516,0.1164916
0.26,-0.4422179,0.09574306,0.8101913,-0.6699514,-0.07099485,-0.1162416
0.27,-0.4532171,0.1847366,0.468966,-0.5832077,-0.07849431,-0.372473
0.28,-0.440968,0.151239,-0.1184914,-0.4719658,-0.09924281,-0.4612166
0.29,-0.3249764,0.07499456,-0.5857075,-0.3697232,-0.1152416,-0.3269763
0.3,-0.1259909,0.179487,-0.7806934,-0.3272263,-0.08649373,-0.1072422
0.31,-0.07624447,0.2652308,-0.7626947,-0.3302261,-0.004499674,0.005749583
0.32,-0.1727375,0.1682378,-0.6124556,-0.3282262,0.0717448,0.005749583
0.33,-0.2647308,0.001999855,-0.3467249,-0.3244765,0.08899355,0.02974784
0.34,-0.2359829,-0.04874647,0.001999855,-0.399971,0.08399391,0.1064923
0.35,-0.1949859,0.123491,0.3359756,-0.3772227,0.09899282,0.1922361
0.36,-0.193486,0.371973,0.5339613,-0.2227339,0.1329904,0.2384827
0.37,-0.1642381,0.4354684,0.5362111,-0.1829867,0.1459894,0.2309833
0.38,-0.02424824,0.3779726,0.3689733,-0.09874284,0.09274328,0.2277335
0.39,0.09649301,0.4434679,0.1479893,0.08624375,0.0179987,0.2294834
0.4,0.1452395,0.5744584,0.03874719,0.2384827,-0.01049924,0.1842366
0.41,0.1294906,0.5402108,0.05049634,0.3142272,0.008499384,0.0744946
0.42,0.1267408,0.2959785,0.0344975,0.3817223,0.03074777,-0.04699659
0.43,0.1484892,0.01599884,-0.05074632,0.4302188,0.000499964,-0.1259909
0.44,0.1554887,-0.1892363,-0.1737374,0.371973,-0.03524745,-0.1552387
0.45,0.1089921,-0.2707304,-0.2664807,0.3924716,-0.04224694,-0.1637381
0.46,0.1229911,-0.2387327,-0.2727302,0.4749656,-0.01474893,-0.1802369
0.47,0.1672379,-0.1444895,-0.2242337,0.5057133,0.01749873,-0.2094848
0.48,0.2117347,-0.09824288,-0.1424897,0.5557097,-0.01049924,-0.179737
0.49,0.2404826,-0.06999493,-0.05299616,0.6112057,-0.07749438,-0.06849504
0.5,0.2737302,0.08424389,0.04999638,0.5834577,-0.06774509,0.03149772
0.51,0.2224839,0.2364829,0.1532389,0.5329614,-0.000749946,0.05749583
0.52,0.1549888,0.2002355,0.2459822,0.5152127,0.02249837,0.01874864
0.53,0.1037425,0.0564959,0.3224766,0.4924643,0.000499964,-0.06724513
0.54,0.09374321,-0.006749511,0.330726,0.4034708,-0.04749656,-0.1157416
0.55,0.06774509,0.006249547,0.1969857,0.3637236,-0.1009927,-0.0662452
0.56,0.1587385,0.0207485,0.0564959,0.3657235,-0.1194913,0.05474603
0.57,0.2864792,-0.003499746,-0.03099775,0.3062278,-0.09599304,0.1422397
0.58,0.2629809,-0.1449895,-0.08424389,0.2582313,-0.05674589,0.1202413
0.59,0.164988,-0.3144772,-0.1114919,0.2034853,-0.02049851,0.0372473
0.6,0.1729875,-0.3712231,-0.1279907,0.1159916,-0.000249982,0.001999855
0.61,0.2459822,-0.2164843,-0.1279907,0.0207485,0.01124918,0.06974494
0.62,0.3269763,0.0564959,-0.09974277,-0.01724875,0.04049706,0.2007354
0.63,0.3342258,0.206485,-0.01999855,-0.01674879,0.1047424,0.2997283
0.64,0.2932287,0.2149844,0.02299833,-0.1317405,0.1597384,0.3299761
0.65,0.2192341,0.123491,0.01499891,-0.1327404,0.1527389,0.3667234
0.66,0.2252337,0.02224839,0.08674371,-0.0634954,0.1007427,0.4297189
0.67,0.2732302,0.004249692,0.2927288,-0.002999783,0.09574306,0.4322187
0.68,0.2827295,0.03149772,0.565959,0.07624447,0.1452395,0.3087276
0.69,0.2362329,0.007499456,0.7356967,0.08524382,0.1624882,0.1357402
0.7,0.2272335,-0.07099485,0.7191979,0.1059923,0.1112419,0.06824505
0.71,0.2384827,-0.08424389,0.4924643,0.08474386,0.0607456,0.1719875
0.72,0.2737302,-0.001249909,0.1917361,0.1202413,0.05549598,0.3562242
0.73,0.2609811,0.1357402,0.01024926,0.1252409,0.1042424,0.469466
0.74,0.1942359,0.2134845,0.004249692,0.1154916,0.1559887,0.4077204
0.75,0.07124484,0.1122419,0.06824505,0.1479893,0.1494892,0.2197341
0.76,-0.04174697,-0.1132418,0.1527389,0.123491,0.1337403,0.05124629
0.77,-0.07524455,-0.2734802,0.1959858,0.1847366,0.1537389,-0.0109992
0.78,0.02024853,-0.13749,0.178987,0.1389899,0.2077349,0.03774726
0.79,0.1219912,0.1394899,0.1904862,0.05274618,0.234233,0.1202413
0.8,0.1612383,0.2629809,0.2267336,0.07074487,0.1899862,0.1089921
0.81,0.1489892,0.192736,0.2449822,0.006249547,0.1212412,-0.04924643
0.82,0.1207412,0.04524672,0.1954858,-0.1014926,0.05549598,-0.2914789
0.83,0.1229911,0.001999855,-0.03374755,-0.1754873,-0.01524889,-0.4362184
0.84,0.1857365,0.0744946,-0.2882291,-0.1584885,-0.06474531,-0.372973
0.85,0.1597384,0.1159916,-0.3942214,-0.1504891,-0.08224404,-0.1589885
0.86,0.05949569,0.06499529,-0.345225,-0.1407398,-0.07099485,0.06549525
0.87,-0.09174335,-0.06249547,-0.2009854,-0.1082422,-0.04874647,0.1352402
0.88,-0.2589812,-0.1877364,-0.068995,-0.1189914,-0.05724585,0.01974857
0.89,-0.3239765,-0.262731,0.005249619,-0.08849359,-0.09649301,-0.1839867
0.9,-0.2222339,-0.2529817,0.05274618,-0.1189914,-0.1132418,-0.3159771
0.91,-0.07699442,-0.1722375,0.03499746,-0.1552387,-0.1019926,-0.2952286
0.92,-0.01824868,-0.03474748,-0.07199478,-0.1869864,-0.08874357,-0.1834867
0.93,-0.1424897,0.07399464,-0.2142345,-0.3537244,-0.09674299,-0.1029925
0.94,-0.2947286,0.06749511,-0.3329759,-0.3712231,-0.1459894,-0.1322404
0.95,-0.3419752,0.009499311,-0.4042207,-0.2939787,-0.1957358,-0.261731
0.96,-0.2787298,-0.04649663,-0.4297189,-0.2749801,-0.2222339,-0.3659735
0.97,-0.1907362,-0.068995,-0.4042207,-0.2547315,-0.2317332,-0.3509746
0.98,-0.1807369,-0.03699732,-0.3329759,-0.179237,-0.2084849,-0.2499819
0.9899999,-0.2387327,0.004249692,-0.3052279,-0.1637381,-0.1417397,-0.1547388
1,-0.3414752,0.013749,-0.3052279,-0.1477393,-0.07574451,-0.1349902
1.01,-0.3844721,0.008499384,-0.3429751,0.06774509,-0.04074705,-0.2062351
1.02,-0.2862293,-0.05824578,-0.4097203,0.1089921,-0.05349612,-0.289729
1.03,-0.1174915,-0.1349902,-0.4042207,0.04949641,-0.06424534,-0.3557242
1.04,0.0579958,-0.1529889,-0.3679733,0.1324904,-0.05574596,-0.3627237
1.05,0.1959858,-0.06774509,-0.3187269,0.0952431,-0.02424824,-0.2514818
