No,図の種類,公表主体
1,浸水予想区域図,都市型水害対策連絡会
2,芝川・新芝川浸水想定区域図,東京都
3,荒川洪水浸水想定区域図,国土交通省関東地方整備局荒川下流河川事務所
4,多摩川、浅川、大栗川洪水浸水想定区域図,国土交通省関東地方整備局京浜河川事務所
5,江戸川洪水浸水想定区域図,国土交通省関東地方整備局江戸川河川事務所
6,利根川洪水浸水想定区域図,国土交通省関東地方整備局荒川下流河川事務所、国土交通省関東地方整備局利根川下流河川事務所
7,中川・綾瀬川洪水浸水想定区域図,国土交通省関東地方整備局江戸川河川事務所
