地域,鉄管番号,観測井名,鉄管の深さ（ｍ）,地表面から鉄管底までの間の地層の変動量平成２６年（Ａ）（ｃｍ／年）,地表面から鉄管底までの間の地層の変動量平成２７年（Ｂ）（ｃｍ／年）,地表面から鉄管底までの間の地層の変動量平成２８年（Ｃ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２６年（Ｄ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２７年（Ｅ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２８年（Ｆ）（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２６年Ａ＋Ｄ（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２７年Ｂ＋Ｅ（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２８年Ｃ＋Ｆ（ｃｍ／年）
東久留米市,研　59,東久留米　第１,92,-0.06*,-0.05*,-0.35*,0.51,-0.22,0.21,0.45,-0.27,-0.14
東久留米市,研　60,東久留米　第２,175,-0.10*,-0.08*,-0.39*,0.55,-0.19,0.25,0.45,-0.27,-0.14
東久留米市,研　61,東久留米　第３,441,0.13,0.02,-0.48,0.41,-0.19,0.08,0.54,-0.17,-0.40
調布市,研　67,調布　第１,26,-0.01*,0.00*,0.00*,0.66,0.01,0.52,0.65,0.01,0.52
調布市,研　68,調布　第２,56,-0.01*,0.00*,0.01*,0.66,0.01,0.51,0.65,0.01,0.52
調布市,研　69,調布　第３,101,0.00*,-0.01*,0.01*,0.65,0.02,0.51,0.65,0.01,0.52
調布市,研　70,調布　第４,171,0.03,0.00,0.07,0.63,-0.03,0.46,0.66,-0.03,0.53
清瀬市,研　71,清瀬　第１,94,0.12*,-0.28*,0.55*,0.81,-0.30,0.38,0.93,-0.58,0.93
清瀬市,研　72,清瀬　第２,207,0.15*,-0.26*,0.60*,0.78,-0.32,0.33,0.93,-0.58,0.93
清瀬市,研　73,清瀬　第３,450,0.31,-0.01,0.10,0.57,-0.35,0.31,0.88,-0.36,0.41
東大和市,研　74,東大和　第１,92,0.03*,-0.01*,-0.01*,0.51,0.27,0.43,0.54,0.26,0.42
東大和市,研　75,東大和　第２,175,0.07*,0.06*,0.07*,0.47,0.20,0.35,0.54,0.26,0.42
東大和市,研　76,東大和　第３,260,0.08,0.13,0.11,0.45,0.15,0.32,0.53,0.28,0.43
立川市,研　77,立川　第１,108,-0.54*,-0.02*,0.01*,0.32,0.34,0.41,-0.22,0.32,0.42
立川市,研　78,立川　第２,280,0.02,0.03,0.09,0.31,0.31,0.35,0.33,0.34,0.44
小金井市,研　79,小金井　第１,95,0.03*,-0.01*,0.00*,0.83,-0.17,0.48,0.86,-0.18,0.48
小金井市,研　80,小金井　第２,162,0.22*,0.04*,0.05*,0.64,-0.22,0.43,0.86,-0.18,0.48
小金井市,研　81,小金井　第３,296,0.50,-0.08,0.14,0.45,-0.13,0.25,0.95,-0.21,0.39
小金井市,研　108,小金井南　第１,130,-0.03*,-0.01*,0.01*,0.71,-0.10,0.40,0.68,-0.11,0.41
小金井市,研　109,小金井南　第２,210,0.18,-0.02,0.16,0.70,-0.15,0.22,0.88,-0.17,0.38
武蔵村山市,研　82,武蔵村山　第１,103,-0.01*,0.00*,-0.03*,-0.13,0.77,0.23,-0.14,0.77,0.20
武蔵村山市,研　83,武蔵村山　第２,189,0.04*,0.04*,-0.02*,-0.18,0.73,0.22,-0.14,0.77,0.20
武蔵村山市,研　84,武蔵村山　第３,280,0.02,0.03,-0.01,-0.18,0.72,0.22,-0.16,0.75,0.21
府中市,研　85,府中　第１,34,-0.01*,0.00*,-0.01*,0.56,0.14,0.32,0.55,0.14,0.31
府中市,研　86,府中　第２,174,0.26*,0.06*,0.09*,0.29,0.08,0.22,0.55,0.14,0.31
府中市,研　87,府中　第３,290,0.47,0.04,0.05,0.23,0.09,0.17,0.70,0.13,0.22
東村山市,研　88,東村山　第１,44,0.00*,0.02*,0.00*,0.87,-0.07,0.38,0.87,-0.05,0.38
東村山市,研　89,東村山　第２,201,0.26*,0.08*,0.08*,0.61,-0.13,0.30,0.87,-0.05,0.38
東村山市,研　90,東村山　第３,294,0.36,0.03,0.14,0.55,-0.15,0.29,0.91,-0.12,0.43
八王子市,研　91,八王子　第１,105,-0.02*,0.00*,-0.01*,0.29,0.02,0.75,0.27,0.02,0.74
八王子市,研　92,八王子　第２,220,0.00,0.01,0.01,0.28,0.00,0.75,0.28,0.01,0.76
瑞穂町,研　93,瑞穂　第１,94,0.00*,0.01*,-0.02*,-0.38,0.39,0.00,-0.38,0.40,-0.02
瑞穂町,研　94,瑞穂　第２,180,-0.12,-0.02,0.00,-0.26,0.40,0.01,-0.38,0.38,0.01
多摩市,研　115,新多摩,180,0.00,0.01,0.00,0.30,0.22,0.02,0.30,0.23,0.02
稲城市,研　96,稲城,220,-0.10,0.25,-0.16,0.02,0.38,-0.17,-0.08,0.63,-0.33
町田市,研　97,町田　第１,100,-0.01*,-0.04*,-0.01*,0.22,0.12,0.16,0.21,0.08,0.15
町田市,研　98,町田　第２,190,-0.01,-0.03,0.01,0.19,0.14,0.16,0.18,0.11,0.17
町田市,研　106,町田南　第１,60,-0.04*,0.02*,-0.01*,0.25,0.07,0.11,0.21,0.09,0.10
町田市,研　107,町田南　第２,225,-0.03,0.01,0.02,0.17,0.08,0.11,0.14,0.09,0.13
三鷹市,研　99,三鷹　第１,118,0.01*,0.00*,0.00*,0.35,-0.08,0.61,0.36,-0.08,0.61
三鷹市,研　100,三鷹　第２,260,0.04,0.00,0.20,0.31,-0.10,0.39,0.35,-0.10,0.59
昭島市,研　101,昭島　第１,110,0.00*,0.02*,-0.02*,0.13,0.54,-0.15,0.13,0.56,-0.17
昭島市,研　102,昭島　第２,236,0.00,0.02,-0.01,0.12,0.56,-0.16,0.12,0.58,-0.17
昭島市,戟､縺�※縲√≠縺ｪ縺溘′驕主悉�大ｹｴ髢薙↓蛻ｩ逕ｨ縺励◆縺薙→縺後≠繧九ｂ縺ｮ繧偵♀驕ｸ縺ｳ縺上□縺輔＞縲ゑｼ遺雷縺ｯ縺�￥縺､縺ｧ繧ゑｼ�","荳ｭ驥主玄繝帙�繝�繝壹�繧ｸ荳翫�蟆ら畑繝輔か繝ｼ繝��亥玄豌代�螢ｰ縺ｪ縺ｩ��","44","4.6","27","6.8","17","3.1","-","-","4","5.3","5","5.1","6","3","8","3.8","8","5.6","13","6.1","2","6.3","2","5.4","3","3.4","6","7","5","7.8","9","10.1","2","4.8","3","4.9","3","2.6","2","1.6","3","3.8","4","3.3","5","5.6","6","9.2","15","5","1","1.8","2","1.6","1","6.3","3","2.6","11","7","-","-","5","7.1","4","5.3","3","3.4","4","5.8","3","3.6","5","7.9","6","11.1","1","1.8","3","8.1","-","-","-","-","1","2.9","-","-","4","5.8","2","4.5","-","-","1","3.8","1","2","1","3.3","26","5.1","15","4","2","3.4","12","4.7","11","4.7","14","4.2","2","6.7","3","4.5","2","3.9","3","3.5","5","8.9","7","5.4","8","4.7","5","3.4","14","4.5","荳ｭ驥主玄荳ｭ驥�4-8-1","139.663737226103","35.7068716920706","蛹ｺ豌第э隴論螳滓�隱ｿ譟ｻ2022蟷ｴ"
"蝠擾ｼ托ｼ托ｼ搾ｼ代��繧､繝ｳ繧ｿ繝ｼ繝阪ャ繝医ｒ蛻ｩ逕ｨ縺励◆莉･荳九�髮ｻ蟄先焔邯夂ｭ峨↓縺､縺�※縲√≠縺ｪ縺溘′驕主悉�大ｹｴ髢薙↓蛻ｩ逕ｨ縺励◆縺薙→縺後≠繧九ｂ縺ｮ繧偵♀驕ｸ縺ｳ縺上□縺輔＞縲ゑｼ遺雷縺ｯ縺�￥縺､縺ｧ繧ゑｼ�","繝槭う繝翫�繝ｼ繧ｿ繝ｫ","163","17.1","69","17.4","94","17.3","-","-","26","34.7","32","32.3","42","20.7","39","18.8","18","12.6","6","2.8","9","28.1","13","35.1","18","20.7","13","15.1","11","17.2","5","5.6","17","40.5","19","31.1","24","20.7","26","21.3","7","8.9","1","0.8","14","15.7","19","29.2","73","24.3","9","16.4","17","13.6","5","31.3","9","7.8","14","8.9","2","14.3","12","17.1","14","18.7","14","16.1","14","20.3","17","20.5","13","20.6","6","11.1","9","16.1","4","10.8","1","5","6","21.4","4","11.8","3","33.3","12","17.4","8","18.2","7","22.6","8","30.8","8","16","3","10","73","14.4","78","21","11","19","42","16.4","48","20.5","53","15.8","4","13.3","14","21.2","18","35.3","28","32.9","13","23.2","26","20.2","36","21.1","23","15.8","19","6.1","荳ｭ驥主玄荳ｭ驥�4-8-1","139.663737226103","35.7068716920706","蛹ｺ豌第э隴論螳滓�隱ｿ譟ｻ2022蟷ｴ"
"蝠擾ｼ托ｼ托ｼ搾ｼ代��繧､繝ｳ繧ｿ繝ｼ繝阪ャ繝医ｒ蛻ｩ逕ｨ縺励◆莉･荳九�髮ｻ蟄先焔邯夂ｭ峨↓縺､縺�※縲√≠縺ｪ縺溘′驕主悉�大ｹｴ髢薙↓蛻ｩ逕ｨ縺励◆縺薙→縺後≠繧九ｂ縺ｮ繧偵♀驕ｸ縺ｳ縺上□縺輔＞縲ゑｼ遺雷縺ｯ縺�￥縺､縺ｧ繧ゑｼ�","蛹ｺ縺ｸ縺ｮ髮ｻ蟄舌Γ繝ｼ繝ｫ縺ｮ騾∽ｿ｡�医う繝吶Φ繝亥盾蜉�縺ｮ逕ｳ霎ｼ縺ｿ縺ｪ縺ｩ��","14","1.5","6","1.5","8","1.5","-","-","1","1.3","-","-","4","2","2","1","1","0.7","6","2.8","1","3.1","-","-","-","-","2","2.3","1","1.6","2","2.2","-","-","-","-","4","3.4","-","-","-","-","4","3.3","1","1.1","1","1.5","5","1.7","1","1.8","-","-","1","6.3","1","0.9","4","2.5","-","-","1","1.4","2","2.7","2","2.3","-","-","3","3.6","1","1.6","1","1.9","3","5.4","-","-","-","-","-","-","-","-","-","-","1","1.4","-","-","-","-","-","-","-","-","-","-","10","2","4","1.1","-","-","5","2","2","0.9","6","1.8","1","3.3","-","-","1","2","1","1.2","-","-","2","1.6","3","1.8","1","0.7","6","1.9","荳ｭ驥主玄荳ｭ驥�4-8-1","139.663737226103","35.7068716920706","蛹ｺ豌第э隴論螳滓�隱ｿ譟ｻ2022蟷ｴ"
"蝠擾ｼ托ｼ托ｼ搾ｼ代��繧､繝ｳ繧ｿ繝ｼ繝阪ャ繝医ｒ蛻ｩ逕ｨ縺励◆莉･荳九�髮ｻ蟄先焔邯夂ｭ峨↓縺､縺�※縲√≠縺ｪ縺溘′驕主悉�大ｹｴ髢薙↓蛻ｩ逕ｨ縺励◆縺薙→縺後≠繧九ｂ縺ｮ繧偵♀驕ｸ縺ｳ縺上□縺輔＞縲ゑｼ遺雷縺ｯ縺�￥縺､縺ｧ繧ゑｼ�","縺昴�莉�","26","2.7","6","1.5","20","3.7","-","-","-","-","-","-","5","2.5","10","4.8","5","3.5","6","2.8","-","-","-","-","1","1.1","1","1.2","2","3.1","2","2.2","-","-","-","-","4","3.4","9","7.4","3","3.8","4","3.3","2","2.2","-","-","7","2.3","-","-","4","3.2","-","-","7","6.1","6","3.8","-","-","4","5.7","2","2.7","2","2.3","-","-","4","4.8","1","1.6","1","1.9","2","3.6","-","-","1","5","-","-","-","-","1","11.1","1","1.4","1","2.3","-","-","1","3.8","2","4","3","10","22","4.3","4","1.1","-","-","6","2.3","7","3","10","3","2","6.7","1","1.5","-","-","-","-","-","-","4","3.1","8","4.7","5","3.4","9","2.9","荳ｭ驥主玄荳ｭ驥�4-8-1","139.663737226103","35.7068716920706","蛹ｺ豌第э隴論螳滓�隱ｿ譟ｻ2022蟷ｴ"
"蝠擾ｼ托ｼ托ｼ搾ｼ代��繧､繝ｳ繧ｿ繝ｼ繝阪ャ繝医ｒ蛻ｩ逕ｨ縺励◆莉･荳九�髮ｻ蟄先焔邯夂ｭ峨↓縺､縺�※縲√≠縺ｪ縺溘′驕主悉�大ｹｴ髢薙↓蛻ｩ逕ｨ縺励◆縺薙→縺後≠繧九ｂ縺ｮ繧偵♀驕ｸ縺ｳ縺上□縺輔＞縲ゑｼ遺雷縺ｯ縺�￥縺､縺ｧ繧ゑｼ�","迚ｹ縺ｫ縺ｪ縺�","317","33.2","133","33.5","181","33.4","-","-","17","22.7","20","20.2","46","22.7","74","35.6","53","37.1","103","48.4","10","31.3","10","27","22","25.3","33","38.4","18","28.1","39","43.8","7","16.7","10","16.4","24","20.7","41","33.6","35","44.3","64","52.5","30","33.7","16","24.6","82","27.3","23","41.8","51","40.8","2","12.5","40","34.8","59","37.6","8","57.1","29","41.4","23","30.7","24","27.6","23","33.3","21","25.3","19","30.2","16","29.6","15","26.8","12","32.4","13","65","9","32.1","17","50","1","11.1","18","26.1","16","36.4","16","51.6","8","30.8","19","38","13","43.3","168","33.1","118","31.7","23","39.7","95","37.1","67","28.6","111","33","10","33.3","23","34.8","8","15.7","24","28.2","17","30.4","27","20.9","44","25.7","49","33.6","148","47.1","荳ｭ驥主玄荳ｭ驥�4-8-1","139.663737226103","35.7068716920706","蛹ｺ豌第э隴論螳滓�隱ｿ譟ｻ2022蟷ｴ"
