No.,ID,名称,年度,施工箇所
1,S19-1-16,神保町,19,千代田区神田神保町1
2,S19-3-12,四谷,19,新宿区四谷4～富久町
3,S20-1-4,海岸通り,20,港区港南2
4,S20-1-6,有楽町,20,干代田区有楽町1
5,S20-1-8,御成門,20,港区芝公園3
6,S20-1-9,三田,20,港区芝2～5
7,S20-1-19,八丁堀,20,中央区八丁堀1～日本橋茅場町2
8,S20-2-14,北品川,20,品川区北品川6～4
9,S20-3-10,大ガード西,20,新宿区西新宿7
10,S21-1-3,青山,21,港区北青山1～元赤坂2
11,S21-1-5,東銀座,21,中央区銀座5～7
12,S21-1-9,二重橋,21,千代田区皇居外苑
13,S21-1-14,佃,21,中央区佃3～2
14,S21-1-19,小綱町,21,中央区日本橋小綱町～日本橋蛎殻町１
15,S21-2-1,目黒署,21,目黒区中目黒4～2
16,S21-2-4,西五反田,21,品川区西五反田1
17,S21-2-26,祐天寺,21,目黒区中目黒3～祐天寺1
18,S21-3-13,早稲田鶴巻,21,新宿区早稲田鶴巻町
19,S21-6-13,江戸川橋,21,文京区関口1
20,S21-6-27,お茶の水,21,文京区本郷2～湯島1
21,S22-1-4,三越,22,中央区日本橋本石町3～八重洲1
22,S22-1-11,神田,22,千代田区内神田2～中央区日本橋本石町4
23,S22-3-2,四ツ谷駅,22,新宿区四谷1
24,S22-4-9,池袋,22,豊島区目白2～南池袋3
25,S23-1-5,芝公園2,23,港区芝公園2～4
26,S23-1-10,神田須田町1,23,千代田区神田須田町1～神田岩本町
27,S23-2-14,神宮前2,23,渋谷区神宮前2～千駄ヶ谷1
28,S23-3-13,津久戸町,23,新宿区津久戸町～築土八幡町
29,S23-6-17,小石川5,23,文京区小石川5～千石2
30,S24-4-1,要町1,24,豊島区要町1
31,S26-1-1,台場2,26,台場2～台場1
32,S26-3-24,市谷本村町,26,市谷本村町～市谷田町1
33,S26-3-環3,市谷中之町,26,市谷中之町～市谷楽王寺町
34,S26-5-13,亀沢1,26,亀沢1～両国4
35,S26-6-11,湯島4,26,文京区湯島4～3
